,content,mark
627324,不知道啊，其实第二次股改方案对多头打击最大的,-99
2069624,我不知道它什么时候会倒下,-99
1967156,回来看看大家，跌的不算多，14见,-99
278861,[大笑][大笑][大笑]打狗托打的狗托们东南西北都,-99
3877080,中国石油中国石化大涨,-99
5445408,景旺电子,-99
4166828,回补46的缺口,-99
2006734,"做好主业,",-99
2876597,近两日大盘都安全 关注一关键位置,-99
758959,南山铝业开发的高端高性能动力电池箔能极大提高,-99
4535073,太弱了,-99
2541829,苏州高新预计一季度净利润1.04亿元至1.04亿元 ,-99
192911,如果不采取有效措施,-99
2494665,供需改善支撑稀土价格上涨 机构集中推荐9只龙头,-99
865744,在青春的道路上,-99
4495565,妈的，狗庄家,-99
5137051,业绩有保障的高成长苹果概念股龙头：恒宝股份00,-99
2673727,下午回又解放前！,-99
4561085,华懋跌了5天，又一次5根阴线,-99
2707971,散户小心，没有量能的反弹都是诱多上套而已，主,-99
3850801,只要有托单都会被冲掉，,-99
4251908,下降通道中，32下再看,-99
473355,看到H股。加仓。。,-99
562264,看看华信在干啥，它们就是废物而已,-99
4775261,恒为是次新最烂股，跑吧找个垃圾大盘股都比它强,-99
2366936,搞不搞？,-99
295777,加油跌，洗干净了！大家就上,-99
243357,扛在肩上。二是要着力提升服务实体经济能力。,-99
3323368,今天会上龙虎榜不,-99
2681009,但这种做法显然有内幕交易或操纵股价的嫌疑,-99
2500414,股市中必须迈过的三道坎,-99
3093454,没量啊，估计周一还的下探,-99
3054466,五档卖盘全是大拋单！,-99
1321571,下午开盘直线拉升！见证！,-99
3926973,江河临中停牌,-99
2744201,今天买入了，明天会不会涨停呀……。,-99
811607,割肉出来的吧友，不要再进了。忠告,-99
3705689,银行之悲歌,-99
3637361,今天挂了3.7元。不知道能不能成功接回,-99
3737366,丁酉年7月份低价低估值 二线蓝筹 将异军突起！,-99
2674561,新规之后，如何投资壳股？ 近期重组股又风起云,-99
5500581,还有3拉么？,-99
3864884,盘价，往往最能体现庄家的当日做盘意图。强势股,-99
2892385,600613年跌39.64,-99
1675051,翔哥快来呀！有人砸盘。[亏大了][亏大了][亏大,-99
