,content,mark
3738339,他认为这仅仅是获利回,1
3367744,哦：价值投资首选陕西煤业！分红率高达40%,1
1224838,今天可以满仓收藏,1
1570227,毕竟从今年国庆期间开始,2
1124419,继续下跌,0
497084,黄伟这伙骗子只想着复牌套现跑路，根本无心经营,0
4315147,此股天天阳痿。,0
873823,冠农股份(600251)融资融券信息(12-18),2
305441,这样子东恐,2
4269469,反攻,1
3219078,600939:重庆建工独立董事关于公司第三届董事会,2
440648,二是作出明确的规定,2
3295353,着急,0
2435364,财务造假经典案例：蓝田股份,2
2238491,信达，加油，三个板以上,1
4410170,佩服，能跌倒全部被套也是奇迹，大家准备好资金,0
2668380,抗跌，嗯哼,1
3183057,唐家三少《斗罗大陆》IP爆款是志在必夺！a,1
4901856,603589:口子窖:华林证券股份有限公司关于安徽口,2
5059246,今创集团股份有限公司首次公开发行股票申请文件,2
3356867,要涨停了,1
4075124,15就满伧,1
4771843,坐等展鹏破发,2
2757504,盘后点睛:791处在某级别买点。从浪型看，属于反,1
3554105,吧里是谈股论经的地方，不是老丑女人谈情说爱的,2
653422,走了！少亏点算了，死庄股！早上没散户拉鸟股还,0
254736,全面建设小康社会是的十六大确定的新世纪新,2
792190,买买买买买买买。,1
594331,并且感觉该股已经出现上涨乏力现象,0
5315665,造纸印刷和有色金属等概念相对较弱,0
1786520,今天要跌停了,0
2317396,000017A不封板就是给你错觉逼你出货，一般人我a,1
876062,冠农股份9月21日盘中跌幅达5%,0
4747542,看业绩不差，怎么就天天跌呢！,0
911150,重仓中,1
1845286,河北省实施工业污染源全面达标排放计划,2
1162039,中国版原油期货即将上市期货公司迎来新增长点。,1
1669833,还缺一根大阴线,0
4800579,在五日线内来回，有快感吗？有本事在周线上下跳,2
4423156,妈的，现在变相减持就是暴仓,0
2828833,天天阴跌,0
3753407,风格偏转延续 上证综指险守3200点,0
4348652,海量数据603138国内领先的数据中心解决方案与服,2
1821772,巴理克黄金公司代表团到访山东黄金集团 日期：2,2
2594076,是老股民多少年血与泪总结的铁律,2
1827745,2016年湖北武汉开行中欧班列122趟同比增三成 华,2
3207100,常熟银行601128 业绩显示增速在五小行里拨得头,1
2026095,股价再下一个台阶,0
3049130,一直阴跌到现在，你服气了吧。,0
2063490,都是托单，这股没有破27.5或27以下是不会上来的,0
2362657,把青岛海尔的“操盘必读”和伊利股份的“操盘必,2
3876027,庄家逼着散户割肉走人,0
722588,我发的空贴被删了。看来触碰了某些人的利益。现,0
3930121,出现了港股A股两市罕见的“估值倒挂”,2
4996376,适当的多方面约束让好公司快速发,2
994802,全聚德下周携中国股市齐舞 2017年7月8日周六,2
1810737,极品垃圾！疆尸大王！,0
1426235,就这点换手率 回购哪里吃到货   还有以前有个高,2
3348862,一点量都没有，搞毛,0
3005804,今天绝对不可能红了。金价可能连续跌。,0
1791421,今天涨2个点以上，大家拭目以待,1
2837676,今天我买点哈，准备与兄弟们坚守,1
5398237,第一创业教你做人[滴汗],2
4174879,泛微网络2017年初新增签约客户260家,2
4454072,这个票见鬼了,0
288870,12月31日下午，我参观了苏宁睿城家人的公司,2
4476794,高送转预期,1
4010874,差不多了,2
5398209,飞刀来了，谁接,0
1860009,我现在只关心什么时候跌停买点,0
2602454,清仓,0
5458002,谢谢阿姨,2
4688787,今世缘饮料，哈哈哈,2
4376496,公司业务逐年提升，一定会大涨的,1
3420332,分明有主力在操作，但是是洗盘还是砸盘不得而知,0
249257,4.23元，进的9万5千股，目前账面浮盈4万多，4.7,1
3957651,顶一个,1
1444605,开始建仓,1
2914810,看多久以来的走势，目测庄家一直吸筹，底部会逐,1
2222257,不要再有什么侥幸心理,0
1475047,证监会推动八大法律修,2
1554932,好当家(600467)融资融券信息(12-12),2
3549307,炒题材仅投机 有利落袋哈哈,1
3661765,交通银行完成发行200亿元绿色金融债券,2
106867,中信证券:今天放量继续上涨证券依旧看好，近期,1
3110154,董秘你好大,2
4626530,京东方A(000725)融资融券信息(05-26),2
1102,哎彻底崩溃了，每天都被拉一刀。。,0
3199070,庄家好不容易弄几个钱 往上拉一拉 你们他妈的也,0
775297,[围观],2
3387906,着眼红去吧,0
4268300,幸好昨天底仓卖了,0
848249,这是在搞增持？,2
4499424,6号之前买的，9号公告！,2
385314,今天第五天怎么还没有  是否确定重组公告  难道,2
3123574,大盘从3295至今连续下跌没有像样的反弹，认为一,0
419060,今天要启动的感觉,1
5230007,603808:歌力思:新时代证券股份有限公司关于深圳,2
1784935,股市喝酒喝多受伤了，需要吃药疗养几个月,0
4248038,周五A股市场没有出,2
2509799,今天跌下来 到 8.65  明天到8.4,0
4055127,没见红利，主力他妈天天见红！,0
360981,2017山东富豪榜洗牌：百亿富豪8位 张士平首富王,2
1815011,大涨大涨,1
4606790,跑！谁不跑谁傻！小散一起拉的,0
2637768,中航也是够够的，赶紧定了增发价不就好了么，可,2
222590,上交所鼓励PPP资产证券化 关注环保板块,1
225816,盘面太轻。p,0
1457116,今天盼明天，明天盼后天，后天盼下个星期，下个,0
3002046,庄没钱了，在出货。跑,0
1312099,关注行业龙头“三驾马车”：上海国企混改龙头：,1
1412750,感觉在18元出货,0
3678082,孙当董事长后，一定要,2
2270243,这就是走流程问问很正常,2
4601080,磨蹭什么，没人抛了，不拉到70元不下车,1
52615,1800亿养老金入市了，不把业绩好的盈利强的咋个,2
2955936,而这漫长青春的铺垫只换得陌路相望  ,2
5404388,中标一月内必须签订正式合同，不会压着合同不公,0
2273016,有哪些门路的同志们多向证监会举报这个b股啊，,0
3256747,明天低开轻轻松松,0
3898830,BDI指数涨得一踏糊涂，涨得稀里哗啦，涨得他妈,1
1941434,我只相信一个技术指标——底部放量！[胜利],1
1197715,再找不着了，我便进来坐下，r,2
5264516,快跑！！！要跌破发行价了！！！,0
1631941,很显然，姜总借助假利好9.36元卖出，然后认购6.,0
1955946,这票最多还有一波上冲？涨多少了？短期注意调整,1
4441262,阴跌模式开启，昨天已走！！亏了几万算了，快51,0
295553,唐世鼎三字吉凶，能否改变中屎传媒命运!,2
2382866,今天10.22买了，等,1
1973022,用友云：确定性机会 中资企业盛宴 09-16 06:23 ,1
3742337,600067明天可能升9个点,1
335017,七一/不忘初心,2
511159,一个涨停板q,1
2779403,解禁前12元应该能达到吧,1
1607363,福能股份的高管领导看到请回复我：首先座位一名,2
2579910,按LG16年出货7500万部手机算，闻泰合作百分二十,2
3511544,先买三分一仓试下,1
2863882,当家的吃饱了还是散户吃饱了才会拉,1
962117,68.08元是一浪头。,1
3455878,心痛的不是他跌，心痛的是没有钱补仓了！,0
4930948,600050,2
2645106,横了3天不跌停，是哪个在偷吃,2
4186515,涨不过纵横  跌的和纵横差不多[赞],0
5151634,现象就会得到控制,2
2834752,东方持有民生银行，不可否认是具备一点安全边际,1
2018118,如果此股今天不能强力拉升，明天必然继续下跌。,0
2457437,请问哪位大仙知道什么时候开盘啊,2
4409036,那天就知道追高了，这波下跌不知道是不是要创新,0
4423337,就是不涨，抗跌的功夫应该有吧！,0
3472320,解读000541： 低点至今有时日， 平量整理箱体中,2
4345990,明天涨停板启动！！！立贴为证！我看好你！！一,1
2944122,长虹新款智能语音空调让家电的人机交互不再虚幻,1
1755527,还跌，这是肿么了,0
5161034,跌到你怀疑人生,0
2936274,《环保税法》，定于2018年1月1日起施行。,2
1625655,医药股起飞,1
5491526,中农立华12月20日盘中涨幅达5%,1
4698467,互相伤害吧，都砸，卖了买月饼,0
3996973,16.5元了，冲进去,1
3144699,翻几百只股票 总算看懂了些,2
3524271,各位高手，11月份销售月报是今天出吗？,2
4890464,涨了两个点那么多人就跑，太郁闷了,1
554264,新疆6.6级地震致多地震感强烈 暂无人员伤亡 央,2
1429989,应对主力挤压就是低吸加仓，证金不会买错票,1
3440151,我大A只有一种开盘方式：低开,2
639659,午间公告汇总：易世达转h,2
4246192,及时查阅，跟上不迷,2
576751,炒股高手讲述抄底操作技巧，亏损股民看完彻底惊,2
1036989,使劲跌哈哈哈,0
96612,看来没有散户了，分红都没人理了,0
4336386,机会难得。一定要珍惜。到100再说,1
4844023,又开始破平台暴跌啦，还有买套的。,0
4684766,房子里面夏天热冬天冷,2
4939452,前天喊换新日股份，没人理俺。咯咯咯，躲过大跌,0
4179279,下午两点半603041勿追！,1
3212801,杂碎,2
2262240,诸葛不平顶旧帖太勤快了也不嫌累。,2
4101018,远看绩优股，近看垃圾股,0
5335884,自己在左手丢给右手，右手又丢回左手，好玩吗？,0
971357,上海散老真以增发白圈钱,0
72198,感谢空头,0
4138484,是刷出来真心就晚了- -,2
3365844,期货和现货都企稳并反弹了。东北华北乃至华中大,2
3486555,好狗庄，砸盘太轻，用点力呀,0
4799362,明天又是断崖式下跌,0
5304401,业绩比步长高30%，股价却低30%的小盘次新,1
3083051,远望谷,2
4641712,浙江鼎力：一季度净利同比增133%,1
516655,A股纳入MSCI将会给股市带来巨大变化吗？,2
4912077,回来看一眼，果然是垃圾股，还好卖了[胜利][胜,0
1517556,有意思吗，拉台指数,0
4239504,乐视预亏6亿！带领创业板下周去向！新股发行9只,0
5009911,603655:朗博科技首次公开发行股票发行公告,2
4365312,今天看跌啊,0
93219,只要今天挺,1
938459,天发布吉林省全面对外。,1
3635188,骂挣多赔少，栗子例子粒子的，楼主送你全家一礼,0
2369925,快抬轿子[不屑],1
1681956,牵着不走，打着走！。,1
5253997,垃圾股。。。做漂亮图形，上面的套牢盘等着你们,0
