{'短评内容': '早餐真心一般，不过环境好，安静，位置好', '短评打分': 5}
{'短评内容': '酒店位置很好，在市区里闹中取静，环境很好，酒店还送了欢迎水果，有院子，停车非常方便，适合自驾游的，早餐一般。', '短评打分': 5}
{'短评内容': '房间宽敞，安静，离海边非常近', '短评打分': 5}
{'短评内容': '环境幽美，特别安静，出门走几百米就是一个小海滩，特别适合带老人小孩入住，就是设施有点老旧，好评，必须好评', '短评打分': 5}
{'短评内容': '早餐品种丰富，房间很安静，环境好，适合带孩子老人居住，出酒店没多远就到海边沙滩，很方便', '短评打分': 5}
{'短评内容': '环境和位置都不错，步行至海边十多分钟就可以，很方便。早餐简单了一点，吃的一般。～', '短评打分': 4}
{'短评内容': '还行，设施比较老了，但比较安静。', '短评打分': 3}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '房间挺大 挺干净  环境好', '短评打分': 5}
{'短评内容': '离海边较劲，性价比一般，可能是青岛的酒店都贵吧', '短评打分': 4}
{'短评内容': '挺不错的酒店', '短评打分': 5}
{'短评内容': '酒店有点旧，环境还可以。早餐不太好。', '短评打分': 3}
{'短评内容': '灰常好，忘不了。', '短评打分': 4}
{'短评内容': '绝对物超所值！！连宝宝都很喜欢这家酒店呢。。第一离海边步行10分钟，可以随时走过去看风景玩沙子。。第二酒店内部风景优美，安静舒适。。第三服务员态度也特别好，看见我们有宝宝提供了各种帮助，有一天晚上还专门让快下班的厨师给我们做了宝宝喝的汤。。唯一美中不足的是早餐品种太少太少。。希望多改进啦?总之一定推荐朋友住，以后有机会再去青岛也要继续入住。。', '短评打分': 5}
{'短评内容': '其他方面都不错，就是早歺很一般。', '短评打分': 4}
{'短评内容': '由于参加胜利油田招标，入住该疗养院，服务很好，但是屋里很冷，一宿将近400的价格居然没有空调，问服务员说领导不让开中央空调，你要冷给你加被子，唉。携程预订上面写了有按摩浴缸，去了一看只有淋浴按摩喷头。总感觉我订的豪华大床房只是标准大床房。和宣传照片上很不一样。', '短评打分': 4}
