{'短评内容': '不行&hellip;&hellip;明明满了还可以下单！坑死了、   哎', '短评打分': 1}
{'短评内容': '17、太好了，前台妹妹人也很好，房间特别好，性价比超高。床单真的一尘不染，铺的很平整，给卫生打上超级分，我住这里房间虽然不大，装修很不错，小而精致，小温馨，细节很精致。这种房间完全博得了我的好感，难怪生意这么好，推荐，推荐哈\xa0\xa0\xa0', '短评打分': 5}
{'短评内容': '环境不错 性价比高 房间不错 房间真的非常好，洗漱用品吹风机全部都有，房间很温馨，床很干净整洁，窗户也很大很明亮，房间也挺漂亮，还有书桌，插头也挺多的，很够用，卫生间颜色很漂亮，价格还很便宜，总得来说性价比确实非常的高\xa0', '短评打分': 5}
{'短评内容': '价格偏贵，窗户太小，感觉有点压抑，窗帘有点脏，窗外环境也不太好。', '短评打分': 5}
{'短评内容': '交通方便，设施较旧，服务一般，房价偏高。', '短评打分': 3}
{'短评内容': '酒店卫生很棒，浴巾都是封包的，而且还有免费的牙具提供，服务员态度很好，尤其是前台的，有什么东西忘记拿了前台也会打电话通知，总体来说还是很满意的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置优越交通方便，卫生环境一般，价格再便宜一点就划算！', '短评打分': 5}
{'短评内容': '不错 京东上面订房间也蛮方便的 很满意 赞一个', '短评打分': 5}
{'短评内容': '可以，离湘雅医院近，看病方便，作为七天连锁店工作日价格稍有点高。', '短评打分': 4}
{'短评内容': '这个价格在我们那边可以住个比较舒适的环境', '短评打分': 4}
{'短评内容': '一个酒店连打火机或火柴都没有，还要自己去外面买，也是醉了', '短评打分': 3}
{'短评内容': '老妈在湘雅住院，定了一个晚上。条件确实太差了。虽然是特价房，但是就安排住在一楼上下楼梯的口子上，隔音也不好，一个晚上没怎么睡好。厕所也很臭，不知道是什么味道。所以果断住了一个晚上就没住了。差评！', '短评打分': 3}
{'短评内容': '比较差 去的时候正好在装修', '短评打分': 3}
{'短评内容': '一个字，好', '短评打分': 5}
{'短评内容': '离湘雅医院，中信湘雅，湖南省妇幼保健医院以及长沙市第一医院都比较近。交通便利，周边饮食很丰富很方便。值得推荐！', '短评打分': 5}
{'短评内容': '一般可以吧', '短评打分': 3}
{'短评内容': '老旧', '短评打分': 3}
{'短评内容': '非常舒适，旁边超市，餐馆很多，很便利！！！～', '短评打分': 5}
{'短评内容': '酒店对面就是湘雅医院，去医院很方便，房间干净卫生，服务好。', '短评打分': 5}
