{'短评内容': '位置好找，服务态度很好，卫生也挺好的，很好的一家酒店', '短评打分': 5}
{'短评内容': '服务态度很好，房间干净，交通便利', '短评打分': 5}
{'短评内容': '还可以，就是比较简约', '短评打分': 5}
{'短评内容': '还行，就是比较简约', '短评打分': 5}
{'短评内容': '酒店服务态度很好，房间干净卫生，设施齐全，地理位置优越，出行购物都很方便，非常满意。', '短评打分': 5}
{'短评内容': '还不错，还不错，', '短评打分': 5}
{'短评内容': '还不错，还不错', '短评打分': 5}
{'短评内容': '还不错，还不错，还不错，', '短评打分': 5}
{'短评内容': '价格也还行，地段也还好，酒店也挺干净的，房间大小也都还不错?下次来还住这里&amp;hellip;离办事处也近，走路几分钟', '短评打分': 5}
{'短评内容': '为啥我预订显示的是去哪儿订的呢？', '短评打分': 3}
{'短评内容': '酒店不错，环境也可以。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错干净卫生', '短评打分': 5}
{'短评内容': '位置好，可在附近停车。', '短评打分': 5}
{'短评内容': '酒店整体不错，服务热情、环境整诘、闹市地段、周围繁华、小吃较多、购物方便。美中不足的是没有自己的停车场，停车需停在与他酒店合伙的停车场，11小时内停车费用由贵店支付。随着经营规模的扩大，期待酒店今后能有一个属于自己的停车场。下次来昆明，还住贵店。', '短评打分': 5}
{'短评内容': '酒店整体不错，服务热情、环境整诘、闹市地段、周围繁华、小吃较多、购物方便。美中不足的是没有自己的停车场，停车需停在与他酒店合伙的停车场，11小时内停车费用由贵店支付。随着经营规模的扩大，期待酒店今后能有一个属于自己的停车场。下次来昆明，还住贵店。', '短评打分': 5}
{'短评内容': '就是居然晚上有人刷卡进来了  太不专业了前台  还好链子扣好多 多危险多尴尬', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的 离市区很近', '短评打分': 5}
{'短评内容': '酒店位置好找。 交通方便，前台小伙服务态度温馨周到，房间干净宽大，赞一个！', '短评打分': 5}
{'短评内容': '服务态度很好，感觉非常不错！早餐很营养丰富！酒店位于市中心 非常好找。值得推荐', '短评打分': 5}
{'短评内容': '房间灯太少太暗，其他好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还行。服务挺好的。靠近路边和幼儿园。交通倒是方便的。', '短评打分': 5}
{'短评内容': '不错，到东客站、机场都很方便，每次到昆明都会住这里，顺便买点小商品，哈哈', '短评打分': 5}
{'短评内容': '很好，一分钱一分货嘛', '短评打分': 3}
{'短评内容': '房间还是不错的，就是附近好像有个学校，早上吵死了！', '短评打分': 3}
{'短评内容': '干净 也许由于这家是刚开业不久  服务态度非常好 这里拥有了我所需要的一切设施 这是我第四次住进汉庭 （在不同的城市）  我的首选应该是汉庭了', '短评打分': 5}
{'短评内容': '我们29号入住，定了大床房1间30日中午退房，住1天；标准双人房1间12月凌晨5时50分退房，住2天；实际住3天，可是结算时却要收我4天的住宿费。经过再三交涉，酒店才以电脑系统错误为由改收我3天的住宿费。这种小学算术题也会算错？真是莫名其妙！！！', '短评打分': 1}
{'短评内容': '位置有点离中心区比较远，附近没有什么逛街或吃饭的地方。只有一两家小面馆。房间还是汉庭标准的装修，只是高峰期这个地段很难打车。', '短评打分': 5}
{'短评内容': '酒店还是不错的,到了昆明机场落地后才打电话订的房间,昆明机场离市区很近,打车到酒店大概20多块钱,是我出行碰到的机场离市区最近的地方了,前台服务很好,推荐了24小时吃米线的地方,打车去,步行回~~', '短评打分': 5}
{'短评内容': '挺干净的，出行方便\n就是大床房的灯比较少，感觉相对有点暗', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '服务周到，特别是浴室很干净。', '短评打分': 3}
{'短评内容': '布局非常合理，非常超值，非常……………………', '短评打分': 5}
{'短评内容': '新装修 ，不错', '短评打分': 3}
