{'短评内容': '感觉不错，', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '早餐好，位置紧邻盘龙江', '短评打分': 5}
{'短评内容': '还不错，感觉超三星级', '短评打分': 5}
{'短评内容': '酒店很贵，不怎么样', '短评打分': 3}
{'短评内容': '在。你是一？这么晚餐厅的老板都有自己的生活方式，你是一个人在一起了。你是一个人在一起就要开始咯？在你身边的人', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务规范热情，整洁卫生，交通便利。', '短评打分': 4}
{'短评内容': '各方面感觉一般，价格不值！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '房间干净明亮，酒店服务员热情周到，早餐一般', '短评打分': 5}
{'短评内容': '5.15-5.18住了三晚。刚装修过不久，倒也没什么气味。房间大，干净。服务员非常有礼貌。早餐式样不多，但很精致、美味。最大的缺陷是酒店周边拆迁厉害，大环境不好。', '短评打分': 1}
{'短评内容': '服务不错，但热水水量太小且温度不够，应改善', '短评打分': 5}
{'短评内容': '除了地段不是很好，对于要求在市中心附近的旅客估计不行。但环境很好，设施齐全，房间购大，价格还算合适，有点小贵，给我再优惠30就好了，哈哈，推荐入住。', '短评打分': 5}
{'短评内容': '酒店的位置很好，交通很方便，服务也不差，就是有一些旧，装修需要更新了，还有就是空调不好用，由于是在最高一层，卫生间的水压有些问题，洗澡不是很方便。酒店的设施相对于价格有些偏高，不过还是会推荐的。', '短评打分': 5}
{'短评内容': '，房子比较老，空调比较弱，不好打车，综合4分。', '短评打分': 3}
{'短评内容': '地点离我们要去的地方很方便 装修也不错，服务也很周到，早餐味道不错。', '短评打分': 5}
{'短评内容': '酒店后面就有个市场，还有超市，还是不错的。', '短评打分': 5}
{'短评内容': '酒店房间味道比较大，位置一般了，装修一般，早餐一般', '短评打分': 1}
{'短评内容': '还不错 性价比高 服务挺好', '短评打分': 3}
{'短评内容': '还可以，房间大，挺好的，下次还会来，还可以，房间大，挺好的，下次还会来', '短评打分': 5}
{'短评内容': '服务很好~                               \n\n\n\n\n交通还算方便    ', '短评打分': 5}
{'短评内容': '优点：酒店设施不错，房间比较大（我住的是单人间），配有啫喱膏等护肤品（本人没有使用），送水果和矿泉水。前台服务员很热情。\n缺点：送的水果比较一般，早餐品种比较少。周边环境不太好，打车不是很方便。价格稍贵。', '短评打分': 5}
{'短评内容': '对于酒店的环境还是不错的。房间也很干净整洁。服务态度也很好！下次再来还会住的！', '短评打分': 5}
{'短评内容': '非常喜欢该酒店内布置的花草和植物山石绿化，环境优雅、安静、交通方便。', '短评打分': 5}
{'短评内容': '该酒店服务很好,就是房间里有种气味难闻.', '短评打分': 3}
{'短评内容': '总体不错，房间和环境很好。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的设施还不错，早餐品种变化也算多，房间里每天晚上还赠送水果。感觉挺周到。只是有时的水果质量不够好，有时更换的浴巾该淘汰了。', '短评打分': 3}
{'短评内容': '感觉还好,.................', '短评打分': 5}
{'短评内容': '房间及设施尚可,交通不方便.   ', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 3}
{'短评内容': '房间还可以就是电视好小', '短评打分': 3}
{'短评内容': '推荐朋友入住，自己作的点评：地理位置稍微有点偏，不过对于本来就没多大的昆明来说，也没有多远。主要是房间比较新，前面有条清清小河，傍晚在河边逛逛还是感觉挺悠闲的。', '短评打分': 5}
{'短评内容': '地理位置稍微有点偏，不过对于本来就没多大的昆明来说，也没有多远。主要是房间比较新，前面有条清清小河，傍晚在河边逛逛还是感觉挺悠闲的。', '短评打分': 5}
{'短评内容': '酒店地理位置很好。市中心位置出行交通方便。也很舒适像是床被褥这些都非常洁净。', '短评打分': 5}
{'短评内容': '金房宫商务酒店，装修风格很不错，配置设施也全。', '短评打分': 5}
{'短评内容': '酒店硬件条件还不错,就是周边交通不太好.打车不方便.其它各方面都挺不错.', '短评打分': 5}
{'短评内容': '硬件条件和卫生条件都挺不错的,不过就是位置有些偏不太好找,其它各方面都很好.', '短评打分': 5}
{'短评内容': '酒店价位偏高，其他都很不错，值得推荐。', '短评打分': 5}
{'短评内容': '算是在繁华地段吧，出行便利，省时省力。', '短评打分': 5}
{'短评内容': '房间装修温馨，面积适中，床铺柔软，住着蛮舒服的，附近还可以吃到小吃，挺不错的。', '短评打分': 5}
{'短评内容': '位置不错哦，出去就是大街，附近有景点也有小吃街，生活很当便，哈哈。', '短评打分': 5}
{'短评内容': '价格比预想的要低，这点很满意，出入也方便，附近有小吃，能解馋。', '短评打分': 5}
{'短评内容': '房间的装修看起来挺高档的，酒店有一些人性化的小服务。', '短评打分': 5}
{'短评内容': '这家酒店感觉不是很好，整体感觉就很旧了，服务人员办事效率也比较慢。房间里感觉也不是很舒适，早餐太简单了，这样的酒店下次不会在住了。', '短评打分': 1}
{'短评内容': '设施比较新的，酒店的服务态度还可以，但是就是感觉价格还是有些偏贵了，而且酒店的位置也有些偏周边的环境不是太好，我感觉也只适合像商务型的客人自己去居住，如果像在附近办事的话其实这家还是比较不错的。性价比方面还是挺好的。', '短评打分': 1}
{'短评内容': '性价比高，就是自助早餐差了点\r\n', '短评打分': 5}
