{'短评内容': '酒店洗手间的下水管都是烂的', '短评打分': 3}
{'短评内容': '除了价格相对便宜 其他没得啥子优点', '短评打分': 3}
{'短评内容': '280元的价格，太贵了，跟成都40元一晚的小旅馆条件差不多。', '短评打分': 3}
{'短评内容': '这个地方不错，就是有点潮湿，离景区很近，下次还来！', '短评打分': 5}
{'短评内容': '感觉还不错，服务还行，离景点很近，基本能对得起这个价格了，特别是三人间很适合一家三口自驾游的，就是房间还不能上网，要到大厅才能行', '短评打分': 5}
{'短评内容': ':感觉不错,值得推荐,持续改进', '短评打分': 3}
{'短评内容': '2号楼无线信号不太强 第二天给老板说了老板给换到一号楼了 总体来说性价比在九寨沟挺不错的', '短评打分': 5}
{'短评内容': ' 比较便宜，冬天很冷，有热水。', '短评打分': 3}
{'短评内容': '我是2012年1月份去的，在网上预订的，80元好像还可以反现，感觉还不错吧，挺超值的。本来定的是大床房，但是到了之后，老板说冬天水都冻了，只有一楼的标间，也就只有这样了，进去一看还挺大的。\n优点：\n价格便宜，交通还算方便，走到景区入口大约10多分钟吧，\n缺点：\n不是很好找，淡季去的时候基本用具（毛巾，浴巾，牙膏，牙刷）什么的都没有，只有电褥子，洗澡的热水也很小。\n总体还算不错吧，呵呵。值得推荐。', '短评打分': 5}
{'短评内容': '我去的那几天(2011年底-2012年初)九寨沟彭丰村的很多酒店都停水了，因为太冷了水管都冻上了，有些价格比九阳快捷高的酒店连马桶里都没有水，只能靠从别的地方拎水来冲马桶。从这点来看，九阳快捷酒店一晚上不太高的价格能保证有水用已经不错了。老板人挺淳朴的，就是说话的时候四川口音比较重我听着很费劲啊，哈哈~从酒店走到景区门口差不多15分钟吧~缺点是房间内的卫生有待加强，我住的那个房间感觉毛巾都没换过，', '短评打分': 5}
{'短评内容': '什么啊，简直没法点评。。\n什么都没有，就是离沟口近点，附近吃饭什么的方便点，但是本身的环境简直差的很，根本就木有热水，空调要加钱，只有电热毯', '短评打分': 1}
{'短评内容': '环境很差空调是个摆设不能用卫生间漏水', '短评打分': 3}
{'短评内容': '在九寨沟这地方凑合吧，热水太小了到最后就没有了，老公晚上都没有洗成澡', '短评打分': 5}
