{'短评内容': '好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好几次来深圳都是住的这家酒店;地理位置不错离地铁站很近,七八分钟就到了,酒店环境也不错,就是装修的有点久了看上去有点旧的,但是卫生不错,干净', '短评打分': 5}
{'短评内容': '地理位置好房间虽然有点小', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '环境好，服务好，人漂亮，好。', '短评打分': 5}
{'短评内容': '唯一的优势就是价格比较便宜，但房间和服务真的不敢恭维，地板都是破的，晚上等工作人员开门等了十几分钟，周边出行算方便。', '短评打分': 4}
{'短评内容': '服务很好，下次会再来的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '世界那么大，维也纳是我家', '短评打分': 5}
{'短评内容': '世界那么大，维也纳是我家', '短评打分': 5}
{'短评内容': '挺好的，不错，好好好好好', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '分到没有凳子的房间，实在小，下水管还漏水', '短评打分': 3}
{'短评内容': '挺好的，住过多次了。之前住通风效果都很好，不过这次进门却闻到异味了，有待加强。', '短评打分': 5}
{'短评内容': '还不错，干净卫生，下次还会再来', '短评打分': 5}
{'短评内容': '还不错，干净卫生', '短评打分': 5}
{'短评内容': '还不错，干净卫生', '短评打分': 5}
{'短评内容': '还不错，就房间有点小', '短评打分': 5}
{'短评内容': '服务很好，环境很赞，值得信赖', '短评打分': 5}
{'短评内容': '还行吧，可能靠着车站', '短评打分': 5}
{'短评内容': '很满意这次住的酒店非常好，环境很舒适。', '短评打分': 5}
{'短评内容': '非常好服务一流', '短评打分': 5}
{'短评内容': '条件还行，就是房间有点小。', '短评打分': 5}
{'短评内容': '还不错，挺好的，房间很干净很舒服', '短评打分': 5}
{'短评内容': '酒店很干净，很舒服，就是走道里很闷，床很舒服，下次过来了还住你家', '短评打分': 5}
{'短评内容': '房间干净，很舒服，很便宜，服务好', '短评打分': 5}
{'短评内容': '房间很好，床很舒服，便宜，服务好', '短评打分': 5}
{'短评内容': '很好得，经常住，干净便宜，服务好', '短评打分': 5}
{'短评内容': '我打字就是为了拿京豆啊', '短评打分': 5}
{'短评内容': '房间很新.停车不方便。前台服务不够专业', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '看看', '短评打分': 5}
{'短评内容': '经常定这家的，这次定的房间没有冰箱。这是为一个缺点。其它服务都很好', '短评打分': 4}
{'短评内容': '很适合居住，每次出差都来这', '短评打分': 5}
{'短评内容': '能把客人的姓氏搞错，半夜到酒店，竟然没有查到订单，经过携程的调节，一个小时才进房，洗手间的漏水声导致本来就3个小时休息时间，基本无法入睡，从没有的体验，房间很是小，房间好像基本没有电源插座，我是把电视机和电话线拔了，才能给手机电脑充电，绝对不会再次入住这样的酒店。', '短评打分': 2}
{'短评内容': '设施旧，隔音差，附近还有物流群的货车干扰。预付两天无法退，第一天晚上就被吵得无法入睡', '短评打分': 2}
{'短评内容': '酒店服务还可以，房间干净，位置离地铁有点远，设施齐全，在附近算性价比比较高的一个酒店，出差另外住的差不多了。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '環境可以', '短评打分': 5}
{'短评内容': '服务态度非常好，谢谢！以后会经常光顾！', '短评打分': 5}
{'短评内容': '位置不错，周边交通便利，标准的商务酒店，也不会太吵。但是设备相对一般，房间干净，空调效果不错。离地铁站很近，值得推荐！', '短评打分': 5}
{'短评内容': '卫生非常好，交通便利，服务态度很好。下次再来深圳首选这家酒店。', '短评打分': 5}
{'短评内容': '还不错，房间挺舒适，交能便利，虽在主路边，但也不吵，隔音不错', '短评打分': 5}
{'短评内容': '交通方便，周边有地铁，公交车直达深圳市中心。只是外面有水塔，有些吵。服务也很好。', '短评打分': 5}
{'短评内容': '床很舒服', '短评打分': 3}
{'短评内容': '    设施还算齐全，就是隔音差了点，还有灯光太暗。服务一般，其他就没什么了。', '短评打分': 5}
{'短评内容': '床非常舒适，睡眠质量很好；服务态度也挺好。拖鞋很差，是重复使用的那种，怕不卫生，打了一晚上赤脚。', '短评打分': 3}
{'短评内容': '服务态度较好，就是房间有点小，总体还不错', '短评打分': 5}
{'短评内容': '客房条件都不错，而且性价比也高，整体水平很好，住着感觉也舒服.', '短评打分': 5}
{'短评内容': '客房条件还不错，整体来讲比较达标，并且性价比蛮高的，水平不错.', '短评打分': 3}
{'短评内容': '地理位置还挺方便。价钱也算公道合理了。卫生状况也还成。就是房间小了点。', '短评打分': 5}
{'短评内容': '这家酒店还行，环境很新，配套设施也挺齐全的，除了住宿，餐饮、娱乐方面做的也很好。', '短评打分': 5}
{'短评内容': '酒店离梅林关很近，交通便利，出租车非常好找，该酒店的环境也不错。', '短评打分': 5}
{'短评内容': '房间宽敞，很整洁，住着还是蛮舒服的，最重要的是价格实惠。', '短评打分': 5}
{'短评内容': '环境优雅，客房舒适，服务周到，而且就在梅林关口，这个价格很值，推荐入住。', '短评打分': 5}
{'短评内容': '住得很棒，不错！', '短评打分': 5}
