{'短评内容': '老顾客，经常去这家。比附近的七天感觉都干净性价比高。', '短评打分': 5}
{'短评内容': '服务态度好，城区中心地段，卫生较好，价格公道！下次还会过去入住。', '短评打分': 5}
{'短评内容': '很好的服务便捷的交通', '短评打分': 5}
{'短评内容': '干净卫生，环境不错', '短评打分': 5}
{'短评内容': '第一次入住该酒店。真的不错。不是很大。但比较安静。卫生好。连锁酒店啊。周边吃饭地方好多。什么都有。就是离地铁站比较远点', '短评打分': 3}
{'短评内容': '酒店位置不错，但无停车场，附近老城区，餐饮服务还行', '短评打分': 5}
{'短评内容': '还算可以，对得起这个价位。', '短评打分': 4}
{'短评内容': '周末两天需要考试，所以提前通过京东订了房间，感觉还可以。希望以后能做的越来越好！', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '。？。。。。。。', '短评打分': 5}
{'短评内容': '地方太偏僻了，其余到时还好', '短评打分': 5}
{'短评内容': '。。。。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间空间光线很好', '短评打分': 5}
{'短评内容': '经常来住 安静舒适', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '很好弄干净卫生', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '下次还去', '短评打分': 5}
{'短评内容': '服务质量好，周边环境比较安静幽静。', '短评打分': 5}
{'短评内容': '不错，下次还会再来。', '短评打分': 5}
{'短评内容': '性价比高，服务热情，可供选择，', '短评打分': 4}
{'短评内容': '周边吃饭很多，对面就是便利店，买些零碎的也很方便。整体算是干净，淋浴间有些小，洗头时候手肘很容易撞到，但是这个价钱来说，性价比也算没得挑了。前台也都很客气，如果下次出差预算那么低的话，还是会选择这里。哈哈', '短评打分': 5}
