{'descr': '挺方便的，离地铁站近', 'star': 4}
{'descr': '很不错', 'star': 5}
{'descr': '很热情，还帮忙免费换了有窗户的，很赞', 'star': 5}
{'descr': '服务很周到', 'star': 5}
{'descr': '还挺不错，安静舒适。', 'star': 5}
{'descr': '感觉还不错，期待下次预定，这样中国国庆节就更加快意了。', 'star': 5}
{'descr': '住了两次了，还是不错的', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '服务可以，房间也可以', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '#ud83d#ude0a', 'star': 5}
{'descr': '很赞', 'star': 5}
{'descr': '性价比较高', 'star': 4}
{'descr': '房间还行，就是卫生间小了点。', 'star': 4}
{'descr': '感觉很不错，离地铁站步行也是5分钟左右，坐公交车也是步行不到10分钟就有很多公交车，附近各种早餐店，餐厅、饭馆也很多，而且价格、味道也很好，酒店的卫生状况也是非常满意，房间也够大。\r\n下次到重庆还会继续入住这间酒店。', 'star': 5}
{'descr': '感觉很不错，离地铁站步行也是5分钟左右，坐公交车也是步行不到10分钟就有很多公交车，附近各种早餐店，餐厅、饭馆也很多，而且价格、味道也很好，酒店的卫生状况也是非常满意，房间也够大。\r\n下次到重庆还会继续入住这间酒店。', 'star': 5}
{'descr': '可以，环境设备等符合一般如家酒店的水平', 'star': 5}
{'descr': '环境很哈好', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '位置在地铁站边，交通比较方便，房间里有一个大柱子，非常不方便', 'star': 4}
{'descr': '无语，一个月前就按161的价格定好的宾馆，去了结果前台说，你没在9点以前入住，所以订单被携程自动取消了。取消时并未通知我们，我们大晚上下了飞机辛辛苦苦赶过来，携程和宾馆是否应该欠用户一个小小的询问或通知以表尊重？', 'star': 4}
{'descr': '在那一圈。我觉得这家还算不错了。我们住的房很安静。', 'star': 5}
{'descr': ' 不怎么样', 'star': 3}
{'descr': '酒店很干净，住的也很舒服，从酒店出来往下一走就有机场大巴，很方便！下次来还会选择这里', 'star': 3}
{'descr': '该酒店交通很方便地理位置好服务态度热情值得推荐', 'star': 5}
{'descr': '酒店位置应该说不错的，周边交通比较方便，虽然酒店内部硬件设施不足', 'star': 5}
{'descr': '给我的感觉一般般吧，和其他的商务酒店比起来，内部的硬件设施和软件还是有差距的，只不过酒店的位置不错罢了', 'star': 1}
{'descr': '酒店干净明亮，空气新鲜，服务人员服务专业，有求必应，结帐迅速快捷。', 'star': 3}
{'descr': '房间还可以只是前台有点二大娘的味道', 'star': 3}
{'descr': '酒店离机场巴士渝通站很近，去机场相对来说很方便，还算干净，在这个价位上不能要求太多！', 'star': 5}
{'descr': '位置有点偏，房间很干净，服务热情周到，值得推荐', 'star': 5}
{'descr': '设备很老。水龙头、电视柜、马桶盖都是坏的。而且没有椅子，上网没有地方坐。', 'star': 1}
{'descr': '网速超快，环境一般，总体还可以。位置便利，就是晚上睡觉的时候挺才吵得 不知道是怎么回事。', 'star': 5}
{'descr': '房间不算大，床比较舒服，配套家具不算多，可以上网，网线需前台领用，早上起晚了，错过早餐时间，性价比给80分', 'star': 3}
{'descr': '房间还算干净，交通也还方便的，只是房间稍微有点小，卫生间和房间是玻璃相隔的，个人感觉有点不太方便~其他都还行~\n\n', 'star': 5}
{'descr': '房间很不错，提供早饭很中式也很简单，也许可以更改进一些...? ', 'star': 5}
{'descr': '环境不错，大床房分日式塌塌米和高床，两种都住过，感觉都很好。', 'star': 3}
{'descr': '不错，干净清爽，位置很好，服务员的卫生工作很到位。就是建议拖鞋使用一次性的，免得像家庭小旅馆不卫生。', 'star': 5}
{'descr': '房间里面配套不怎样，服务有待提高，性价比不高。', 'star': 1}
{'descr': '酒店总体来说还是不错的，但是就是地方不怎么好找，下了机场大巴找了大概20分钟才找到。酒店的房间有点小，其他的还总体来说不错的。', 'star': 5}
{'descr': '早餐很差,。总体还说的过去。其他一般。', 'star': 3}
{'descr': ' 地理位置优越，服务好，住了比较满意。下次有机会还有预订。也会告知我的朋友', 'star': 5}
{'descr': '位置不好找，设施较陈旧，前台服务人员较少，导致服务质量受影响。服务人员态度还行！', 'star': 1}
{'descr': '+服务周', 'star': 5}
{'descr': '总的来说  还算不出 ，就是酒店的大门不太好找到，我找了两圈才找到了', 'star': 5}
{'descr': '还不错！', 'star': 5}
{'descr': '卫生间比较透明，洗澡与厕所间无法使水相互干扰。房卡以外无法使用就算了，早餐券几乎都没发放，服务实在很难恭维。', 'star': 1}
{'descr': '房间里收拾的挺利索，设施也还行，整体感觉还不错。', 'star': 5}
{'descr': '服务人员态度还不错，挺热情的，周边交通也比较便利，价格也比较合适。', 'star': 5}
{'descr': '酒店挺不错，价格实惠，卫生打扫的干净，服务也很周到。', 'star': 5}
{'descr': '位置不错，离步行街挺近的，价格也不算贵，整体感觉不错。', 'star': 5}
{'descr': '干净舒适，出行方便，服务周到，价格实施，值得推荐。', 'star': 5}
{'descr': '怎么会没洗漱用品？感觉非常不舒服！！', 'star': 1}
{'descr': '不能刷卡不方便，早餐太简单了。稀饭馒头，咸菜。不敢恭维。房价还比较便宜。离观音桥步行街走路10分钟左右，位置可以。楼下附近的餐厅不错', 'star': 5}
{'descr': '紧邻民航站点，交通便利。', 'star': 5}
{'descr': '在那里价格还是有点贵了   能便宜点就更好啦', 'star': 5}
{'descr': '位置有点偏，不是很好找，酒店的门口的标识不是醒目，房间是很干净的，卫生和设施还不错，服务也可以，整体感觉这家酒店的性价比还不错的', 'star': 3}
