{'短评内容': '总体还行', '短评打分': 3}
{'短评内容': '酒店比较老，在云佛滑雪，凑合一晚还是可以的', '短评打分': 3}
{'短评内容': '服务周到，我就喜欢', '短评打分': 4}
{'短评内容': '设施太陈旧 ', '短评打分': 3}
{'短评内容': 'Bad', '短评打分': 2}
{'短评内容': '酒店卫生和服务不错', '短评打分': 4}
{'短评内容': '酒店卫生和服务不错', '短评打分': 4}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '房间还干净，环境非常好，只是设施太老了!', '短评打分': 4}
{'短评内容': '还不错！！！！！！！！', '短评打分': 3}
{'短评内容': '还可以，就是有点便宜。设施有点旧。', '短评打分': 5}
{'短评内容': '无WiFi上网，设施较陈旧，周边不繁华，不方便，价格较高，喜欢清静的人可以入住，团购的人较划算，服务员没有眼力见。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好很好很好很好很好很好', '短评打分': 3}
{'短评内容': '结帐那叫一个乱七八糟,四个服务员结帐,用了20分钟,真是无语。', '短评打分': 3}
{'短评内容': ' 周围环境还不错 屋内设施陈旧，宽带还要单交钱，前台人员服务比较冷淡，房内被褥基本都是湿的，400的房间有点坑爹了', '短评打分': 3}
{'短评内容': '酒店还行，但三号楼的设施太差了，杯子不能盖，被罩都是线球。房间有味道，根本不能睡。', '短评打分': 3}
{'短评内容': '还不错，很大很干净，比想象中好，但是跟云蒙比还差点，毕竟岁数大了。', '短评打分': 3}
{'短评内容': '总体来说还可以~就是需要自己带水，房间里的水没法喝', '短评打分': 5}
{'短评内容': '酒店服务态度很好，环境好，就是房间床上用品不够靓，较暗', '短评打分': 3}
{'短评内容': '房间陈旧，10.1去的时候到处都是臭大姐，卫生间设施也很差，早点更差。', '短评打分': 1}
{'短评内容': '＋房间有些老，设施还算全。', '短评打分': 3}
{'短评内容': '还行吧 就是服务员素质不高 环境还可以 房间通风不好', '短评打分': 5}
{'短评内容': '环境好，但是酒店比较陈旧。\n酒店位置还可以。可以推荐朋友入住。\n', '短评打分': 5}
{'短评内容': '三星,还可以,就是旧点。不知一号楼怎么样?', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '整体环境还可以，就是管理有点乱，网上预订的，到那竟然说没查到住宿预订，晕。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '环境不错，在云佛山下，酒店设施比较全面，上网应该免费', '短评打分': 5}
{'短评内容': '环境很好，位置交通便利，性价比还不错！我们带了孩子去，提了不少要求，酒店都一一解决了！', '短评打分': 5}
{'短评内容': '  酒店环境很好，饭菜一般价格还高。', '短评打分': 3}
{'短评内容': '上网费用太高了，一分钟8块钱，不知道什么人能接受，呵呵', '短评打分': 1}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '3号楼设施较陈旧，一层潮湿，有霉味儿。饭菜一般且价高。', '短评打分': 5}
{'短评内容': '交通不太方便，如果去旅游的话，要么住水库旁边的宾馆或农家院，要么就住到密云市里，云佛山有点前不着村后不着店。', '短评打分': 1}
{'短评内容': '感觉很差的酒店，下次不会住了。', '短评打分': 1}
{'短评内容': '感觉很差的酒店，下次不会住了。', '短评打分': 1}
{'短评内容': '酒店很一般了，房间里的设施方面比较沉了，服务卫生方面也很一般。位置还可以，周边环境还不错。整体感觉不适合推荐。', '短评打分': 1}
{'短评内容': '我们全家度假的时候住的这家度假村，价格比较合理，卫生做的很到位，还可以在里面钓钓鱼，吃点小吃什么的，很愉快。', '短评打分': 5}
{'短评内容': '服务员总是面带微笑，遇到什么事情态度都很好，感觉比较有素质。', '短评打分': 5}
{'短评内容': '酒店的服务不错，设施条件和环境都比较好，在这个位置来说价格还是比较合适的。', '短评打分': 3}
{'短评内容': '他们酒店一号楼很吵，有风机的声音，不过酒店的设施还是不错的，去密云玩他的位置也挺不错的，而且服务也不错，再住这里的话，我肯定换个房间，不住这个一号楼。', '短评打分': 3}
{'短评内容': '酒店的周围环境蛮安静的,住着也比较舒适,然后价格也挺合理的,还是可以推荐的.', '短评打分': 3}
{'短评内容': '设施比较旧了，房间还比较干净，服务也不错，位置稍微有点偏，价格还可以接受', '短评打分': 5}
{'短评内容': '酒店的服务环境包括硬件设施都非常的不错，主要还是他的位置好，离景点很近，价格也比较适中。', '短评打分': 5}
