{'短评内容': '老头不错。。', '短评打分': 3}
{'短评内容': '可以停车，适合家庭出游居住。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店不太好找，老板亲自接，热情。房间真大，床也很大，睡觉舒服，房间安静，感觉太好了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '旅店很干净，住房条件好，大哥大姐很热情，还借厨房给我们做饭，距离海边有点远，不过可以租自行车骑', '短评打分': 5}
{'短评内容': '环境比设想的好很多，很划算老板人特别好，去的那天还去车站接，附近景点特别多，租辆自行车就能整个逛遍', '短评打分': 5}
{'短评内容': '很老的名宿。淡季去的，没什么人，晚上出去感觉还挺害怕的', '短评打分': 4}
{'短评内容': '真的不错，店家热心，值得信赖', '短评打分': 3}
{'短评内容': '还行，可以自己买海鲜回来做了吃。', '短评打分': 3}
{'短评内容': '还行吧，条件不比宾馆，但是方便，人也热情', '短评打分': 3}
{'短评内容': '环境不错。里面的设施整理的挺好的，老板还接我们了，不错不错', '短评打分': 3}
