{'短评内容': '房间不大，但是很干净，酒店附近交通也很方便', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店很好找', '短评打分': 5}
{'短评内容': '非常好，很干净，很高级，是个正常的酒店', '短评打分': 5}
{'短评内容': '性价比高，办公方便，交通便利。。。。。', '短评打分': 5}
{'短评内容': '性价比高，确实不错，建议选购。。。。。。', '短评打分': 5}
{'短评内容': '不错的，性价比很高。。。。。', '短评打分': 5}
{'短评内容': '垃圾酒店。。', '短评打分': 1}
{'短评内容': '一般，房间太小了。', '短评打分': 4}
{'短评内容': '挺好的 出行方便 值得推荐', '短评打分': 4}
{'短评内容': '房间还算蛮干净的，就是在高架边上晚上车有点多，稍微有点吵，离地铁不是很远，10分钟左右就走到了，总体来说还是很不错的', '短评打分': 4}
{'短评内容': '酒店环境还算比较卫生干净，', '短评打分': 4}
{'短评内容': '房间很不错，特价房很实惠', '短评打分': 5}
{'短评内容': '房间很好，很大很干净', '短评打分': 5}
{'短评内容': '房间很不错，位置也挺方便，价格真实惠。', '短评打分': 5}
{'短评内容': '周边环境不错  房间不错  周边吃的也多', '短评打分': 5}
{'短评内容': '酒店附近很方便，就是房间有点小，总体还可以', '短评打分': 4}
{'短评内容': '环境挺好，地方也很大的。', '短评打分': 5}
{'短评内容': '酒店的卫生还不错，位置就在高架下，不过中山北路一直是比较容易堵塞的，酒店的位置不是太显眼，停车场也很小！', '短评打分': 1}
{'短评内容': '地理位置很好，性价比很高，值得推荐。早餐很丰盛，在上海算是很难找的酒店了，网上预订要比到店住宿便宜很多', '短评打分': 5}
{'短评内容': '老去了~~~房间小了点~~~其他都很好~~~以后还会去~~~', '短评打分': 5}
{'短评内容': '隔音不好，服务态度一般，床比较窄，明明是小床还说是双人床', '短评打分': 1}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '干净卫生，挺好的``在上海值这个房价~~', '短评打分': 5}
{'短评内容': '酒店很好,就是房间有点小.', '短评打分': 3}
{'短评内容': '不是很好...坑爹.厕所竟然透明的,大床房的床和双人房一样小.', '短评打分': 3}
{'短评内容': '各种设施都不错！挺干净的！就是床偏小了点！', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '交通还算方便，定的大床房，房间很小，放过床，只剩下走路的地方。早餐是楼下的一个小饭店，说是自助餐，每个人只给两个包子、一鸡蛋和白米稀饭，失望~~', '短评打分': 5}
{'短评内容': '房间小了点，卫生还可以', '短评打分': 3}
{'短评内容': '酒店还可以，但是酒店的早餐要记得以后改善，房间有些小。', '短评打分': 5}
{'短评内容': '总体感觉不错，装修现代，室内用具高档，缺点是房间稍微小。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，距离火车站就一站地，房间很宽敞，住着还算舒服', '短评打分': 5}
{'短评内容': '环境还不错，设施挺齐全，液晶的电视，空调都有，服务也很周到，住的还挺满意的。', '短评打分': 5}
{'短评内容': '服务质量很好，很热情很周到，房间干净整洁，住的很舒适。', '短评打分': 5}
{'短评内容': '房间住着干净，整洁，舒适，硬件设施相对来说很齐全，整体感觉住宿环境还可以的', '短评打分': 5}
{'短评内容': '房间宽敞舒适，服务热情周到，设施也齐全，价格也公道，值得推荐。', '短评打分': 5}
{'短评内容': '房间非常舒适，整洁，服务也很周到，价格也不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '酒店的服务还是蛮好的，服务员很大方，办事情效率快，随叫随到，很有礼貌', '短评打分': 5}
{'短评内容': '房间硬件设施很齐全，电视是液晶的，而且收的频道蛮多的，房间床很大，睡得很舒服', '短评打分': 5}
{'短评内容': '卫生方面挺不错，房间没什么异味，床单被罩也挺干净的，用的挺舒适。', '短评打分': 5}
{'短评内容': '酒店交通还算方便，附近有一些公交车，另外走路10分钟左右有3号4号轻轨，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店还不错，安静，干净，住的很舒适，价格也合理。', '短评打分': 5}
{'短评内容': '我住的是三人标准间，房间挺大的，也挺干净，床也很大，睡的很舒适。', '短评打分': 5}
{'短评内容': '酒店房间打扫的很干净，没有任何异味，地理位置也还可以，附近有很多吃饭的地，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店位置还不错，周边公交挺多，步行10几分钟还可以乘坐轻轨呢。', '短评打分': 5}
{'短评内容': '一般…早餐差…', '短评打分': 5}
{'短评内容': '饭店不错', '短评打分': 5}
