{'短评内容': '点评过不重复了，就那样', '短评打分': 2}
{'短评内容': '这个名宿不适合拖家带口，外观是土楼形状，里面是四合院很特别，但缺点就是一个人声音稍微大一点全院子都能听到，厕所卫生状况不咋地，外面有人走动就感觉从身边走过，晚上无法入眠', '短评打分': 3}
{'短评内容': '这是我住过最差劲的旅馆了，我们是3、4点入住的，卫生还没搞，去到等了很久，进去发现卫生搞得很差，枕头上还有很多头发；房费价格那么高，房间空间却太很窄、楼增高没电梯，带大件行李非常不方便。', '短评打分': 1}
{'短评内容': '近永定土楼王，方便停车，房间设施简陋些，卫生也有待提高', '短评打分': 2}
{'短评内容': '加了十块，选了标双，独立小栋，相对环境不错，有合作农庄，打八五折，消费六七十的样子，人均', '短评打分': 3}
{'短评内容': '住在土楼里面，非常有特色，房间小了点，不过问题不大', '短评打分': 3}
{'短评内容': '潮湿，吵杂，价格又贵。', '短评打分': 3}
{'短评内容': '环境很好，乡村气息很浓厚，空气很清新', '短评打分': 5}
{'短评内容': '主要是靠着土楼王，而且他家的主体楼很有味道，可惜我们亲子房在旁边的楼', '短评打分': 3}
{'短评内容': '价格合理配置方面十分好服务态度和蔼下次来', '短评打分': 4}
{'短评内容': '一般的旅馆。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
