{'短评内容': '可以啊', '短评打分': 5}
{'短评内容': '服务态度好。', '短评打分': 4}
{'短评内容': '不坐车比较方便挨着车站，吃饭也很方便，小吃店很多', '短评打分': 4}
{'短评内容': '无早餐，酒店开在版纳车站边上，环境一般，只是比较方便。不能加床，这个酒店开的五六年了，设施比较旧，没开车所以不知道有没停车场，但是带孩子的话建议去好一点的酒店。', '短评打分': 4}
{'短评内容': '整体还是不错的！离汽车站近！值得去', '短评打分': 5}
{'短评内容': '好，干净', '短评打分': 5}
{'短评内容': '还不错。价格便宜。环境好，地理位置不错。离机场近。汽车站近。', '短评打分': 5}
{'短评内容': '订的是商务间，结果房间没电脑，无法上网处理事务，房间是卫生管理不错，清洁整齐，周边也满热闹，還可以^_^。', '短评打分': 4}
{'短评内容': '订的是商务间，结果房间没电脑，无法上网处理事务，房间是卫生管理不错，清洁整齐，周边也满热闹，還可以^_^。', '短评打分': 4}
{'短评内容': '总体来说可以 不过没吹风机 上一位客人拉的大号没冲干净打扫客房的也不管', '短评打分': 4}
{'短评内容': '相当实惠，推荐大家入住', '短评打分': 3}
{'短评内容': '房间大小合适，价格偏贵。晚上有点吵', '短评打分': 3}
{'短评内容': '位置好！态度好！只是设施比较陈旧。', '短评打分': 3}
{'短评内容': '不错，方便，就是有点吵', '短评打分': 3}
{'短评内容': '离版纳客运站非常近，50米左右，带小孩的自由行值得推荐，但设施有点旧，其他都行', '短评打分': 5}
{'短评内容': '酒店还可以，只是没有早点。去热带植物园还是不远。。。。', '短评打分': 5}
{'短评内容': '房间很大，可惜设施太陈旧，给人的感觉不是太干净。接车服务很热情，驾驶员师傅非常客气。', '短评打分': 3}
{'短评内容': '房间大，但周边环境差了点。', '短评打分': 3}
{'短评内容': '下了飞机后有车接，环境不错。如果下次去版纳还是那里入住。。。。', '短评打分': 5}
{'短评内容': '整体环境不错，比较干净卫生，酒店的服务态度也还好，并提供机场接机，给入住带来比较大的便利，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，地点比较方便价格也挺合理的，还可以接送。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
