{'短评内容': '早餐吃宴会厅，不错', '短评打分': 5}
{'短评内容': '整体环境不错', '短评打分': 4}
{'短评内容': '呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵，就凑合一晚吧！呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵，就凑合一晚吧！呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵，就凑合一晚吧！', '短评打分': 5}
{'短评内容': '服务还可以。放热水时间有点长，不过其他设施还可以！', '短评打分': 5}
{'短评内容': '环境很好，卫生也行，服务好', '短评打分': 5}
{'短评内容': '还可以，就是房间设施老', '短评打分': 4}
{'短评内容': '其他都还好，位置有点偏，晚上虫子挺多，要关好门窗。', '短评打分': 4}
{'短评内容': '前台接待服务非常好！特别是姓万的小姐服务非常热情！', '短评打分': 4}
{'短评内容': '装修有一点旧了，环境还是不错的，在半山上，早餐忒简单了，在县城有这样的条件算可以了，下次还会来的。', '短评打分': 4}
{'短评内容': '前台服务非常好，在携程上定了三间房，空调效果一般，早餐太简单，就是稀饭馒头，选择性太少！不过还是好评。', '短评打分': 5}
{'短评内容': '酒店环境不错这是早餐太差了。', '短评打分': 3}
{'短评内容': '还不错，服务可以吧', '短评打分': 5}
{'短评内容': '环境安静', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '环境还可以，就是上山有点小远。整体不错', '短评打分': 4}
