{'短评内容': '不错不错环境很好，价格合适。', '短评打分': 5}
{'短评内容': '离开的时候把充电器忘在客栈了，等我想起来都已经离开阆中了，隔天抱着试试的心情给客栈去了电话，工作人员很nice，找到之后根据我留的地址电话把充电器快递给我了，非常感谢～', '短评打分': 5}
{'短评内容': '带着一家老小去阆中玩，车就停在古城东门的停车场，收费30元过夜。从东门进入步行不到100米，右手边就是客栈。客房部分是三个四合院组成的，中间那个还有假山池塘，环境不错，古香古色的。', '短评打分': 5}
{'短评内容': '说客栈卫生真的很差  床底下厚厚的灰尘  灯上的蜘蛛网  真不知道平时有没有打扫卫生  都是怎么打扫的  住过最差的酒店了！！！', '短评打分': 2}
{'短评内容': '物美价廉，服务周到', '短评打分': 5}
{'短评内容': '12月10日入住的特价房，房间面积不大，但是够住。位置距离东门很近，50米左右吧。院子及房间卫生很好，落叶都很少见到！两重院落很清静。房间内被子/枕头等关键配置都不错，可以支持很舒服的睡觉。说下缺点吧：卫生间稍显落后，不知道什么地方漏水晚上起来如厕鞋都在卫生间被打湿了。房间内墙局部有发霉/脱皮的，感觉不好。房间隔音不好，隔壁的呼噜声从4点把我吵醒就没有睡着了，可能是木质结构的通病吧。', '短评打分': 5}
{'短评内容': '很舒服。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '非常不错的酒店，舒适、温馨', '短评打分': 4}
{'短评内容': '客栈木制结构，古色古香，很有文化底蕴，感觉象小时候住的老房子。从外面看客栈不是很大，进去后发现里面进深很深，有好几个庭院。环境优雅，不错，住里面很有感觉,真的很好，游古城就要住这样的客栈', '短评打分': 5}
{'短评内容': '干净清爽，位置不错', '短评打分': 5}
{'短评内容': '不错，设施还比较新，房间也不错，就在古城里很方便', '短评打分': 5}
