{'短评内容': '安排房间符合心意，前台服务好。', '短评打分': 5}
{'短评内容': '很好，下次还会来', '短评打分': 5}
{'短评内容': '干净，卫生，地理位置好，方便停车。', '短评打分': 5}
{'短评内容': '这个价格也算可以的', '短评打分': 4}
{'短评内容': '不错，出差很好', '短评打分': 5}
{'短评内容': '价格便宜，送货上门。满意！~', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '挺不错的，', '短评打分': 5}
{'短评内容': '挺好的好好好好好好好好好', '短评打分': 5}
{'短评内容': '房子有点老，房间小。。。。', '短评打分': 5}
{'短评内容': '还可以的，离想去的地方挺近的。', '短评打分': 5}
{'短评内容': '还可以的，离想去的地方都挺近的', '短评打分': 5}
{'短评内容': '房间空间大，住着舒适，环境好', '短评打分': 5}
{'短评内容': '房间空间大，住着舒适，环境好', '短评打分': 5}
{'短评内容': '热情周到，房间很干净，冬季有暖气非常温暖', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '酒店房间不大，其实就是大床房，但是一个人住是够住的。早餐不错，品种有很多可供选择。经济实惠，前台还有免费的枸杞加菊花的泡茶提供给住客饮用，服务也很好的。个人认为不错。', '短评打分': 4}
{'短评内容': '旅游入住的。非常不错。以后旅游还会入住', '短评打分': 5}
{'短评内容': '房间烟味巨大！', '短评打分': 3}
{'短评内容': '不错，旅游去住的，环境挺好', '短评打分': 5}
{'短评内容': '大半夜有人敲门，并且隔音特别差，严重影响了我的睡眠质量，并且大冬天还有蚊子，真受不了！提醒那些已婚的女士，你老公一个人住要慎重！', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的，价格实惠，而且地段也还行。旅游过路不错，机场大巴到。房子隔音就那样，夜晚洗头发电话很烦', '短评打分': 5}
{'短评内容': '用星级酒店的价格住快捷酒店，比金卡会员价便宜很多，但是依然很贵。', '短评打分': 3}
{'短评内容': '用星级酒店的价格住快捷酒店，比金卡会员价便宜很多，但是依然很贵。', '短评打分': 3}
{'短评内容': '用星级酒店的价格住快捷酒店，比金卡会员价便宜很多，但是依然很贵。', '短评打分': 3}
{'短评内容': '房间很小，2个人都转不开身。如果不是旅游旺季应该不会定在这里的', '短评打分': 1}
{'短评内容': '总的来说还可以，酒店前台态度比较冷淡，但是酒店打扫的阿姨服务很好，很热心。', '短评打分': 5}
{'短评内容': '酒店位置不错，但是房间很小，而且非常的不隔音，睡了一晚上没有睡好觉。对莫泰没信心了。', '短评打分': 5}
{'短评内容': '幫朋友訂的，地理位置不錯，機場大巴2號線停車點，出門就是公共汽車站，去火車站也很方便，大概20分鐘不到；酒店服務很周到，房間很乾淨，這次訂的是特價大床，房間面積不算小的，浴室也很衛生，朋友很滿意，過幾天還會來住的。推薦！', '短评打分': 5}
{'短评内容': '很干净，服务态度也很好，位置离台东也很近。', '短评打分': 3}
{'短评内容': '房间空调是坏的，给换了一间。位置还是不错的。距离步行街很近一站路这样。', '短评打分': 3}
{'短评内容': ' 空调不好用，夏天好坑爹。。。', '短评打分': 3}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '＋位置较好，功能齐全，设施简陋，早餐差', '短评打分': 3}
{'短评内容': '蛮干净的，就是隔音效果不怎么样。还有网络给的不给力。整体感觉还可以。', '短评打分': 3}
{'短评内容': '非常干净 地理位置好 非常干净 地理位置好', '短评打分': 5}
{'短评内容': '太远了 ，被子枕头有点俗 ，服务态度不大好', '短评打分': 3}
{'短评内容': '服务态度挺好，房间也挺干净就是太贵了', '短评打分': 3}
{'短评内容': '酒店环境挺好的，服务态度也好，价格也很便宜，浴室还有吹风机！', '短评打分': 5}
{'短评内容': '交通不变,离火车站太远,吃饭也不方便.', '短评打分': 3}
{'短评内容': '还是不错的 空调不是很给力 电视是坏的……不过我们也没很想看啦 还有一个就是这个莫泰在市北区 离市南区的景点有段路', '短评打分': 5}
{'短评内容': '最大的优势是比较接近台东步行街，但又不是邻近，比较安静。去栈桥、劈柴院都有直达公交。装修还可以吧。', '短评打分': 5}
{'短评内容': '条件很一般 建筑比较旧啦 最不平衡的事 我前面一对情侣房费130 而我定的说是最便宜的 要150。。。。。。', '短评打分': 3}
{'短评内容': '去机场方便，门口就有大巴', '短评打分': 5}
{'短评内容': '干净 离逛街的地方很近 交通比较方便。。这个价格很值~', '短评打分': 5}
{'短评内容': '环境很安静，设施齐全，服务感觉很好，很多的好', '短评打分': 5}
{'短评内容': '挺好,服务不错，环境也不错，地理位置也不错的。', '短评打分': 5}
{'短评内容': '很干净，服务态度非常好！', '短评打分': 3}
{'短评内容': '**从没遇到过这么二的酒店，这叫酒店吗？床头上 电话上一层灰，洗手间的杯子里面一个杯子里一根头发，不对，一个杯子有两根。跟同事已经住下懒得换，就叫服务员。结果他们一个女的领班过来大声吵吵，哪里脏那里脏。我给你打扫行不行。。。拿块干布到到摔。。无语了。想着让他们搞下卫生凑合着住吧。结果晚上回来一看。原封没动。怒！叫前台来说给换个房，带着看了房间。后来又不能换了。服务员又找各种理由不让换。有你们这么做', '短评打分': 1}
{'短评内容': '除了位置不太好找、离台东远点之外，其他的都还可以', '短评打分': 5}
{'短评内容': '酒店挺安静的，睡的踏实，就是边上吃饭的地方少，交通蛮方便的。', '短评打分': 3}
{'短评内容': '地理位置不错，交通很方便；房间不大，但一应俱全。总体感觉是不错的连锁酒店！', '短评打分': 5}
{'短评内容': '很不错,性价比高', '短评打分': 3}
{'短评内容': '莫泰168.是新装修的，室内干净，所有用品感觉都很新，周围环境安静，是不错的选择。', '短评打分': 3}
{'短评内容': '环境不错~~价钱很值得~就在路边很好找~屋子五脏俱全~门离床有点近~隔音不是很好~~以后还会选择', '短评打分': 5}
{'短评内容': '房间干净，整洁卫生，服务态度好，地理位置好，非常满意', '短评打分': 3}
{'短评内容': '酒店整体感觉不错，位置明显，交通方便', '短评打分': 3}
{'短评内容': '酒店位置不错，不过周边吃饭地方少的可怜，前台mm蛮漂亮的，房间也干净利落。', '短评打分': 3}
{'短评内容': '地角有点偏 晚上不好找饭店 房间小 灯光昏暗 隔音差 潮湿', '短评打分': 1}
{'短评内容': '还是不错的，经常会选择这家酒店，地理位置很好，停车很方便', '短评打分': 5}
{'短评内容': '地点方便，房间干净。环境很安静。很好，会想朋友推荐', '短评打分': 5}
{'短评内容': '床有点硬', '短评打分': 3}
{'短评内容': '还可以吧，灯光不够明亮，设施设备有点老了，现在的酒店都在竞争装修，莫泰也该更新了，杯子什么的，水壶啊，都很旧了，看起来不干净似的，其实只是旧了。床垫也是能睡到钢丝的感觉。', '短评打分': 5}
{'短评内容': '房间像是小旅馆======================', '短评打分': 1}
{'短评内容': '外表光鲜，房间像是普通小旅馆、、、、、、、、、、、、、、、', '短评打分': 1}
{'短评内容': '交通方便，环境还不错。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '整体还可以。就是吃饭和买东西不方便。要走到步行街。大约15分钟的路。', '短评打分': 5}
{'短评内容': '环境还行，服务很好，房间稍小点。。', '短评打分': 3}
{'短评内容': '莫泰168（青岛华阳路店）>的评莫泰168（青岛华阳路店）>的评莫泰168（青岛华阳路店）>的评莫泰168（青岛华阳路店）>的评', '短评打分': 5}
{'短评内容': '＋条件一般，空调老旧了，躁音很大。', '短评打分': 3}
{'短评内容': '环境不错，感觉挺干净的，又便宜，交通便利，有机场大巴。', '短评打分': 5}
{'短评内容': '主要是离工作地点比较近，感觉挺干净的，又便宜，交通也不错。        ', '短评打分': 5}
{'短评内容': '一切還不錯,且還有窗戶有陽光灑入室內,不錯.只是房間有些小喔!!!', '短评打分': 5}
{'短评内容': '被子太薄了，大冷天冻坏了，前台服务很好，早晨太差，估计是隔几天的饼干，不敢吃！', '短评打分': 1}
{'短评内容': '酒店一般，比招待所强一点', '短评打分': 3}
{'短评内容': '交通非常方便，机场大巴就在酒店门口，去市中心坐公交车也非常方便，距离台东步行街较近。\n虽然房间有点小，被子有点薄，但是交通这么方便，非常值。\n推荐！', '短评打分': 5}
{'短评内容': '很干净 很宽敞 交通很方便 靠近台东商业街 靠近中山路和信息城 很不错的酒店', '短评打分': 5}
{'短评内容': '感觉挺干净的，又便宜，值得一住！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '交通畅通，便于去青岛啤酒街品鉴；服务热情，价格适中；美中不足的是房间小，地毯显得老土，建议换成地板。下次旅游还会住在这里。', '短评打分': 5}
{'短评内容': '和莫泰其他地方一样！方便快捷！这性价比还是很不错的!但是就是早餐是我在所有地方的莫泰店里吃的最差的。。没有给我一贯莫泰早餐还不错的感觉了！', '短评打分': 5}
{'短评内容': '感觉挺干净的，又便宜，值得一住！', '短评打分': 3}
{'短评内容': '房间干净使用。物有所值！', '短评打分': 3}
{'短评内容': '还不错了。。。', '短评打分': 3}
{'短评内容': '房间太小，楼道服务员的服务态度不好。。。。。。。。。。', '短评打分': 1}
{'短评内容': ' 住过的最烂的酒店，冲着莫泰去的，这一辈子不会再住莫泰。招待所的服务都不如，原本定了2晚，明早搬家', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还不错，靠近青岛天幕城，位置也比较好找。', '短评打分': 5}
{'短评内容': '唯一是位置救了这酒店，别的都不怎么样。。。\n\n门口有机场2路到机场，往东走10分钟是台东，\n门口有5路电车到青岛火车站和四方客运站。\n走一站路有到薛家岛的隧道4路。', '短评打分': 5}
{'短评内容': '除了机场线方便，周边没啥好的。房间好小啊', '短评打分': 1}
{'短评内容': '房间还可以，就是小点了。', '短评打分': 3}
{'短评内容': '前台服务太差，附近购物餐饮全无，不值得考虑。', '短评打分': 1}
{'短评内容': '地点不错，得走一会儿才到台东，床不是很舒服', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '今天入住青岛华阳路店，交通不错，但房间环境一般。', '短评打分': 3}
{'短评内容': '整体感觉不错，就是房间相对局促', '短评打分': 3}
{'短评内容': '诸如前面的朋友提到的，酒店的服务速度很快捷，服务态度不错。相比较一般的快捷酒店，还是不错的。下次去还会去住。     \n设备稍微有些旧的感觉，隔音效果跟多数的快捷酒店差不多。不过服务的到位完全可以弥补这些缺憾。', '短评打分': 5}
{'短评内容': '房间隔音效果太差！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '   住过这么多的莫泰，这是最差的一家，房间又旧又小，墙壁又脏又破，水槽是露水的，牙杯和毛巾根本无法使用，有黑黑的污垢。电视也不能看，只有一个频道。就算这些都能忍受，可是床垫也是坏的，中间有个很大的凹陷，根本无法睡觉。就是一个五六十块的小旅馆。', '短评打分': 1}
{'短评内容': '干净卫生', '短评打分': 3}
{'短评内容': '酒店环境很一般，床单很奇怪。。。花花绿绿的。。。', '短评打分': 1}
{'短评内容': '还好吧，气氛和灯光都属于比较有情调的那种，就是卫生间里挺冷的。', '短评打分': 5}
{'短评内容': '很舒服，很温馨，很方便，很喜欢，以后还会去住的', '短评打分': 5}
{'短评内容': '交通方便，离台东不到1公里，机场大巴也方便，只是空调有点儿冷，暖气是摆设，估计夏天会好些。', '短评打分': 5}
{'短评内容': '已经是第N次住这个酒店了，还不错，主要是从机场过去大巴直接能到，交通比较方便。', '短评打分': 5}
{'短评内容': '服务好，干净卫生，房间有些冷，空调反应慢。后来好多了', '短评打分': 5}
{'短评内容': '＋总体不错，干净整洁，交通也方便，服务态度很好。不过前台的人感觉很冷漠，房间不是很暖和。', '短评打分': 3}
{'短评内容': '常去 这里的特价房间也有窗哦 呵呵 暖气也开放了 洗澡水超赞 厕所说实话有点冷 不知道能不能解决一下 呵呵 ', '短评打分': 5}
{'短评内容': '\n\n\n还不错，挺干净的，房间的隔音不是很好，不过100来块钱的价格 这个水准可以了', '短评打分': 5}
{'短评内容': '环境很好，感觉很有档次，服务态度也很好，觉得挺值的。', '短评打分': 5}
{'短评内容': '挺好的，谢谢', '短评打分': 3}
{'短评内容': '莫泰 环境很不错洗澡水很热很舒服 窗户只能开个小缝很不爽 ~~~房间也算安静 床对着镜子有点不太习惯呵呵 其他的还都好 哦再就是晚上11点以后入住还要什么信用卡保证 有点郁闷~~~', '短评打分': 5}
{'短评内容': '不错不错，标间性价比更高，交通方便快捷，可以推荐 \n', '短评打分': 5}
{'短评内容': '位置不错，门口有直接去机场的大巴，性价比一般，卫生条件一般', '短评打分': 5}
