{'短评内容': '非常干净，暖和，服务也好。', '短评打分': 5}
{'短评内容': '停车位不知道～', '短评打分': 4}
{'短评内容': '酒店位置好 房间大且舒适', '短评打分': 5}
{'短评内容': '早餐一般，房间很好', '短评打分': 5}
{'短评内容': '室内装修很高早餐一般', '短评打分': 5}
{'短评内容': '隔音不好。别的可以。', '短评打分': 5}
{'短评内容': '酒店位置较好，离火车站近，周边吃的也多，很不错的！房间里还有加湿器，对于不习惯东北暖气的南方人来说很贴心！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '离火车站近，吃饭方便', '短评打分': 5}
{'短评内容': '不错不错哈', '短评打分': 5}
{'短评内容': '不错不错哈', '短评打分': 5}
{'短评内容': '不错不错哈', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每次都住，还不错', '短评打分': 4}
{'短评内容': '干净,酒店服务很好,早餐还好,暖气很足,位置位于市中心,购物吃饭很方便。', '短评打分': 5}
{'短评内容': '一般化，没有停车位', '短评打分': 4}
{'短评内容': '很不错，温暖干净，隔壁也不是很吵', '短评打分': 5}
