{'短评内容': '下次继续光顾', '短评打分': 5}
{'短评内容': '设施一般，价格还算便宜，周边吃饭很方便', '短评打分': 3}
{'短评内容': '我明明在携程预订了房间，结果晚上到那边去说没有记录，当时那个尴尬啊！', '短评打分': 1}
{'短评内容': '这家酒店房间很小，也不是太容易找到，只是离要去的地方近一些，卫生条件也不太好，离京华城还是有段距离的，所以位置尚可吧。', '短评打分': 3}
{'短评内容': '位置好找，交通便利。停车场收费，但可以到前台咨询。没有早餐，估计是没有食堂，这个可以理解。带孩子也可以的，有豪标房。', '短评打分': 5}
{'短评内容': '蛮差，酒店空调基本没用，被子太薄。一个晚上都没睡好……下次去扬州不会……再……选……择……了，后悔极了', '短评打分': 3}
{'短评内容': '垃圾到极点，光线暗、无无线网、无热水澡、空调不制热、被子床单没洗过、房间一阵霉味，简直差劲到极点', '短评打分': 1}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '五一期间酒店价格全部都上调了，高的离谱，只能选择远一点的住，结账的时候前台居然说没有水单，只能手写，好吧！下次不会再来了。', '短评打分': 3}
{'短评内容': '差，很差，非常差', '短评打分': 1}
{'短评内容': '周围环境便利，。 很好，很方便，不吵，服务好，下次还住在这里。。。。。。如果能提供早餐服务就太好了!', '短评打分': 5}
{'短评内容': '很方便，很干净，很安静，下次还来', '短评打分': 5}
{'短评内容': '去扬州出差，经常住在这个酒店，酒店房间很宽敞，卫生整洁，交通方便，出行办事也方便，前台服务也很好，在扬州住过好多酒店，这个酒店不错，性价比很高。', '短评打分': 5}
{'短评内容': '不给发票', '短评打分': 1}
{'短评内容': '地理位置不错，价格合理，就是邻街太吵了，睡不好觉，一大早上汽车的喇叭声太大了。', '短评打分': 3}
