{'短评内容': '环境挺不错的', '短评打分': 5}
{'短评内容': '酒店在一条繁华的商业街上，像老城区，逛街购物很方便，因为临街不利休息，房间比较干净，设施有点旧，早餐太简单，餐厅服务有待改善。', '短评打分': 3}
{'短评内容': '早餐好坑', '短评打分': 3}
{'短评内容': '位置好，环境一般', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '适合商务出差，交通比较方便，已是第二次入住了', '短评打分': 4}
{'短评内容': '不咋地！', '短评打分': 3}
{'短评内容': '性价比比较好', '短评打分': 4}
{'短评内容': '酒店设施齐全，到房间的装修有些旧了。我们入住的双标房有股香烟味，连睡衣上都有了，这点不喜欢。也就胜在价格便宜上。', '短评打分': 4}
{'短评内容': '早餐7点开始，8点不到上来就剩下这些了一塌糊涂，再来九江千万不要再来这里！', '短评打分': 3}
{'短评内容': '每次来九江都住这里，逛街、吃饭都方便。', '短评打分': 5}
{'短评内容': '交通方便，闹市区，购物吃饭都不错', '短评打分': 5}
{'短评内容': '房间太小，卫生状况一般', '短评打分': 4}
{'短评内容': '房间太小，早歺品种太少', '短评打分': 4}
{'短评内容': '很好，不错', '短评打分': 5}
