{'短评内容': '非常不好。一进楼道就有卫生间的臭味。而且没有停车的位置。', '短评打分': 1}
{'短评内容': '就是床品真的超级脏 不敢脱衣服睡 把衣服都放在枕头上 穿着帽衫睡了一晚 第二天一早逃之夭夭', '短评打分': 2}
{'短评内容': '酒店位置不错，周边环境很好', '短评打分': 3}
{'短评内容': '床单很干净，被套很柔软，浴巾是封包的，感觉很卫生、干净。WIFI网络速度很快，热水很大，水温很暖和。电视频道超级多很棒，还可以点播。', '短评打分': 5}
{'短评内容': '房间不错，有窗户', '短评打分': 5}
{'短评内容': '卫生状况不好，服务态度不好，酒店地板全是脏物，打扫不彻底。热水壶水垢明显，我自带矿泉水烧一下，居然倒出水垢；窗户居然拴了根绳当把手，而且还关不严实，晚上居然漏风。电梯要刷卡，而且就给一张卡，也就是说你下楼买东西去，留在屋里的人就只能回归原始了。。。。。。可以理解旺季旅游城市的酒店浮涨，但不能接受这种服务不匹配的体验', '短评打分': 3}
{'短评内容': '床单还有头发和血渍，很恶心，环境差，服务员态度很差，屋子里很潮湿阴冷，住过最差的酒店了。', '短评打分': 1}
{'短评内容': '距山庄特近，值得去！', '短评打分': 5}
{'短评内容': '住的迷你大床房，在二楼的一个小角落里，还得坐电梯到三楼，然后走到二楼，房租空间较小，有股味道，没有无限网，没有单独插座用来充电。', '短评打分': 3}
{'短评内容': '又加钱升级房间了，房间卫生间太有味了，排风扇也不行，熏死了，也没有停车位，离避暑山庄还挺近，周围也有商场和超市。', '短评打分': 3}
{'短评内容': '赶上国庆休假旅游，房价贵的离谱，环境卫生不好，设备老化，停车费劲！', '短评打分': 2}
{'短评内容': '挺好的，价位就是200左右比较合适', '短评打分': 3}
{'短评内容': '挺好的，毕竟价格就在那', '短评打分': 3}
{'短评内容': '地理位置好，离避暑山庄近，走路不到10分钟，房间设施稍差淋浴间不方便，服务不错', '短评打分': 3}
{'短评内容': '凑合吧，设施一般，就是隐蔽了点', '短评打分': 3}
