{'短评内容': '环境不错就是离去的地方有点远', '短评打分': 5}
{'短评内容': '确实如别人评论的一样，房间有味，其他都挺不错，前台也不错。', '短评打分': 5}
{'短评内容': '我们住时人比较少，早餐一般，有停车位，价格便宜，唯一不足是没有电梯，拿着行李抱着孩子上三楼很麻烦，建议安装电梯', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好', '短评打分': 5}
{'短评内容': '早餐干净卫生！服务人员态度很好！房间很干净！走道很有特色！交通比较方便，毗邻西安美院，距离石榴销售地点很近。', '短评打分': 5}
{'短评内容': '环境不错，干净，安全', '短评打分': 5}
{'短评内容': '定的三人间 房间够大  尤其大堂的一个帅哥非常客气 有问必答 提供不少帮助 房间卫生还可以 就是有股霉味 在旅游区这个档次这个价格不错了', '短评打分': 4}
{'短评内容': '卫生干净，环境清静，交通便利', '短评打分': 4}
{'短评内容': '很好的房间，干净，明亮，', '短评打分': 5}
{'短评内容': '酒店没有电梯  屋子是隔板的那种，走廊里走动都能听见，我们住的那晚旁边有个小孩，哭闹到凌晨1点多，所以我们也跟着熬到那么久，因为太吵了，出来玩，我也是很郁闷，三人房间很大，其他都很好！服务人员态度挺好！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '订了三人间，一进去房间好大。妈妈也超级喜欢，还有电脑，就是信号差，将就看了一个电视剧，附近饭店的话，出门往右走200来米就有，服务不错。我们去的时候正好西安给暖气才两天，好暖和啊，害我拿了厚睡衣，早餐不错，几个菜，馒头，还给煎鸡蛋，粥什么的，不错，性价比很高，下次来还住这', '短评打分': 5}
{'短评内容': '房间和走廊都画的卡通图案，很适合带小孩一家三口居住。', '短评打分': 3}
{'短评内容': '房间还不错，空间也挺大的，设施也很齐全，就是没有电梯', '短评打分': 3}
{'短评内容': '挺好的，和女朋友一起来临潼的，看看兵马俑，游游华清池。。宾馆设施挺好的，还有早餐，服务态度也挺不错的。。', '短评打分': 4}
