{'短评内容': '整体还不错，比想象中的要好', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '酒店位置，很好，下边都有银行，没在酒店吃早餐，不知道怎么样，不过房间很安静，睡得很好，设施也很齐全，是个不错的选择。', '短评打分': 5}
{'短评内容': '干净卫生，服务好', '短评打分': 5}
{'短评内容': '不错，如果有早餐就更好了', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房間气味大', '短评打分': 2}
{'短评内容': '很好的体验', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '交通方便，最好住有窗的房间，早餐很不错', '短评打分': 4}
{'短评内容': '华为出差, 凑合住住吧.毕竟这么便宜.', '短评打分': 4}
{'短评内容': '没窗户，整完都把排气扇和空调开着。', '短评打分': 4}
{'短评内容': '没窗户，整完都把排气扇和空调开着。', '短评打分': 4}
{'短评内容': '一般般，性价比一般', '短评打分': 4}
{'短评内容': '怎么说呢，第一次来深圳，因为离华为最近的酒店都预定慢了，才预订的这家。。总体来说，单人标间还算可以，看表象还是挺干净卫生的。无奈隔音确实不咋地，早上经常被过道里的响动吵醒；更郁闷的是换了另一间后，第二天起了很多小疙瘩，痒的睡不着。医院里查出来是过敏，花了几百大洋看病。来深圳很多天了都没过敏过，就从换了房间开始，多少和酒店有些关系。在说下早餐把，还不错，给送到门口。不过早餐真心不咋地，尤其是那包子，', '短评打分': 4}
{'短评内容': '环境不错，值这个价钱，不过早餐应该是叫的外卖那种', '短评打分': 4}
{'短评内容': '环境不错，值这个价钱，不过早餐应该是叫的外卖那种', '短评打分': 4}
{'短评内容': '出差华为 首选～', '短评打分': 4}
