{'短评内容': '早餐很一般，酒店位置超好，离布达拉宫不到500米，旁边有商业区，机场大巴就在不到100米上车，有停车场。', '短评打分': 5}
{'短评内容': '酒店位置很优越，出行很方便。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '预定后被告知没房间，唉', '短评打分': 5}
{'短评内容': '用了不错，非常不错的购物体验', '短评打分': 5}
{'短评内容': '地理位置非常之好，很不错的正规酒店', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 4}
{'短评内容': '很干净 环境也不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位置很好。价格也合适。', '短评打分': 4}
{'短评内容': '酒店位置好，服务也可以，dd只是老久了点', '短评打分': 5}
{'短评内容': '离布达拉宫、大昭寺、八廓街都很近，就在商业街上，早餐也还可以。', '短评打分': 5}
{'短评内容': '离布达拉宫很近，还有大昭寺，八廓街都在附近，酒店提供的有投币式吸氧机，还不错。', '短评打分': 5}
{'短评内容': '安静，离布达拉宫近', '短评打分': 5}
{'短评内容': '非常不愉快的入住，前台只能按门店价格入住，只住一天下次不来了。', '短评打分': 3}
{'短评内容': '前台服务员古板，态度也很一般。给人的感觉不是很舒服。', '短评打分': 4}
{'短评内容': '环境安静，停车场较小，总体说来还可以，比拉萨那个岷山超值', '短评打分': 5}
{'短评内容': '交通方便，地理位置很占优。离布达拉宫几步之遥。但是没有电梯，上楼相当痛苦啊', '短评打分': 5}
{'短评内容': '还可以，离布达拉宫很近  步行一会就到了。。可惜没电梯，不大方便！', '短评打分': 5}
{'短评内容': ' 不错的酒店 距布达拉宫很近 房间也很干净 下次还会考虑入住 美中不足没电梯 不过有热情的行李员', '短评打分': 3}
{'短评内容': '酒店价格适中，离布达拉宫很近，环境还行，服务稍欠缺。', '短评打分': 5}
{'短评内容': '从外观第一印象还可以，不知内设咋样', '短评打分': 3}
