{'短评内容': '有停车场，酒店位置不错很方便', '短评打分': 4}
{'短评内容': '还可以。位置一般。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '還好。', '短评打分': 3}
{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '一般般吧，跟描述的相符，就是房间有股味道', '短评打分': 5}
{'短评内容': '这么好的酒店怎么会出了这些服务员', '短评打分': 1}
{'短评内容': '还可以。。。。', '短评打分': 4}
{'短评内容': '环境不错，住着舒服，太棒了', '短评打分': 5}
{'短评内容': '很好，下次回海丰还去那入住', '短评打分': 5}
{'短评内容': '房间很大', '短评打分': 4}
{'短评内容': '房间格调高雅、温馨！', '短评打分': 5}
{'短评内容': '不错的哦', '短评打分': 4}
{'短评内容': '干净 卫生  好舒适', '短评打分': 5}
{'短评内容': '旧些，感觉一般', '短评打分': 3}
{'短评内容': '干净卫生，环境好，下次会再入住', '短评打分': 4}
{'短评内容': '很好 非常推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还算不错，美中不足的是多床套房是两张床不应该写多床。', '短评打分': 5}
{'短评内容': '算是海丰镇最好的酒店吧', '短评打分': 5}
{'短评内容': '还不错的，住了第二次了，就是房间厕所的沐浴露按不出来，上次也是一样。', '短评打分': 5}
{'短评内容': '酒店虽然是新开业的，但是房间味道不是很大，房间也够大，酒店内有水疗中心24小时营业，有自助餐。酒店早餐太差，去晚了就没有吃的了，也不再添加。', '短评打分': 5}
{'短评内容': '酒店的配置还不错，挺干净的，就只是位置有点偏僻，出行不太方便，以后再去海丰的话还是会选择那里的', '短评打分': 5}
{'短评内容': '房间很舒服，很好', '短评打分': 3}
{'短评内容': '性价比高，不错。', '短评打分': 3}
{'短评内容': '性价比不错的酒店', '短评打分': 3}
{'短评内容': '很不错的一家酒店，性价比很高，三百多块就有行政套房了，环境很好。以后有机会还住这。', '短评打分': 3}
{'短评内容': '没有窗，还有住客水疗都没有优惠。地方环境还行。。', '短评打分': 5}
{'短评内容': '酒店的配套设施相当不错！性价比很高！值得拥有！', '短评打分': 5}
{'短评内容': '酒店设施较新，整体感觉不错。美中不足的是：1、没有窗户；2、一晚200元的单人房住一晚居然要收500元押金(预授权)', '短评打分': 3}
{'短评内容': '房间窗户太小了，自助早餐也太不给力了。。。记得前几次入住没有遇到以上不如意问题，对于安排了一间小窗户的住房，本人不太能理解，是否是因为在网上订房便宜了18元的原因呢？？？', '短评打分': 5}
{'短评内容': '房间还算干净。不过没有电脑。', '短评打分': 3}
{'短评内容': '很便宜，性价比很高，就是有点偏。', '短评打分': 3}
{'短评内容': '房間很溫馨，裝修的風格滿好的。價格也合理。以後有回去還是會住這裡。', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 3}
{'短评内容': '酒店新，没暖气。房间内部装饰总体设计感觉还不错。仔细看的话，装饰材料用的比较低档。不过100多的价格也算值了。但是如果要清静的朋友就要注意了，由于是水疗、酒店一体的，而且水疗是24小时营业，也许会有些人很晚才入住，半夜别被吵醒哦。还有不知道是否消防抽风机坏了，感觉楼道一晚都听到风机的声音', '短评打分': 5}
{'短评内容': '交通不是很方便，早上浴室水不是很热，浴室有一次性须刨和吹发机', '短评打分': 1}
