{'短评内容': '还不错，早餐外包的小吃店多样选择', '短评打分': 5}
{'短评内容': '性价比超高的一家店，服务态度也好，交通便利。', '短评打分': 5}
{'短评内容': '价格便宜，房间挺干净', '短评打分': 4}
{'短评内容': '很一般，太偏僻了走廊一股霉味', '短评打分': 3}
{'短评内容': '沙家浜景区旁，环境优美', '短评打分': 5}
{'短评内容': '就在景区出口，设施老了些，住1晚，去沙家浜方便', '短评打分': 4}
{'短评内容': '很好，环境不错，', '短评打分': 5}
{'短评内容': '一般吧，价钱贵了。', '短评打分': 4}
{'短评内容': '近沙家浜.', '短评打分': 4}
{'短评内容': '整体不错，性价比还算高 房间挺大的', '短评打分': 4}
{'短评内容': '家庭出行，服务什么的还可以 价格无功无过   周围环境静谧平和', '短评打分': 4}
{'短评内容': '很安静的酒店，设施一般，但是去景区很方便 附近的环境不错 绿波荡漾', '短评打分': 4}
{'短评内容': '景区附近的酒店，周边环境不错 就是晚上黑漆漆，景区附近都不开景观灯', '短评打分': 4}
{'短评内容': '这家酒店非常干净、安静，服务人员也很客气，住那里很温馨的。', '短评打分': 5}
{'短评内容': '有点无语，这样的条件，一个大床房居然要500，而且还是说打过折的。', '短评打分': 1}
{'短评内容': '性价比不高，房间不值这个价，旅游点太差，门票不低', '短评打分': 1}
{'短评内容': '很不错的酒店 位于沙家浜景区内 价格合适 服务不错', '短评打分': 5}
{'短评内容': '不适合商务住宿，晚餐不供应，早餐极差，下次不会再住。', '短评打分': 1}
{'短评内容': '干净，位置不错，离景区很近，餐厅菜口味也不错，值得再次入住', '短评打分': 5}
{'短评内容': '很干净的一家酒店,位置很好就在景区内,餐厅的菜也不错,可惜早餐选择不是很多.', '短评打分': 5}
{'短评内容': '虽然设施比较简单，但还算比较安静，在景区内，环境不错', '短评打分': 5}
{'短评内容': '周围风景不错，环境不错，餐厅不错，心情自然不错', '短评打分': 5}
{'短评内容': '就一普通招待所的水平，价格在常熟地区属于严重高估。\n基本上不会再去第二次的。', '短评打分': 1}
{'短评内容': '酒店位置靠近景区,空气清新,幽静.饭菜可口又实惠,服务人员态度很好,不错的饭店!只是洗澡的水有些小,就是有些小遗憾.', '短评打分': 3}
{'短评内容': '不灵，不灵，不灵\n好像是专门接待旅游团的，不适合私人出游；\n服务不好，房间一股臭味道；\n总之，就是不好。。。。\n很怪，携程的评价那么高，不知道怎么搞得。。。', '短评打分': 1}
{'短评内容': '，酒店较好，服务有待提高。', '短评打分': 3}
{'短评内容': '环境还不错，在景区边上，只是硬件一般，稍旧了点，早餐也不行', '短评打分': 5}
{'短评内容': '房间的卫生设施还可以，地理位置还行，价格还是偏高了。服务态度也就一般。', '短评打分': 1}
{'短评内容': '旅游度假还是挺不错,饭菜价格在酒店中间是很实惠的', '短评打分': 5}
{'短评内容': '总体感觉环境不错，价位合理。无线上网不够稳定。假日人也比较多。', '短评打分': 3}
