{'短评内容': '房间的价格还是很划算的。地址位置很好找', '短评打分': 5}
{'短评内容': '酒店地理位置不错，在一个不算偏僻的巷子里面，出去到有个小吃街，房间也不错，有电视，有WiFi，有24小时热水，住了一个晚上睡得很香，灯很多很丰富，，，13点之前退房，押金100，不足的地方，就是马桶容易堵，那天我就把马桶堵住了，很不好意思，洗澡的喷头很烂，出水量少，还有就是第二天发现床单有点脏。。。肯定不是我弄的，之后我就又洗了一次澡才退房，还有一个不好的地方就是厕所是半透明的，两个人住的话略微尴', '短评打分': 5}
{'短评内容': '感觉都蛮好的', '短评打分': 5}
{'短评内容': '我住的这个精通酒店应该是精通酒店里面最差的了 ，由于入住晚 想看电视 遥控器没电池 手动控制按钮失灵 卫生间太脏 电话没电话 只好走下来叫人醉了 就一个保安一个前台上班', '短评打分': 1}
{'短评内容': '隔音比较差，拖鞋有一只鞋底裂了，总的来说还不错，性价比高', '短评打分': 5}
{'短评内容': '位置有点儿偏，嗯，转圈儿吃的东西太少了。你车位也很紧张，这个前台那大姐。你处，态度一般', '短评打分': 4}
{'短评内容': '很不错，很满意，一直都住', '短评打分': 5}
{'短评内容': '很不错，一直都住', '短评打分': 5}
{'短评内容': '6666666', '短评打分': 5}
{'短评内容': '很好，经常住，就是房子隔音效果太差，厕所有异味', '短评打分': 5}
{'短评内容': '很好，经常住，就是房子隔音效果太差，厕所有异味', '短评打分': 5}
{'短评内容': '价格有折扣惠，送货快， 当你心情愉快时，读书能让你发现身边更多美好的事物，让你更加享受生活。读书是一种最美丽的享受。书中自有黄金屋，书中自有颜如 玉。 接受既成事实，这是克服随之而来的任何不幸的第一步。 能接受最坏的情况，就能在心理上让你发挥出新的能力。 忧虑最大的坏处就是摧毁我们集中精神的能力，一旦忧虑产生，我们的思想就会到处乱转，从而丧失做出决定的能力。 如果你有担忧的问题，做到下面三件事： 1。问你自己：可能发生的最坏的情况是什么？ 2。如果你必须接受的话，就准备接受它。 3。然后镇定地想办法改善最坏的情况。成熟的人会适度地忍耐自己，正如他适度地忍耐别人一样。他不会因自己的一些弱点而感到活得很痛苦。 不喜欢自己的人，表现在外的症状之一便是过度自我挑剔。 独处对我们的心灵运动十分有益，就好像新鲜空气对我们的身体极有帮助一样。 适当程度的自爱对每一个正常人来说，都是健康的表现。为了从事工作或达到某种目标，适度关心自己是绝对必要的。 成熟的人可能有时会批评自己的表现，或觉察到自己的过错和效率不彰，每个人的生活遭遇都是独一无二的。尽管构体的基本因素相同，但我们每个人的生命都很奇妙地自', '短评打分': 5}
{'短评内容': '一般般，进去很大股味道，有点臭，抽风系统不给力。然后就是无窗和内窗一样但是内窗却贵了10块。', '短评打分': 3}
{'短评内容': '卫生勉强可以，7楼正在装修。通道脏', '短评打分': 4}
{'短评内容': '环境还可以，无早餐，价格偏贵！', '短评打分': 3}
{'短评内容': '价格实惠，但是发票一直无法开给我。经过催促，还是没有回应，之前说没有发票，明天就补票并邮寄给我，至今一个多星期了，还是没有办理', '短评打分': 3}
{'短评内容': '隔音差了点', '短评打分': 4}
{'短评内容': '不错，感觉很好啊', '短评打分': 5}
{'短评内容': '上网比较费劲', '短评打分': 3}
{'短评内容': '网络一般，老是无法使用', '短评打分': 3}
{'短评内容': '不错，环境好了，酒吧关了', '短评打分': 4}
{'短评内容': '有点吵！房子上面有个很大的窟窿！浴室不是很干净！最无语的是我晚上10:30入住后要求拿被子给我一张，前台说客房服务下班了没有人钥匙开房务的门为由拒绝给我被子！我想知道精通是连锁酒店就这样的服务吗？太令人失望了！', '短评打分': 2}
{'短评内容': '交通都很方便，楼下就有吃的，旁边还有酒吧可以娱乐一下', '短评打分': 5}
{'短评内容': '酒店楼下的酒吧每晚要到凌晨三点才消停 住七楼都吵死了 绝对不推荐入住', '短评打分': 1}
{'短评内容': '不错的酒店，一直光顾。节假日又不涨价。但是前台不能刷卡，有点不方便', '短评打分': 5}
{'短评内容': '很不错的，干净，房间很大，唯一不足的一点就是在酒吧街里，有点闹。', '短评打分': 5}
{'短评内容': '房间过旧，没之前好。', '短评打分': 3}
{'短评内容': '酒店还不错~就是酒店附近工地彻夜施工较吵！！', '短评打分': 5}
{'短评内容': '酒店隔壁施工，很吵！位置还不错~下次还会入住~', '短评打分': 5}
{'短评内容': '酒店位置好，坐公交车和打的方便，位于南宁最火的酒吧旁边，价格也是东盟期间最便宜的，还有饮食一条街啊，哈哈，就是后面白天施工，晚上楼下有震感，一点点，酒店是去年建的', '短评打分': 5}
{'短评内容': '尚客优时尚酒店房间设施什么的都还算不错的，毗邻酒吧街，晚上是吵了点儿。', '短评打分': 5}
{'短评内容': '隔音稍差了点，大床房有点小，酒店位置还行', '短评打分': 5}
{'短评内容': '＋凌晨5点预订的，差点找遍了南宁，同学找了几个小时都满，还好谢谢了！', '短评打分': 3}
{'短评内容': '不太好,八点前到的,没帮我保存房间,很不愉快', '短评打分': 3}
{'短评内容': '干净，舒适，很不错,地理位置很好，离电脑城很近，唯一不好的一点就是，旁边就是酒吧，晚上会很吵，睡不好！当然对于喜欢夜生活的人来说，更加方便！', '短评打分': 5}
{'短评内容': '房间水压太小', '短评打分': 3}
{'短评内容': '酒店很干净，清理很清洁。但隔音效果一般，能听到外面DJ的声音。', '短评打分': 5}
{'短评内容': '已入住！感觉还不是错，房间小了点！', '短评打分': 3}
{'短评内容': '不错，比较满意！不足之处就是当时没有发票！', '短评打分': 5}
