{'descr': '帮朋友定的，离家很近', 'star': 5}
{'descr': '早餐没吃，不可以加床，服务态度挺好，就是中间出了点差错，原本订的5天前台搞错了，第二天房卡就不好使了，这种错误居然出现过两次，希望改进一下吧，细心一些', 'star': 5}
{'descr': '酒店一般，出差就近住了一晚，电视看的是雪花传奇，床头连个电源都没有。', 'star': 4}
{'descr': '环境很好，比很多城市的速8好多了', 'star': 5}
{'descr': '还不错，交通方便', 'star': 5}
{'descr': '周围环境一般', 'star': 3}
{'descr': '呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃', 'star': 5}
{'descr': '实惠，挺不错，空间很大，双人床。', 'star': 5}
{'descr': '位置好，房间大，网络不好老掉线', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境一般，附近也比较超', 'star': 3}
{'descr': '酒店地理位置优越，交通便利。楼下就有超市，KFC.公交出行方便。', 'star': 4}
{'descr': '地理位置好，酒店楼下有全家超市和KFC.很方便。下次还会继续预定。价格实惠。', 'star': 4}
{'descr': '性价比不错！已经入住几次了，办事方便！楼下有农行，肯德基，还有一些小餐馆，也有一个中小型华润超市！出行还是挺方便的，酒店门口是条大马路！打车不难！', 'star': 4}
{'descr': '环境，服务都好！', 'star': 5}
{'descr': '订过两次商务间，两次商务房间的环境相差太大了，之前订的商务间比标间还烂（这次订一个商务，一个标间），之前还是在前台直接付钱原价，够混乱的，这次还算好点。', 'star': 3}
{'descr': '物有所值吧', 'star': 3}
{'descr': '非常经济的酒店。经济出行的朋友可以考虑', 'star': 4}
{'descr': '卫生间淋浴很差', 'star': 3}
{'descr': '地段在苏州还算可以吧，设施陈旧，客房布局有点像“迷宫”', 'star': 3}
{'descr': '酒店很好，房间多交通方便。', 'star': 3}
{'descr': '服务很好，晚上回去发现门卡不好用，前台态度还不错，房间特别大，卫浴也很棒，内饰设施都挺好，就是得爬楼。', 'star': 5}
{'descr': '服务很好，晚上回去发现门卡不好用，前台态度还不错，房间特别大，卫浴也很棒，内饰设施都挺好，就是得爬楼。', 'star': 5}
{'descr': '在八大胡同里，不是特别难找，附近的川菜馆，早点摊，夜市，水果摊，小超市，饮料批发点都很给力，就是我住的一楼感觉厕所地漏没做好，有味道。', 'star': 5}
{'descr': '在八大胡同里，不是特别难找，附近的川菜馆，早点摊，夜市，水果摊，小超市，饮料批发点都很给力，就是我住的一楼感觉厕所地漏没做好，有味道。', 'star': 5}
{'descr': '房间不错 就是窗户有点太小了啊   呵呵 呵呵 ', 'star': 5}
{'descr': '房间不错 就是窗户有点太小了啊   呵呵 呵呵 ', 'star': 5}
{'descr': '经济间在地下室，卫生间里的浴室没有灯，卫生间的门也是坏的，房间蛮大。', 'star': 1}
{'descr': '经济间在地下室，卫生间里的浴室没有灯，卫生间的门也是坏的，房间蛮大。', 'star': 1}
{'descr': '预定的那晚正好赶上有特价房，酒店在韩家胡同里，非常有历史也有特色，吃饭也算方便，出了酒店走不久就到了纪晓岚故居，离琉璃厂也非常近，我和老公从住的地方走到了天安门...', 'star': 5}
{'descr': '预定的那晚正好赶上有特价房，酒店在韩家胡同里，非常有历史也有特色，吃饭也算方便，出了酒店走不久就到了纪晓岚故居，离琉璃厂也非常近，我和老公从住的地方走到了天安门...', 'star': 5}
{'descr': '面积比较大，干净卫生，环境也不错，很安静。就是交通不方便，出行要走很远的路才能到地铁口，卫生间没有排气口！很郁闷', 'star': 5}
{'descr': '面积比较大，干净卫生，环境也不错，很安静。就是交通不方便，出行要走很远的路才能到地铁口，卫生间没有排气口！很郁闷', 'star': 5}
{'descr': '房间可以。但诚信有问题，订好了的房间转成地下室，而且还要等，我已经是20：00到店等2～3小时，这些都是之前没说的，去了逼我住更贵的房间，皇冠奸商+鄙视！', 'star': 1}
{'descr': '房间可以。但诚信有问题，订好了的房间转成地下室，而且还要等，我已经是20：00到店等2～3小时，这些都是之前没说的，去了逼我住更贵的房间，皇冠奸商+鄙视！', 'star': 1}
{'descr': '酒店服务非常好', 'star': 3}
{'descr': '酒店服务非常好', 'star': 3}
{'descr': '酒店离前门很近，性价比不错，酒店前台很有礼貌', 'star': 5}
{'descr': '酒店离前门很近，性价比不错，酒店前台很有礼貌', 'star': 5}
{'descr': '住的半地下室，环境一般吧，有点潮，而且没有浴霸，不过价钱便宜。', 'star': 5}
{'descr': '住的半地下室，环境一般吧，有点潮，而且没有浴霸，不过价钱便宜。', 'star': 5}
{'descr': '与酒店介绍的蛮符合的，蛮好，出行很方便住的也行', 'star': 5}
{'descr': '与酒店介绍的蛮符合的，蛮好，出行很方便住的也行', 'star': 5}
{'descr': '还是很不错的 房间干净整洁 周边还算是很安静的 购物也很方便的', 'star': 5}
{'descr': '还是很不错的 房间干净整洁 周边还算是很安静的 购物也很方便的', 'star': 5}
{'descr': '其实环境还不错，但是就是地理位置实在太偏了。小胡同里面。交通不是太方便啦 ', 'star': 1}
{'descr': '其实环境还不错，但是就是地理位置实在太偏了。小胡同里面。交通不是太方便啦 ', 'star': 1}
{'descr': '比较难找，但是在胡同里面别有一番风味呀~而且周围好多好吃的~还有带着红袖章的大爷大妈管理治安~真心挺不错的~服务态度也挺好~环境和其他快捷酒店一样的~不错不错~', 'star': 5}
{'descr': '比较难找，但是在胡同里面别有一番风味呀~而且周围好多好吃的~还有带着红袖章的大爷大妈管理治安~真心挺不错的~服务态度也挺好~环境和其他快捷酒店一样的~不错不错~', 'star': 5}
{'descr': '感觉很不好，那么个破地方，钻胡同找了半天，结果还性价比那么高，破地下室阴暗潮湿居然也卖那么贵！不值', 'star': 1}
{'descr': '感觉很不好，那么个破地方，钻胡同找了半天，结果还性价比那么高，破地下室阴暗潮湿居然也卖那么贵！不值', 'star': 1}
{'descr': '价格便宜，位置方便，环境还行，服务一般，要求不高者，此酒店物美价廉！', 'star': 5}
{'descr': '价格便宜，位置方便，环境还行，服务一般，要求不高者，此酒店物美价廉！', 'star': 5}
{'descr': '不太好找，而且住了两天都说空调没办法用，遥控说是被拿去消毒了', 'star': 1}
{'descr': '不太好找，而且住了两天都说空调没办法用，遥控说是被拿去消毒了', 'star': 1}
{'descr': '卫生，干净，有家的感觉，还不错哦。。。。。。。。。。。', 'star': 5}
{'descr': '卫生，干净，有家的感觉，还不错哦。。。。。。。。。。。', 'star': 5}
{'descr': '不错  酒店人员也挺好的  地下室标间微潮我是4月末去的  但是屋子很大', 'star': 5}
