{'短评内容': '白条订酒店，方便快捷，很好。', '短评打分': 5}
{'短评内容': '干净！方便！离机场近开车二十分钟路程！预订入住太方便了！非常完美！', '短评打分': 5}
{'短评内容': '一二三四五', '短评打分': 4}
{'短评内容': '挺好的，环境好，就是隔音有一点儿不太好', '短评打分': 5}
{'短评内容': '环境还可以吧', '短评打分': 4}
{'短评内容': '酒店可以领停车券。', '短评打分': 4}
{'短评内容': '挺不错的，挺干净的，交通很便利。', '短评打分': 5}
{'短评内容': '订单很快就确认了，白条价格还不错。', '短评打分': 5}
{'短评内容': '住的还可以，装修时间长了，房间有点旧', '短评打分': 5}
{'短评内容': '打白条订酒店，方便快捷！', '短评打分': 5}
{'短评内容': '打白条订酒店，方便快捷！', '短评打分': 5}
{'短评内容': '白条订酒店，很方便，价格也不错！', '短评打分': 5}
{'短评内容': '打白条住酒店方便的很。', '短评打分': 5}
{'短评内容': '打白条住酒店，很方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很好不错很好不错很好不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '服务了 订单速度快  没啥说的', '短评打分': 5}
{'短评内容': '不错挺好的、感觉装修有点老了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '隔音不行', '短评打分': 4}
{'短评内容': '隔音不行', '短评打分': 4}
{'短评内容': '隔音不行', '短评打分': 4}
{'短评内容': '酒店环境好，实惠。。。。。。。。', '短评打分': 5}
{'短评内容': '干净整洁，下次还会选择入住，性价比高', '短评打分': 5}
{'短评内容': '干净整洁，下次还会选择入住，性价比高', '短评打分': 5}
{'短评内容': '地理位置还可以吧主要是酒店时间比较久了，环境有点老，不过价格和服务还是不错的', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
