{'短评内容': '.干净。洗澡水很好。床有些硬。', '短评打分': 3}
{'短评内容': '在黄山应该还算可以了吧   但是还是很一般的 卫生情况还可以', '短评打分': 1}
{'短评内容': '价格在这个季节还是比较方便的，饭菜比较丰富，房间设计很有徽式风格', '短评打分': 5}
{'短评内容': '很一般的酒店，最多三星标准，不过黄山脚下好像评星级的标准都降低了。', '短评打分': 1}
{'短评内容': '酒店客房很大，洗热水澡很舒服，冬天入住暖气很充足。', '短评打分': 5}
{'短评内容': '在黄山山下宾馆位置一般，但是服务很好，很热情。适合自驾旅游的朋友。吃的也不是很贵，味道不错', '短评打分': 5}
{'短评内容': '性价比还好，干净，早餐品种不少，但质量一般。', '短评打分': 5}
{'短评内容': '服务一般，卫生很不错，设施完善，性价比蛮好的酒店，就是价格低些会更好。', '短评打分': 5}
{'短评内容': '总体来说还不错，房间里面很干净，服务也很到位，性价比较高，下次还会入住。', '短评打分': 5}
{'短评内容': '这种旅游区的酒店一般也就这样了，没什么特色，就是位置好，靠近景点很近，性价比方面还可以了。', '短评打分': 5}
{'短评内容': '价格偏高，但环境卫生还好', '短评打分': 1}
{'短评内容': '很普通的一家酒店', '短评打分': 3}
{'短评内容': '地理位置好，上山很方便,停车场比较小，', '短评打分': 5}
{'短评内容': '就在黄山脚下汤口镇上，上山很方便。酒店服务态度很好，早餐有些简单，旅游部的“热情”太不敢恭维。但总的来说还不错。', '短评打分': 3}
{'短评内容': '就在黄山脚下，出行上山很方便。酒店服务态度也很好。', '短评打分': 5}
{'短评内容': '总体不错，但隔音不够', '短评打分': 3}
{'短评内容': '都不错', '短评打分': 5}
{'短评内容': '设施，卫生都不错，冬天房间里面很暖和。唯一一点是离车站稍微远那么一点点，冬季的性价比很不错了。', '短评打分': 5}
{'短评内容': '不错，就是有小虫子', '短评打分': 5}
