{'短评内容': '东西不错值得购买好好好东西不错值得购买好好好', '短评打分': 5}
{'短评内容': '66666666666666', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '#ud83d#udc4c不错#ud83d#udc4d#ud83d#udc4d#ud83d#udc4c不错#ud83d#udc4d#ud83d#udc4d#ud83d#udc4c不错#ud83d#udc4d#ud83d#udc4d#ud83d#udc4d#ud83d#udc4d#ud83d#udc4d#ud83d#udc4c不错#ud83d#udc4d#ud83d#udc4d#ud83d#udc4c', '短评打分': 5}
{'短评内容': '啦啦啦啦啦', '短评打分': 5}
{'短评内容': '非常好，舒服，', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '东西非常好，下次会继续购买！', '短评打分': 5}
{'短评内容': '哦哦挺干净的，下次还会去住', '短评打分': 5}
{'短评内容': '很好，以后还会选他', '短评打分': 5}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '不错！住着舒服', '短评打分': 5}
{'短评内容': '不错住着舒服', '短评打分': 5}
{'短评内容': '不错！住着很舒服', '短评打分': 5}
{'短评内容': '讲真的，锦江之星酒店真的是我住过的最舒适、性价比最高的酒店了，服务好，环境好，重点是洗漱用品特别的卫生。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '必须差评，订的房间续住还要按当天的价格，别家锦江之星都不这样，就地加价，真呵呵了，差评', '短评打分': 2}
{'短评内容': '房间卫生干净，床很舒服，前台服务周到，热情，附近饮食很方便，交通便利，值得推荐！', '短评打分': 5}
{'短评内容': '干净、服务好', '短评打分': 5}
{'短评内容': '环境不错 交通挺便利 离商业圈也不算远', '短评打分': 5}
{'短评内容': '一直住着家店 环境较好 交通较方便', '短评打分': 5}
{'短评内容': '很好不错，性价比高', '短评打分': 5}
{'短评内容': '很好不错，性价比高', '短评打分': 5}
{'短评内容': '很好不错，性价比高', '短评打分': 5}
{'短评内容': '很不错 地理位置很方便 就是餐厅的情况惨不忍睹 其他的都很满意', '短评打分': 5}
{'短评内容': '环境很好，住宿很温馨，下次出差还来这里住宿', '短评打分': 5}
{'短评内容': '个人认为酒店位置有点偏,不过开发区较小,所以影响不大,其他条件中等水准,价格实惠,', '短评打分': 5}
{'短评内容': '住了很多次了，挺不错的，性价比也挺高。而且他家的标准双床房的床是一大一小的，可以住3个人。开发区这家开了不久，环境各方面都很满意', '短评打分': 5}
{'短评内容': '喜欢这种上海式的酒店，比起如家汉庭什么的还是锦江之星最舒服。', '短评打分': 5}
{'短评内容': '一贯的锦江品质保证，晚上那个床真心的舒服。最最贴心的是 第一个频道是上海的东方卫视。。。呜呜呜 感动啊', '短评打分': 5}
{'短评内容': '非常不错的一家~很好，前台实习的小姑娘有点紧张哈~呵呵，没事儿！', '短评打分': 5}
{'短评内容': '开发区店涨价了呢？ 呵呵，但是还是不错的，电梯刷卡上楼关键就一张卡啊！', '短评打分': 5}
{'短评内容': '服务很好，很干净!', '短评打分': 3}
{'短评内容': '已经是第好几次入住了，还是依然的好，准备办理会员', '短评打分': 5}
{'短评内容': '强烈建议入住，比附近的 如家 汉庭， 速8 那简直不是一个档次的，非常好！', '短评打分': 5}
{'短评内容': '干净舒适的环境，很满意，住的很好。谢谢 还会去的', '短评打分': 5}
{'短评内容': ' 干净。服务态度非常好', '短评打分': 3}
