{'短评内容': '前台小妹非常活泼可爱。', '短评打分': 5}
{'短评内容': '美女前台很可爱啦。', '短评打分': 5}
{'短评内容': '非常好好。        好', '短评打分': 5}
{'短评内容': '好   很好     服务好下次还来', '短评打分': 5}
{'短评内容': '好，服务热情。房间大干净', '短评打分': 5}
{'短评内容': '挺好的有停车场', '短评打分': 5}
{'短评内容': '好，服务太度好。停车方便。', '短评打分': 5}
{'短评内容': '前台我大概欠了她几百万吧，告诉我没有商家后台，套路我？我就呵呵了', '短评打分': 2}
{'短评内容': '1、所住房间手机不能连wifi。2、不知是服务员打扫卫生摔坏还是有意调换到我们所住房间开裂涮口杯1个，让们赔了款，虽然钱不多，但让人感觉不愉快，有点不诚信.', '短评打分': 3}
{'短评内容': '服务还算不错，价位不算太贵', '短评打分': 5}
{'短评内容': '酒店设施齐全，网络很快，WiFi信号好，内部环境太好了，很舒适，洗澡热水合适。好好好。', '短评打分': 5}
{'短评内容': '太旧了，价格还可以', '短评打分': 3}
{'短评内容': '酒店总体还不错，就是去晚了没有车位了，不过保安师傅还是很给力，很负责的。', '短评打分': 4}
{'短评内容': '很划算，半价限购。整洁卫生。。。。。。。', '短评打分': 3}
{'短评内容': '相当一般，房间小，简陋，这个价不值', '短评打分': 3}
{'短评内容': '可以。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '总体来说不错，房间很大，也很干净，晚上热水很给力。但是就是有点偏，我们住在最顶楼，晚上下雨有点漏雨，后来拿盆子装雨，呵呵，小插曲，不影响休息！', '短评打分': 5}
{'短评内容': '很不错的酒店，环境好，设施也可以，离火车站近。', '短评打分': 5}
{'短评内容': '不提供发票，服务态度不好，房间设备不好也开房，入住后因为宽带连不上换房间。', '短评打分': 1}
