{'descr': '。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境装修都挺好的。', 'star': 5}
{'descr': ' 屋子很大 干净 感觉过得去', 'star': 3}
{'descr': '不错，交通也方便。公交在大门口到上海站，一站路到地铁11号线', 'star': 5}
{'descr': '房间挺宽敞，总体还算可以。', 'star': 3}
{'descr': '一进房间，三张床！空间比较大，有电脑但网速龟速…总体满意！', 'star': 3}
{'descr': '房间是狭长型的，一横一直的放两张床很不合理，跟前台要个电吹风都没有，早餐也非常的简单，服务人员的态度更是奇怪，感觉上就是你爱住不住，你爱吃不吃。', 'star': 1}
{'descr': '房间很大很干净 很值', 'star': 3}
{'descr': '说道早餐就更别提了，一堆垃圾摆在那，苍蝇乱飞，什么店了，', 'star': 3}
{'descr': '从来也没住过这么差的地方，里面很脏，还338了，100还差不多，关键对着马路吵死了，一个晚上没睡着！！！！', 'star': 1}
{'descr': '酒店环境不错，服务挺到位，卫生打扫挺干净的。', 'star': 5}
{'descr': '服务热情周到，房间干净舒适，价格适中，住的很满意。', 'star': 5}
{'descr': '这家酒店住的挺划算的，房间挺干净，设施挺齐全，服务也很好，值得推荐一下。', 'star': 5}
{'descr': '卫生很差，蚊子有也就算了，还有苍蝇；卫生间会漏水，楼上马桶一冲，楼下就会“下雨”；住了2天，换了3间房；让送根网线，到第二天发飙了，才送到房间；世博会让上海所有酒店都疯狂了。。。。。平时这种酒店也就几十块的', 'star': 1}
{'descr': '服务太差', 'star': 1}
{'descr': '价格实惠，整体服务也不错，性价比蛮高。', 'star': 5}
{'descr': '房间宽敞，灯光也算明亮，卫生间收拾的比较干净，就是早餐不合我胃口。', 'star': 5}
{'descr': '主要是离办事的地方近', 'star': 5}
{'descr': '地方太偏', 'star': 1}
{'descr': '出差这么多年就没有住过这么差劲的酒店！\r\n晚上上不去网，服务员不管，说是我电脑有问题，还说我不是住店是找事的！！\r\n第二天吃早餐 告诉9点就没了\r\n开发票的时候不把电话费一起开出来，而且不找零钱！！\r\n天 简直是黑店！！！', 'star': 1}
