{'短评内容': '环境不错，前台很有特色。', '短评打分': 5}
{'短评内容': '位置很好，停车方便', '短评打分': 5}
{'短评内容': '出差路过！给我意外惊喜！酒店老板人很好！前台很有礼貌！下次来还住', '短评打分': 5}
{'短评内容': '房间干净 就是真心小点儿！两间房 都给安排楼梯口了 不是太满意！希望晚上多要一个枕头可以提供', '短评打分': 5}
{'短评内容': '设施陈旧，临近马路环境不好，早餐尤其很差。关键是“携程订房”不给开发票，让我找“去哪儿网”开奇怪至极。', '短评打分': 2}
{'短评内容': '不错，挺好的，环境给力，服务好', '短评打分': 5}
{'短评内容': '很大，床很舒服，而且很静。', '短评打分': 5}
{'短评内容': '挺好的。挺安静', '短评打分': 5}
{'短评内容': '不错，全满分', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '很有情调的酒店！但是早餐确差了点！一进大堂感觉不咋像酒店，价位相对比如家、汉庭快捷酒店贵一些！酒店对面早餐不错！斜对面十二中鑫鑫麻辣盆超级给力！', '短评打分': 5}
{'短评内容': '来抚顺一直住这个酒店，办事方便！出行也方便！去哪都不堵车！', '短评打分': 5}
{'短评内容': '很有特色的酒店，适合情侣下榻，很静很舒适！', '短评打分': 5}
{'短评内容': '帮弟弟定的房间！一直住在这里！经济实惠！', '短评打分': 5}
{'短评内容': '好好好好好，挺干净的', '短评打分': 3}
{'短评内容': '服务好，态度好，干净，舒适。下次还选择该酒店。', '短评打分': 3}
{'短评内容': '服务很贴心，热情。房屋干净，舒适。', '短评打分': 3}
{'短评内容': '还可以，就是有些贵，不是繁华地区，比同类酒店价格高。', '短评打分': 3}
{'短评内容': '酒店管理好，地处闹市，购物及用餐方便，早餐简单，房间里无烧开水壶，不方便。', '短评打分': 3}
