{'短评内容': '很无奈，这浴巾太那个了', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '客房卫生条件很好。隔音效果极差。预定时未写明无窗房却安排无窗房(其实有窗，窗子开向隔壁房间，也解释了隔音差)。另外，前台擅自用你手机注册会员账号(奇葩的是没有啥福利，差评)。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一直住着这边 挺好的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好 就是床头没有插头 手机充电比较麻烦', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 4}
{'短评内容': '不错  很好  交通很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '唯一缺点 床头没有插座', '短评打分': 5}
{'短评内容': '还可以，比较干净', '短评打分': 4}
{'短评内容': '酒店房间还是比较干净的，服务人员也比较热情，酒店性价比也比较高， 周边交通便利，位置不错，吃饭购物都比较方便，希望继续保持。', '短评打分': 4}
