{'短评内容': '挺不错', '短评打分': 4}
{'短评内容': '环境还好 ', '短评打分': 5}
{'短评内容': '还是可以不错', '短评打分': 5}
{'短评内容': '酒店正在装修(11月份)，冬天没有暖气，没有空调，晚上很冷，还好服务员给拿了两床被子过来，在高原感冒可不是好事！希望携程以后能及时更新信息，让人好做选择。', '短评打分': 4}
{'短评内容': '设施在藏区可以，离景点也方便', '短评打分': 5}
{'短评内容': '酒店地理位置好，设施也不错，前台很热情，服务很周到，赞一个！', '短评打分': 5}
{'短评内容': '酒店位置非常好，方便出行。房间都很新，很漂亮。就是地暖不太暖。特别感谢前台的帅哥，我因离店时手机忘了，前台帮我找到了回去拿的。非常感谢！值得推荐的酒店', '短评打分': 4}
{'短评内容': '酒店总体不错，但是房间没有空调只有地暖。天冷时候太阳能供暖不足，地暖和热水只能选择供热水，最后房间没有空调没有地暖用。秋天起不推荐入住，等过了明年春天后再推荐入住吧。 还有房间电视节目不清楚，客服说天线问题整片附近几间房都有这问题，除非换房间。为什么酒店办理入住时不提？难道没有客房内部检查的吗？', '短评打分': 4}
{'短评内容': '酒店总体不错，但是房间没有空调只有地暖。天冷时候太阳能供暖不足，地暖和热水只能选择供热水，最后房间没有空调没有地暖用。秋天起不推荐入住，等过了明年春天后再推荐入住吧。 还有房间电视节目不清楚，客服说天线问题整片附近几间房都有这问题，除非换房间。为什么酒店办理入住时不提？难道没有客房内部检查的吗？', '短评打分': 4}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '真的很一般，也就是离布达拉宫近点而已。不是很推荐。', '短评打分': 1}
{'短评内容': '商务单间面积很小，也许是春节期间吧，没有早餐，而且服务较差。', '短评打分': 3}
{'短评内容': '酒店不错！下次还住着家！酒店不错！下次还住着家！酒店不错！下次还住着家！酒店不错！下次还住着家！', '短评打分': 5}
{'短评内容': '大床房可以和内地的单人房媲美了吧，其他的不好评论了，毕竟地域还有差异', '短评打分': 5}
{'短评内容': '我的定的是大床房，房间比较小，但有早餐供应，还算可以吧。', '短评打分': 5}
{'短评内容': '很可以。', '短评打分': 3}
{'短评内容': '帮朋友预订的酒店，没有去实地看过，没法发表评论！！！', '短评打分': 5}
{'短评内容': '该酒店不错，卫生和环境良好，玩起来也方便，交通、商店、银行都挺便利的。', '短评打分': 3}
{'短评内容': '感觉挺好的，环境还好，离布达拉宫也很近，下回还希望住这', '短评打分': 5}
{'短评内容': '餐厅能看到布达拉宫，非常棒。位置很好，出行方便，到大昭寺、罗布林卡、布达拉都很近 \r\n', '短评打分': 5}
{'短评内容': '餐厅能看到布达拉宫，非常棒。位置很好，出行方便，到大昭寺、罗布林卡、布达拉都很近', '短评打分': 3}
{'短评内容': '关键是位置好出行方便，另外服务也很不错，就是设施上显得老旧了一些。', '短评打分': 5}
{'短评内容': '典型的商务间，有点小，其他都好，价格有点高', '短评打分': 5}
{'短评内容': '酒店位置很好，出行很方便，服务员态度很好周到热情', '短评打分': 5}
{'短评内容': '酒店位置很好，出行很方便，交通还可以，服务员态度很好周到热情，下次还会住的', '短评打分': 5}
{'短评内容': '酒店位置很好就在布达拉宫正后面.出行很方便,不过其它各方面条件很一般,有些与价位不符.', '短评打分': 1}
{'短评内容': '+可以！吃得不错！', '短评打分': 5}
{'短评内容': '在房间里、餐厅里都可以看到布达拉宫。\r\n餐厅物美价廉，川菜很好吃！', '短评打分': 5}
{'短评内容': '酒店挺安静的，交通、服务也都不错，住得单人间就是房间小了点，好像水也不很大，拉萨旺季酒店很贵，价格还行吧！', '短评打分': 5}
