{'短评内容': '服务态度非常好，赞一个', '短评打分': 5}
{'短评内容': '环境一般呢楼下ktv有点吵其他还好隔音不是很好', '短评打分': 4}
{'短评内容': '房间很大', '短评打分': 5}
{'短评内容': '装修太旧了，不过对这个价格过得去了', '短评打分': 3}
{'短评内容': '感觉卫生很一般，厕所有霉点和蟑螂，设施比较旧，房间隔音效果很差，窗户很大，但是有点脏，不是特别的推荐....', '短评打分': 4}
{'短评内容': '酒店的服务还是可以的，就是设施已经比较旧了，而且门前停车场很小很小，不建议驾车前往。还可以吧。', '短评打分': 3}
{'短评内容': '房间设施还不错。向马路的房间不可避免有些噪音', '短评打分': 5}
{'短评内容': '住了一间无窗的，难受，房间灯光不怎样，走廊三路十八弯', '短评打分': 4}
{'短评内容': '房间很大，挺好的，设施也很新，服务态度嘛，挺好的。酒店的早餐，中等偏上。就是停车位不好找，可能我们去的比较晚', '短评打分': 5}
{'短评内容': '房间很大 外观看上去也不错 进去里面也一切正常 就是厕所实在是太脏了 花洒有问题 侧边喷水 毛巾不干净还很大味道 厕所的地板和墙上看上去都是很脏的痕迹 实在无法忍受', '短评打分': 3}
{'短评内容': '商务出差。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '对得起这个价格了', '短评打分': 3}
{'短评内容': '交通方便，停车场很大，下次还来入住。', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 4}
{'短评内容': '房间较大，环境尚可', '短评打分': 5}
{'短评内容': '和一般的商务酒店构造完全一样，房子很大，服务也不错', '短评打分': 4}
{'短评内容': '酒店房间很好，床够软，够舒适，酒店服务好，用餐方便，价格也实惠，而且对客户还挺人性化哈，房间免费提供两瓶款泉水给住户喝，房间隔音效果不错，重要的是酒店坐落位置交通方便，周围也挺繁华；总之就是喜欢，谢谢九天酒店的工作人员，谢谢你们周到的服务。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '入住豪华单人房，房间非常大，卫生条件好，舒适；并赠送两小支屈臣氏的纯净水洗手间配备牙刷、洗发水、小香皂、剃须刀、电吹风等，非常便利。', '短评打分': 5}
{'短评内容': '很棒很棒的酒店，性价比很高，前台服务也很热情，周边吃饭也很方便~', '短评打分': 5}
{'短评内容': '房间还是可以的，就是地方好像比较偏。床不是很舒适，不过这个价格这样也可以了。', '短评打分': 5}
{'短评内容': '第二次住了，感觉不错，性价比较高！', '短评打分': 3}
{'短评内容': '这个酒店房间宽敞，虽然隔音不怎么样，但总的来说还可以', '短评打分': 5}
{'短评内容': '干净，舒适，服务员服务态度热情，周边餐饮店较多，出行方便。路过的公交车好像没有', '短评打分': 5}
{'短评内容': '交通比较方便，楼下就是公交站。整个楼感觉比较新，有4个电梯，上下很方便。房间比想象中的大，也很安静。', '短评打分': 3}
{'短评内容': '表面还不错，但有不尽人意的地方，浴室挂的条毛巾很脏，还有毛发在上边，床单下面也有异物，隔音一般化。', '短评打分': 1}
{'短评内容': '不错的一家酒店,地理位置很好,总之一句就是住得很棒,性价比很高\n', '短评打分': 5}
{'短评内容': '很好，酒店很干净。位置也好，服务态度不错。下次还会选择入住九天。', '短评打分': 5}
{'短评内容': '九天商务酒店是性价比非常高的一家商务酒店！\n干净、整洁、服务都不错', '短评打分': 5}
{'短评内容': '第二次入住东莞九天商务酒店，还行吧，就是卫生间里马桶漏水，报修了几次都没修好，直到我离开还在流水，看着心疼，白白的水啊-----，希望九天的工作人员能负起责任。', '短评打分': 5}
{'短评内容': '第一次跟领导出差到东莞，入住东莞九天商务酒店，住4个晚上换了3个房间，很有喜剧性吧！第一天安排的房间靠马路太吵，无法入睡；第二天安排的房间网线断了，无法上网，第三天的房间终于好了！', '短评打分': 5}
{'短评内容': '出差到东莞，已习惯入住九天，各方面还是一样，没什么变化。', '短评打分': 5}
