{'短评内容': '每年都来九华山，每次都住这里', '短评打分': 5}
{'短评内容': '房间卫生不错，阿姨做的饭好吃，价格也公道，以后上九华山可以考虑再住。', '短评打分': 4}
{'短评内容': '店主服务很好，房间干净，被子有点潮', '短评打分': 4}
{'短评内容': '总体来说一般，不过去拜佛，不讲究住，也就不计较了。', '短评打分': 4}
{'短评内容': '环境不错 是农家乐类型的  看网上评价不错所以订了这家  赶过去不认识打电话给老板  老板开车来接的   服务态度很好   早中晚三餐都有   口味都可以  价格也不错   直接留了电话明年直接定', '短评打分': 5}
{'短评内容': '老板人很好，进山后不认识会去接，酒店性价比高', '短评打分': 5}
{'短评内容': '自驾停车方便，离肉身宝殿近，中规中矩的私人旅馆。', '短评打分': 5}
{'短评内容': '连续三年到九华山，吃住都是这家，强烈推荐，老板娘手艺好，饭菜好吃，房间干净，价格实惠??', '短评打分': 5}
{'短评内容': '满意的一次', '短评打分': 4}
{'短评内容': '房间挺旧的，老板一家挺热心的，饭菜口味还行。总之挺满意的', '短评打分': 4}
{'短评内容': '老板很热情，环境还可以吧，性价比很高', '短评打分': 3}
{'短评内容': '环境不错，房间很干净，老板很热情\n个人建议：厕所窗户做下防水，害我湿了一包烟', '短评打分': 5}
{'短评内容': '房间还算ok，和星级酒店当然有差距，但是在农家里面，算是比较干净了。老板娘很nice，在出发前送了我们地图，还帮我们指路线，感觉很温馨。', '短评打分': 5}
{'短评内容': '老板夫妇人真的不错，很热情，山庄房间很干净，饭菜也物美价廉，下次还会来的，也会向朋友推荐的！', '短评打分': 5}
{'短评内容': '2012年6月6日到8日均住在此酒店，老板一家人非常热情，服务非常周到，房间干净整洁，非常不错的地方，离地藏菩萨肉身宝殿和景区大巴站都很近，从合肥坐长途车到柯村后可以给店主家张先生打电话，店主可以接你直接到山庄（价格和坐景区大巴一样），和感谢店主一家的服务。', '短评打分': 5}
{'短评内容': '老板态度太差，客人提意见还说客人不好，我看是他太自视清高了。设施一般，比较简单，总体价格太高。平时去价格只一百多，还可以。假期不建议入住这家，性价比低。', '短评打分': 3}
{'短评内容': '老板娘很热情  很不错的~~~  推荐\n不过山上虽然有空调 确实还是有点冷\n', '短评打分': 5}
{'短评内容': '酒店不大，但很干净；老板热心、实在，主动帮助我规划游览行程，免费提供地图。', '短评打分': 5}
