{'descr': '服务态度很好 环境很干净', 'star': 5}
{'descr': '服务很好很周到', 'star': 5}
{'descr': '很不错空间很大', 'star': 5}
{'descr': '位置超级好找！大床睡的也很舒服！关键是卫生间够大，不像别的酒店卫生间一丢丢大！', 'star': 5}
{'descr': '带孩子住的，挺好，就是房间里没有餐巾纸，', 'star': 5}
{'descr': '点评一下，拿个分点评一下，拿个分点评一下，拿个分点评一下，拿个分点评一下，拿个分点评一下，拿个分点评一下，拿个分', 'star': 3}
{'descr': '环境一般', 'star': 4}
{'descr': '去的淹城动物园，开车不远，酒店处于闹市区，周边吃喝玩乐很发达，方便我们这些出门旅游的人，一直订如家，一个是免费取消，另一个就是住宿条件宽敞，但是这次房间隔音不大好', 'star': 4}
{'descr': '还不错 挺干净 出行方便', 'star': 4}
{'descr': '酒店比较干净 地段还行 小卡片太多 房间塞爆了', 'star': 4}
{'descr': '停车方便，周围吃饭也很方便，离春秋乐园很近，位置好找，下高速不远就到。房间大，陈设较老，卫生打扫及时。', 'star': 4}
{'descr': '价格实惠', 'star': 5}
{'descr': '方便快捷，停车方便', 'star': 5}
{'descr': '比较满意很好', 'star': 5}
{'descr': '酒店环境可以，卫生一般，比较老旧！早餐还可以', 'star': 5}
{'descr': '经常住这家～很喜欢！离市中心也不远', 'star': 5}
{'descr': '总体来说比想象的好。本来以前的点评好评率一般，预定的时候有点忐忑。但离我培训的地方比较近，还是定了。进去以后发现环境还是很不错的，由于是在商贸广场内部，停车还算方便。定的商务大床房，房间不错，设施挺好。隔音也还行。不过的确出现了与其他房间窗户相对的情况，不过我觉得也没什么影响，毕竟一般不会大开窗户不拉窗帘。有纯净水两瓶，卫生间直接有吹风机，衣架也不少，大概六个。离乐购不是很远，走过去大概10分钟。', 'star': 5}
{'descr': '价格合理，服务挺好，房间也挺干净，值得入住，', 'star': 5}
{'descr': '很方便，服务也很热情~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '每次都住这里，很方便~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '这是我住过的最小的如家大床房，而且也不知道怎么打扫卫生的，马桶坏的都不知道吗？床上还有头发，总之，不会再住这家店了。', 'star': 1}
{'descr': '总体来说还是可以的，就是个别员工的素质有待提高，对客户讲话的态度有待改变，总体感觉一般吧。', 'star': 5}
{'descr': '就是有点偏了   找了好一会了  下次去常州还会住的  环境还是不错的 ', 'star': 5}
{'descr': '房间比较迷你，价格比较便宜还有一份早餐，还行', 'star': 5}
{'descr': '环境还可以，就是隔音不好。', 'star': 3}
{'descr': '：这是我住的最小面积的如家大床房，卫生间马桶还是坏的，差劲，再不住了这了', 'star': 3}
{'descr': '设施比想象中的要简单…', 'star': 3}
