{'短评内容': '还不错，就是位置在高价边上', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '楼下是工地，周边没什么环境。距离机场和火车站近', '短评打分': 4}
{'短评内容': '地理位置不太方便。其他都还好', '短评打分': 5}
{'短评内容': '房间很大很舒服，价格也不贵很不错', '短评打分': 5}
{'短评内容': '干净整洁方便', '短评打分': 5}
{'短评内容': '客户到上海，酒店离虹桥站近，方便，干净', '短评打分': 5}
{'短评内容': 'Amazing place to stay in , good and co operative staff would like to stay again ', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺不错的，住得也舒服，就是有一点点暗', '短评打分': 4}
{'短评内容': '不足：  入住时安排到副楼的顶楼，房间的天花板是倾斜的，最低处1.5M不到，原来大床房可能是阁楼啊？？！！ 而且是倾斜的，很不吉利的说啊。    协调后，调换至其他楼层，进房间后，地板上有鸡蛋壳，通知客房服务人员来打扫感觉。    细节的地方卫生状况不好，比如： 卫生间的洗漱台下面积累了厚厚一层灰尘以及一些垃圾。    优点：  早餐还是一如既往的丰富，家庭出游，早餐还不错。房间隔音效果很好，虽然', '短评打分': 4}
{'短评内容': '都还好', '短评打分': 5}
{'短评内容': '不错，环境好，豪华', '短评打分': 5}
{'短评内容': '环境很好，房间干净', '短评打分': 5}
{'短评内容': '酒店硬件可以，适合过境旅客，酒店附近什么都没有。', '短评打分': 4}
{'短评内容': '服务再加强就更好了', '短评打分': 5}
{'短评内容': '酒店很舒适，而且离虹桥火车站很近，唯一就是酒店服务人员态度欠佳', '短评打分': 5}
{'短评内容': '酒店很舒适，而且离虹桥火车站很近，唯一就是酒店服务人员态度欠佳', '短评打分': 5}
{'短评内容': '交通极为不方便，价格偏高，性价比不好，房间的设施一般吧', '短评打分': 1}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '酒店环境很好，房间很安静，有机场免费班车接送。性价比还是很高的\n', '短评打分': 5}
{'短评内容': '酒店很好，觉得不错，就是有点贵………………………………………………………………………………', '短评打分': 5}
{'短评内容': '五星级酒店的服务，但房间格局不是很好，找起来也比较费劲！', '短评打分': 1}
{'短评内容': '距离虹桥机场、高铁站比较近，比较方便，设施不错，早餐也好，服务一般，有些冷淡', '短评打分': 5}
{'短评内容': '中式风格，离机场近，有酒店车接送，不错。早餐一般，下次还是去机场吃，划算！', '短评打分': 5}
{'短评内容': '酒店很不错喔很干净', '短评打分': 3}
{'短评内容': '酒店环境很好，房间很安静，有机场免费班车接送。性价比还是很高的，推荐', '短评打分': 5}
{'短评内容': '还凑合吧！价格不便宜。打车不是很方便。', '短评打分': 3}
{'短评内容': '地点少偏僻，但是酒店至虹桥机场和高铁站的穿梭巴士给客人提供方便。酒店房间设施很好。值得推荐！', '短评打分': 5}
{'短评内容': '距离火车站和机场比较近，服务一般，设施不错', '短评打分': 5}
{'短评内容': '价格不错，服务粗糙，早餐一般，距离火车站和机场近', '短评打分': 5}
