{'短评内容': '离前门近。\n服务态度和卫生、硬件均较差，不能用银行卡。', '短评打分': 1}
{'短评内容': ' 环境不错，交通也很便利。不过卫生间的味道比较大。', '短评打分': 3}
{'短评内容': '酒店设施一般，服务态度还算可以，不过离大栅栏，天安门确实是近', '短评打分': 5}
{'短评内容': '带朋友来的，感觉很好，地理位置很方便，服务很好，态度很热情，卫生很好，下次还会再来。', '短评打分': 5}
{'短评内容': '太一般', '短评打分': 3}
{'短评内容': '升旗宾馆的位置是没的说，交通很方便，出门有地铁站、公交车站，吃饭不太方便，宾馆的饭不太好吃。', '短评打分': 5}
{'短评内容': '酒店位置很好，穿过地下道就到了前门地铁，出行非常方便。酒店设施也不错，相当干净，看得出酒店管理非常严格；酒店服务也令人满意，能够有求必应，反应相当迅速。我去的时候大概是淡季，价格还可以，300元/晚，不知旺季的时候是否还能优惠。', '短评打分': 5}
{'短评内容': '酒店环境不错，床很宽，我和儿子睡一张单人床足够大，出行方便，公交车地铁站很近。位于市中心，离西单、王府井都很方便，做公交即可，免于做地铁之拥挤。', '短评打分': 5}
{'短评内容': '不错，比想象中好，前门地铁站出来就看见了，交通方便。缺点就是洗澡间太小了。', '短评打分': 3}
{'短评内容': '服务态度挺好，卫生打扫也挺及时，设施简单陈旧些了，位置很好，出行很方便。', '短评打分': 3}
{'短评内容': '房间不大，设施简单实用，服务态度很好，周边吃饭购物交通很便利。', '短评打分': 5}
{'短评内容': '离地铁站挺近，出行挺方便，服务挺周到，卫生挺干净的，总体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店的外观还不错，服务挺周到，早餐口味不错，出行交通挺便利的。', '短评打分': 3}
{'短评内容': '位置很好，离天安门王府井挺近，游玩挺方便，周边交通也挺便利。', '短评打分': 5}
{'短评内容': '房间大小还好，设施基本齐全，卫生不错，隔音效果还好，住的还比较舒适。', '短评打分': 5}
{'短评内容': '离天安门很近，看升旗确实很方便，内部环境挺干净的，住着还不错。', '短评打分': 5}
{'短评内容': '服务质量挺好，设施挺齐全，看升旗很方便，就是价格有些偏高。', '短评打分': 3}
{'短评内容': '前台服务很热情，服务很周到，办事效率也挺快，这点挺满意。', '短评打分': 3}
{'短评内容': '如果想看天安门升旗的话，这家酒店是个不错的选择。', '短评打分': 3}
