{'短评内容': '不错，干净卫生', '短评打分': 5}
{'短评内容': '酒店很好，商家帮我们换了舒适的窗户大床房，特别舒服！', '短评打分': 5}
{'短评内容': '离蓬长码头非常近，下楼就是，方便去长岛乘轮渡。', '短评打分': 4}
{'短评内容': '离码头最近的宾馆，说实话又贵环境又不好，离海边很近，屋里都是海惺味，不适合长时间住，住一晚早上去买票到是很方便', '短评打分': 3}
{'短评内容': '位置非常好，距离蓬莱阁，海底世界，冰雪世界步行10分左右的距离，仅挨着去长岛的港口！可惜周围的饭店客源以旅游客为主，价高质低！旅馆干净，服务很好，代卖门票价格很低！', '短评打分': 5}
{'短评内容': '实在是太差了  都不能用失望来表达  就是离着蓬莱极地海洋世界近一些     没发现其他优势  再就是旁边餐馆做饭的水平也是太有限了', '短评打分': 3}
{'短评内容': '离玩的地方很近，就在周围。吃饭也有很多大小饭店供选择。停车方便。紧挨着客运港口。虽没有电梯，好在不是高层建筑。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错的一家店，不仅环境好，而且又经济实惠，是情侣，亲子的不二之选，最主要是就在港口，坐船去长岛非常方便，对面就是极地世界', '短评打分': 5}
{'短评内容': '交通方便，环境不错，下次还要来', '短评打分': 5}
{'短评内容': '温馨舒适，出行首选！', '短评打分': 3}
{'短评内容': '酒店环境非常优美，双人床非常舒适，睡起来很舒服。', '短评打分': 5}
{'短评内容': '离蓬莱港超级近，价格便宜，条件一般', '短评打分': 3}
{'短评内容': '比承诺的好，特别是位置往返长岛比想象更加方便－－－－－－', '短评打分': 5}
{'短评内容': '也就是能睡觉，可以看电视，说有无线wifi根本上不去。去长岛的码头就在边上，第二天去长岛应该方便。', '短评打分': 3}
