{'descr': '服务很满意', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '考试预定的，周边配套设施很全，尤其吃饭的地方哈哈，住宿条件也不错，匆忙只住了一晚上，下次有机会来会再光顾', 'star': 5}
{'descr': '真会还可以吧！周围有挺多小吃的。', 'star': 4}
{'descr': '酒店位置很好', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '&hellip;', 'star': 5}
{'descr': '&hellip;', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间不错，', 'star': 5}
{'descr': '还行吧。', 'star': 4}
{'descr': '酒店环境不错', 'star': 5}
{'descr': '不错，服务态度不错，就是环境稍微有点', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '携程很好', 'star': 5}
{'descr': '很好', 'star': 5}
