{'短评内容': '房间比较小 还算干净', '短评打分': 4}
{'短评内容': '不错，离地铁站打铁关很近。附近也有早餐店，隔壁的面馆很好吃。', '短评打分': 5}
{'短评内容': '没有电梯但是工作人员很好会帮忙拎行李', '短评打分': 5}
{'短评内容': '不错，都挺好的', '短评打分': 5}
{'短评内容': '很棒！', '短评打分': 5}
{'短评内容': '房间比之前的如家要小', '短评打分': 5}
{'短评内容': '房间整洁 服务周到 周围有吃饭的地', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '如家里面算一般，比较干净，也没惊喜，水比较大，边上有知味观，吃个饭还方便，到火车东站没有直达汽车，到地铁站也有好长的一段路', '短评打分': 3}
{'短评内容': '车内环境很好', '短评打分': 5}
{'短评内容': '环境很棒，酒店不远处还有一条大河也不知道叫什么名字，还有运货的船', '短评打分': 5}
{'短评内容': '只能说酒店价格看地段，还不错。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '隔音太差，房间布局太不人性化。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不推荐入住，房间小，而且没有窗户，是我住过最小的如家', '短评打分': 1}
{'短评内容': ' 很小很温馨         千万别去旁边的洗脚店洗脚。都是30岁阿姨。', '短评打分': 5}
{'短评内容': '不错，很干净，环境也还不错，已经住过好几次了', '短评打分': 5}
{'短评内容': '位置不是非常好，但是对于杭州，打车很便宜所以比较合算，但是唯一的不好就是房间的信号真是差，有事情要办 只能抱着电脑来大厅打电话', '短评打分': 5}
{'短评内容': '住过几次了 并不是因为多好 只是正好在我客户对面 非常方便  酒店房间太小', '短评打分': 5}
{'短评内容': '装修挺新的，环境舒适，就是隔音效果不太好。', '短评打分': 5}
{'短评内容': '位置一般，价格不便宜，房间太小，隔音效果不好，服务员态度不好，也就一般条件吧。', '短评打分': 5}
{'短评内容': '环境不错，特价房来说算是很好啦，有机会再入住。', '短评打分': 5}
{'短评内容': '总体还可以，干净，就是太小没窗～', '短评打分': 3}
{'短评内容': '因客户在那里附近 所以订了这个如家  房间靠马路 晚上还是有点吵  房间也偏小  不过这个价位也差不多是这种样子了吧 ', '短评打分': 1}
{'短评内容': '酒店位置有点偏，但性价比高，装修新，房间小，隔壁房间半夜三更开的电视声很大，真想爆粗口。', '短评打分': 5}
{'短评内容': '这次入住的是有窗的房间，比没窗的房间好多了，美中不足的是：空调风口对着床头，晚上睡着，吹的人难受！', '短评打分': 5}
{'短评内容': '房间有点小。位置比较偏。卫生服务还可以。。。', '短评打分': 3}
{'短评内容': '位置好，服务好，干净，这家店真的感觉很新很舒服，以后一定会继续来住', '短评打分': 5}
{'短评内容': '挺好的呢，很安静，干净，前台态度也好。。拿了不少的糖果  嘿嘿嘿', '短评打分': 5}
{'短评内容': '房间还不错，服务挺好的，位置也不错，坐车蛮方便的', '短评打分': 3}
{'短评内容': '还不错，从汽车南站打的过去也就20左右，就是放假略显得小', '短评打分': 5}
{'短评内容': '隔音效果太差了，隔壁打呼噜都可以听到…房间很小，其他还可以', '短评打分': 3}
{'短评内容': '酒店地理位置不错，交通很方便，房间卫生也不错。但美中不足的是没有窗户，而且房间面积不大，所以整个晚上睡着很压抑。', '短评打分': 1}
{'短评内容': '干静，但是太吵', '短评打分': 3}
{'短评内容': ' 没窗不行', '短评打分': 3}
{'短评内容': '住的大床房，实在是太挤了，基本就刚刚能进去，床和墙也就容一人过道。', '短评打分': 1}
{'短评内容': '位置不错，周围吃饭一而很房间，如家的房间一直很温馨，唯一不足的就是很少房间有窗户，不过前台很热情，说一等有窗的房间空出来就拿给我们，所以可以谅解啦，总体还是不错的。', '短评打分': 5}
{'短评内容': '不错啊，挺干净，服务也不错，好评好评', '短评打分': 3}
{'短评内容': '房间很新。比其他如家稍微大一些。挺好的。前台服务也好。边上就有甘其原。往前走还有重庆美味鸡公煲。住得很很欢乐。下次还来~', '短评打分': 3}
{'短评内容': '位置不错还很便宜，周边设施齐全，公交总站、联华超市，楼下有家知味观，吃点点心很不错。\n美中不足楼下满地小传单直减20元，不爽了', '短评打分': 5}
