{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '提前好多天预定好的房间，到了入住的时间竟然告诉我们没有标间了，让我们两个人挤一张大床，因为坐长途车太累，我们不能挤在一起，所以要求换房间，还要加80元钱，而且房间里特别潮湿，一股浓浓的霉味，作为服务业，对待远道而来的客人也不热情，很气人！我要求给一个合理的解释！！', '短评打分': 1}
{'短评内容': '垃圾，已经网上付款定好标间了，。到了之后却告诉我们没有标间，给我们两个选择:1，享受同价位的大床房；2，加80元钱住三人间。我真无语了，我们付了钱定了房间你们违约留不出来难道不是你们的错吗？让我们俩大老爷们住一张床，理由是大床房和我们定的标间一个价，可你妹的价格一样体验一样马吗？？？。本来要退房走的，可是想到已经交了钱了，又自己加钱住了个三人间。还有就是房间很小，洗澡间仅是毛玻璃，非常尴尬。', '短评打分': 1}
{'短评内容': '比较偏僻！屋子比较黑。网上订的房子必须住1楼，如果换2、3楼要加20元。郁闷！', '短评打分': 1}
{'短评内容': '还可以 性价比比较划算', '短评打分': 5}
{'短评内容': '有些不开心，但是京东服务还是挺好的', '短评打分': 5}
{'短评内容': '物廉价美，经济适用。', '短评打分': 5}
{'短评内容': '订了两晚，只住了一晚就退房了，原因就不说了，你们懂的', '短评打分': 1}
{'短评内容': '非常安静，性价比还是很高的', '短评打分': 4}
{'短评内容': '还可以，就是小细节做的不够，要是能在房间都配备好吹风机就好了', '短评打分': 5}
{'短评内容': '房间比较小，将就一晚可以，舒适就没什么好说的了。', '短评打分': 4}
{'短评内容': '实在是忍不住要吐槽了，卫生一次比一次差，设施都维修不过了，破破烂烂的，无语了，这种店还是汉庭旗下的。。。', '短评打分': 3}
{'短评内容': '一直住这家店的，主要考虑性价比，但是在携程上价格一直波动很大，我有汉庭的金卡，但经常携程上价格还便宜些，所以经常就是携程预定咯', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错的，环境一般但是安静。始终您的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺好的吧  就是少了吹风机   空调有点溜溜的……', '短评打分': 5}
{'短评内容': '有电脑可以上网，蛮方便的，房间也很干净，空调冷气很足，不错，支持！', '短评打分': 5}
{'短评内容': '果然是间黑店，晚上直接就有电话过来了，问要不要服务的...军区附近也太显眼了吧', '短评打分': 1}
{'短评内容': '真的很不错，房间蛮干净，空调也是蛮凉快的，价格还可以，不过不知道为什么我住的房间电脑是坏的！', '短评打分': 5}
{'短评内容': '服务员态度差，半夜竟然打电话提出按摩服务……房间电视看不清，电脑使用不便，房间有股味道，刺鼻，除了价格，其他优势没有', '短评打分': 1}
{'短评内容': '挺安静的！卫生条件还比较好！房间还有电脑，就是房间稍微有点小，并且没有一次性拖鞋！', '短评打分': 5}
{'短评内容': '＋除了环境比较安静，别的都不太好，有点九十年代的宾馆的味道，隔音效果不好！', '短评打分': 3}
{'短评内容': '很不好找，找了半天才找到，环境还算可以，安静，干净，就是卫生间的毛巾很旧，摆放的位置很不合理，电脑只是开QQ，键盘还很不灵光', '短评打分': 1}
{'短评内容': '房间里有点霉味。', '短评打分': 3}
{'短评内容': '成功入住酒店反馈未入住，房间灯是坏的，无拖鞋，打前台电话告知人手不够', '短评打分': 1}
{'短评内容': '艾仕丽酒店服务差，电视雪花，楼顶上中央空调隆隆响，床垫也不太舒服，装修还可以', '短评打分': 3}
{'短评内容': '环境太差了，这种地方真没法住，我只好坐着，不睡觉。\n\n', '短评打分': 1}
{'短评内容': '就是便宜.其他一般,宽带很快,下载速度飞起来', '短评打分': 5}
{'短评内容': '环境比较安静,地毯扫的不是太干净,但是可以接受.刚进房间有点潮气,空调开会就好了.\n中央空调,不是独立空调有点遗憾.电脑有时候会有问题,进房后先开电脑看是否能用.', '短评打分': 5}
{'短评内容': '酒店很好，很安静也很干净，缺点就是有点不好找，在巷子里面，巷子口的牌子也不怎么大，还是很满意的啦。', '短评打分': 5}
{'短评内容': '除了隔音不好，其他的都不错', '短评打分': 3}
{'短评内容': '酒店服务一般', '短评打分': 3}
{'短评内容': '房间还不错，就是位置不是很好找！', '短评打分': 3}
{'短评内容': '房间味道太大..电脑键盘很多键坏了。不过网速很快，房间隔音效果不是很好..其他的都还不错了。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '干净 有宽带 交通好找  餐饮多  干净 有宽带 交通好找  餐饮多  干净 有宽带 交通好找  餐饮多', '短评打分': 5}
{'短评内容': '交通便利，住宿安静，吃饭购物存取现金非常方便。', '短评打分': 3}
{'短评内容': '很好，液晶彩电、免费的电脑，较安静，房间布置合理，附近有面食小吃和料理店，如果地毯是新的就好了，因为房间不够大，需要精致，唯一地毯较旧，还有，毛巾应该挂起来，安装在抽水马桶上，免得不好看，也容易沾水。', '短评打分': 5}
{'短评内容': '房间有点潮，还有大蟑螂', '短评打分': 3}
{'短评内容': '这次去终于可以预授权了，幸好现金不多了。', '短评打分': 5}
