{'短评内容': '老板很热情，房间卫生也非常好，价钱也比较便宜，', '短评打分': 5}
{'短评内容': '所谓的临水就是两条主道中间是条小溪，来来往往的人都从窗前过往房间里看，完全没有任何隐私可言，隔壁是卖乐器的又挨着马路，那是相当的吵。床板也比较硬。 ', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '我们订的是二楼临水大床房，环境很不错，最喜欢可以坐在那边喝茶和看风景的地方了。地理位置有点偏，但还是很不错的。我和闺蜜住的很不错，推荐大家入住哦。', '短评打分': 4}
{'短评内容': '位置便利。', '短评打分': 5}
{'短评内容': '一般吧，比较有风格的民宿。位置可以，服务不错，但是卫生不太好。', '短评打分': 4}
{'短评内容': '我们住的是一楼带院子的房间，房间宽敞，但房门不太结实。卫生间有点气味，没有淋浴间，地面湿滑，要多注意。', '短评打分': 4}
{'短评内容': '位于景区内，完全是自助式的客栈，比较随意自由出入，走廊的书架上摆放着书籍，开水在楼下的厨房烧，水池里堆放着未洗的碗筷，房间较大，两床1.6，可以住四人，床单上有点点红色印记，印象感觉不佳，退房的时候只看到了来打扫的阿姨。', '短评打分': 2}
{'短评内容': '古镇民居，春节期间价格很贵，体验一下', '短评打分': 4}
{'短评内容': '很喜欢那个临江房 ～很温馨很漂亮～', '短评打分': 5}
{'短评内容': '厕所不行，房间可以', '短评打分': 5}
{'短评内容': '环境不错，老板也很热情，', '短评打分': 3}
{'短评内容': '酒店的老板人很好，房间也很不错，双床都是1.6米的。装修也不错。离景区的正门很近。从汽车站到景区免费接送', '短评打分': 5}
{'短评内容': '挺好的，住的挺满意的，床也大，老板也到汽车站接', '短评打分': 5}
{'短评内容': '酒店整体不错，农家小院，古色古香，特别市哪雕花大床！老板人很好，免费给我提供上网本试用，呵呵，谢谢！这个酒店在周庄古镇里面，想去玩的朋友最好是第一天晚上去，第二天游玩，如果你能弄上几张用过的门票，你就不用买票了 哈哈！在这里给老板提几个建议，一是空调该整整，声音太大；二是房间没有衣架，放衣服的地方没有，可能是老板忘记了，梳子也没有！', '短评打分': 5}
