{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '一个老酒店，绝对不推荐的，设施老，卫生一般，前台接待的男生都不错，女生的态度不好，没有规范用语！', '短评打分': 2}
{'短评内容': '不错的酒店推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错下次还来', '短评打分': 5}
{'短评内容': '一星给京东。下单付款后，京东客服打来电话说无房，让取消订单改订其他房型，且推荐了其他房型，OK，那就改订。可再去下单就发现所有房型涨价，而且我所定房型涨价后依然可以下单（相同时间段）。找客服也没用，后升级到专员处理，第二天打电话来赔了张京券了事，面值还不够差价的，当然也是因为我不想为此事费太多精力和时间。总之非常不愉快的一次体验。', '短评打分': 1}
{'短评内容': '酒店的淋浴?是怎么回事？', '短评打分': 5}
{'短评内容': '房间挺大，早餐也还算是丰富，市中心的位置挺好，下次过去还会住这里。', '短评打分': 5}
{'短评内容': '一般 有点陈旧', '短评打分': 4}
{'短评内容': '各方面都不错，好评', '短评打分': 5}
{'短评内容': '酒店住这还滿意，每次去贵阳都住丽豪，不错的酒店!', '短评打分': 5}
{'短评内容': '非常好，很贴心的服务，交通便利，饮食方便。果断加住多一个晚上。', '短评打分': 5}
{'短评内容': '到酒店早了一些，还被免费升级！额外送来电板，非常细心！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体不错，自助早餐叫丰盛，卫生间除少许霉迹外，还比较新净。楼层服务员考虑比较周到，主动提供电源接线板，以便手机可在床头充电，方便不少。谢谢！', '短评打分': 4}
{'短评内容': '酒店卫生不错，早晨可以，下次还住。', '短评打分': 5}
{'短评内容': '住宿卫生，早晨不错，下次还住。', '短评打分': 5}
{'短评内容': '感觉不错的一家酒店，硬件，早餐，服务都还不错，但有瑕疵，可能是个例吧，我订好了两间房，其中一间办理了入住，但另外一间因为朋友还没到，没身份证，没法办理，就跟前台商量好，把那间给我留着，并且交了两个房间的押金，当时前台说没问题，并且保证留下我需要的那个房间。结果后来朋友来了，办理入住的时候，那间留给我的房间已经给别人了，当时很郁闷，本来是挨着的两间房，现在变成了差了好几层的两间房，这是个小瑕疵。', '短评打分': 5}
{'短评内容': '服务很好，酒店环境很好的，交通很方便，距离市中心很近的', '短评打分': 5}
{'短评内容': '酒店提供接送的车子和司机不错，酒店位置和房间设施蛮好。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '酒店的位置处在交通干道上，紧邻马路，房间隔音效果不好，建议住在低层。送机时间需要根据客人的需求做灵活调整，整体服务有待提高，房价在当地偏贵。', '短评打分': 5}
{'短评内容': '酒店周边很繁华，可以尝到当地特色小吃，无论是大堂还是客房服务员都很周到热情，服务员清扫房间都很及时，房间硬件设施也很齐全，卫生条件特别好，很干净，住着特别的满意 ', '短评打分': 5}
{'短评内容': '真的不错，尤其是有车在机场接送，我和老公24号下午的飞机，酒店两点半用小车送我们去机场，后来我很粗心地把手机忘在了车上，司机师傅还把手机给我去机场，真是值得表扬，超赞的服务。', '短评打分': 5}
{'短评内容': '很好，十一点就可也入住，下午可以两点退房，有接机送机服务，只是今天无热水和空调不正常', '短评打分': 5}
{'短评内容': '再说下，早餐显得较简单，且餐厅的服务不太仔细。', '短评打分': 5}
{'短评内容': '房间虽然有的小，但设施还可以，停车场小，有机场接送很好，方便商务旅客。', '短评打分': 5}
{'短评内容': '还好吧，出差来的，比较方便，离机场也近，以后还回来。', '短评打分': 5}
{'短评内容': '总体来说是不错的，住的很舒服，很干净， 总体来说是不错的', '短评打分': 5}
{'短评内容': '酒店周边很繁华，可以尝到当地特色小吃，无论是大堂还是客房服务员都很周到热情，服务员清扫房间都很及时，房间硬件设施也很齐全，卫生条件特别好，很干净，住着特别的满意', '短评打分': 5}
{'短评内容': '丽豪设施不像4星，价格确与天怡豪生差不多，不值。', '短评打分': 5}
{'短评内容': '去贵阳经常住这家酒店，感觉服务比较到位，设施也很齐全，下次去还住！', '短评打分': 5}
{'短评内容': '老牌星级饭店，没什么说的。就是不一样。尤其是在服务上。服务员很到位，所有事情处理的很麻利。\n\n商务客人，首选这个酒店。地段好/服务好。', '短评打分': 5}
{'短评内容': '酒店还不错，就是等电梯的时间较长，步行十分钟可到夜市。', '短评打分': 5}
{'短评内容': '还行，就是稍贵', '短评打分': 5}
{'短评内容': '尚可，早餐也不错', '短评打分': 5}
{'短评内容': '酒店的位置处在交通干道上，紧邻马路，房间隔音效果不好，建议住在低层。送机时间需要根据客人的需求做灵活调整，整体服务有待提高，房价在当地偏贵。', '短评打分': 5}
{'短评内容': '位置好，有免费接送机服务。不错！就是在贵阳来讲，价格有点高', '短评打分': 5}
{'短评内容': '还不错，就是电梯速度比较慢，要等很久。', '短评打分': 5}
{'短评内容': '总体不错,隔音一般,旁边有一建材市场,比较吵.&lt;br /&gt;\n另,好象办婚礼的不少,对入住客人有点影响,电梯确实少了点.', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;那天坐了长途车，来到前台，几个接待都在帮婚礼的在办理，还在对好几天的房间，各种价格什么的，旁边的沙发坐慢了参加婚礼的人。等了好久没人看到偶拖箱子一个人站着，打个招呼也好啊。只好大声要求给我先办入住（太累了呵呵）。电梯有点少的，20多层楼只有2台？！房间的硬件设施不错，卫星电视很多台可选。服务也挺好。早餐丰盛，比较可口。在酒店办理换登机牌服务要提早3小时，还不接受电', '短评打分': 5}
{'短评内容': '我觉得在贵阳这地方,这酒店算起来算不错的了,而且自助早餐挺好的,不过送机的时间固定太死了,不灵活,害我要回来的时候自己掏了50元打车到机场!', '短评打分': 5}
{'短评内容': '以贵阳的水平来讲，我觉得这个酒店算很好，有车免费接送机场，设备服务地点也都可以，值得推荐', '短评打分': 5}
