{'短评内容': '入住时安排了没有网络的房间,要求后才更换房间,并且网速很慢.结帐时又找不到楼层服务员,等了很久才结帐.差点赶不上车.前台的服务人员态度很好.', '短评打分': 1}
{'短评内容': '挺好的，环境很好，唯一不好的就是插板不是特别方便，', '短评打分': 5}
{'短评内容': '还是不错，有些灯不亮？湖南卫视没有声音！！', '短评打分': 3}
{'短评内容': '房间很大，卫生也不错，就是进门有很多乱七八糟的服务卡片，整体还是很不错的，值得推荐！', '短评打分': 5}
{'短评内容': '房间吊顶都有点破了，不过房间倒是很大，床也还可以，适合双人入住', '短评打分': 3}
{'短评内容': '总体情况一般', '短评打分': 3}
{'短评内容': '房间可以，就是地面很脏。而且，灯坏了几个！关健是，开关都在枕头上面，多危险啊！兄弟！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '基本满意，以后还会去住，干净，离武昌火车站一个站的距离', '短评打分': 5}
{'短评内容': '  挺好的 新装修的', '短评打分': 3}
{'短评内容': '酒店式公寓，装修还行，空调、热水、等等都还可以，下次再来住', '短评打分': 5}
{'短评内容': '各方面都还不错，网速给力，离武昌火车站很近\n\n怎么住一次要评价一次啊，都住过三四次了', '短评打分': 5}
{'短评内容': '各方面都还不错，网速给力，离武昌火车站很近', '短评打分': 5}
{'短评内容': '这家店新装修的比较干净，而且位置很方便，临近火车站，门口有公交车站。靠小区的那边环境较好。', '短评打分': 5}
{'短评内容': '酒店离火车站近，房间大，没有早餐，性价比还不错。楼下的粥铺味道不错。', '短评打分': 5}
{'短评内容': '非常不错，性价比很高。希望大家有机会一起去入住，就是位置不是特别好。', '短评打分': 5}
{'短评内容': '酒店性价比非常高，我订的是家庭房，一张大床，然后标准床，房间很干净，挺喜欢屋里的沙发', '短评打分': 5}
{'短评内容': '相当给力.蛮不错的.漂亮干净.。网速有1M多..好快', '短评打分': 5}
{'短评内容': '酒店环境不错，离火车站很近，很方便。服务很好', '短评打分': 5}
{'短评内容': '大堂不怎么样，上电梯要拐几个弯好麻烦..........', '短评打分': 5}
{'短评内容': '感觉非常干净，而且由于是在小区，窗外的环境比较好，但空调制热效果太差，有些冷。', '短评打分': 5}
{'短评内容': '电梯太脏，和居民共用电梯给人不安全的感觉；服务还可以', '短评打分': 1}
{'短评内容': '各方面都挺不错哦 位置也很好找 如果不是急着有事 还会多住几日 ', '短评打分': 5}
{'短评内容': '酒店客服人员态度很糟糕，已经入住的客人，再加订一间客房，他们不同意按照同样的价格。并且，对于晚上12点之后入住，没有任何优惠。客房面积还可以，但是空气清新剂的味道太大，整晚都无法入睡。', '短评打分': 1}
{'短评内容': '武汉萨格商务酒店非常好，服务设施都很好。因为想到户部巷要不一直住这', '短评打分': 5}
{'短评内容': '经济型的还不错，位置也不偏，大堂和电梯有点不方便；好像是两家酒店共一个电梯', '短评打分': 5}
{'短评内容': '靠小区这边很安静，环境很好，下次还会去并推荐给朋友。一些小年轻的往房间里塞很多美容服务的小片子，影响情绪，应加强管理。', '短评打分': 5}
{'短评内容': '酒店还不错，浴室地漏堵住了，有火车鸣笛声', '短评打分': 3}
{'短评内容': '非常好，服务设施都很好，不输准四星!!!!!!!!!!', '短评打分': 5}
{'短评内容': '还是我上次住的么- -、看我又住了一遍...反正下次继续住', '短评打分': 5}
{'短评内容': '已经成功入住后的客人，再多订一间房，酒店居然称不能给同样的优惠。服务态度很差。而且，房间里面的空气清洁剂的味道过重，是在让人无法忍受。噪音大，不含早餐，大堂没有直达电梯，要东拐西拐，还无任何指示牌。实在是对不起这个价格。强烈不推荐。', '短评打分': 1}
{'短评内容': '蛮不错的..很漂亮..液晶电视...卫生间很大很不错....住的很舒服', '短评打分': 5}
{'短评内容': '交通还不错，离武昌火车站就只有几分钟车程。房间设施也可以，不过额外的东东都收费滴。', '短评打分': 5}
{'短评内容': '酒店硬件设施蛮齐全的，电脑和自动麻将桌都有，酒店是新开业的，房间看着蛮干净的，地理位置也不错，出行蛮方便的', '短评打分': 5}
{'短评内容': '我住的是 家庭房，卫生设施等都可以，但有一项我不赞同。房间一天只配两小包纸巾，多要的话要收一块钱一卷，我不反对环保，但配给量太少。当时结账时，因为毛巾上不知弄了污渍，酒店为此多收我15元的毛巾赔偿费用。希望朋友们住该酒店时，在这两方面千万注意了，别到算总账时被蒙了。\r\n', '短评打分': 1}
{'短评内容': '很好很舒服 就是气味很大 貌似是沙发的气味 ', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错。就是位置偏了点。', '短评打分': 1}
{'短评内容': '比较满意，打车时可以和司机说027社区就可以。房间环境和设施都可以，比较适宜商务人士入住，无骚扰电话。', '短评打分': 5}
{'短评内容': '设施和环境不错，不过要求换床单被套，服务员没换，被忽悠的感觉', '短评打分': 5}
{'短评内容': '停车很不方便，只能停到酒店门口或者后面的小区里，其他服务，卫生什么的都不错，下次如果在附近有出行需要还会入住的。', '短评打分': 5}
{'短评内容': '停车很不方便，只能停到酒店门口或者后面的小区里，其他服务，卫生什么的都不错，下次如果在附近有出行需要还会入住的。', '短评打分': 5}
