{'短评内容': '就那么回事吧，一贯如家', '短评打分': 5}
{'短评内容': '垃圾酒店，**的，我开了个双人房，问酒店服务员多拿一张被子都没有，酒店不应该有预备被子吗？就一张也没有，服务态度也不行，第二次问他拿被子的时候我还没说完他就挂了电话，这酒店可想而知怎么样了，环境也就跟普通的宾馆一样', '短评打分': 5}
{'短评内容': '位置方便，服务周到。', '短评打分': 5}
{'短评内容': '不错哦，值得推荐', '短评打分': 5}
{'短评内容': '前台办理入住时速度较慢，等待时间较长。可能是特价房原因吧，晚上睡觉时周边比较吵，影响睡眠。热水器的水热的慢，开最热的时候，洗澡水温才中等，不够热啊！卫生干净，床够大，卫生间大。。。。', '短评打分': 3}
{'短评内容': '位置挺好，干净卫生，没早餐', '短评打分': 5}
{'短评内容': '房间很好 服务很好 设备很好', '短评打分': 5}
{'短评内容': '不在广交会的时候还是很便宜的，交通也算是方便，离地铁站有个几百米的距离，出门就是一个公交站，可以坐车到客村坐地铁，总的来说还可以', '短评打分': 5}
{'短评内容': '还可以，入住确定也挺快的，就是有几个房间的空调不怎么好用，睡觉感觉很热', '短评打分': 5}
{'短评内容': '还行，就是房间太小，电视机不行', '短评打分': 5}
{'短评内容': '还凑合，比较老了', '短评打分': 5}
{'短评内容': '还可以，这价格也就只能住这样的', '短评打分': 5}
{'短评内容': '随便住住可以，不能有太多奢望，装修老化的很快！', '短评打分': 5}
{'短评内容': '方便快捷 服务很好 很安静', '短评打分': 5}
{'短评内容': '环境还不错，', '短评打分': 5}
{'短评内容': '位置很好，公交车站就在门口，相对于地铁更方便，因为去赤岗地铁站还有公交车一站路。周边吃饭的地方很多，对面的老西关肠粉店不错的。楼层的过道和房间都很大，与其他如家的窄小状态有太大差别。晚上很安静，没有塞小卡片的，休息质量很好。', '短评打分': 5}
{'短评内容': '服务态度很热情，酒店停车方便，交通出行也很便利，赞！！！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '参加交易会住的，不能太讲究', '短评打分': 5}
{'短评内容': '出差首选', '短评打分': 5}
{'短评内容': '厕所的门坏了，逗没有可以关的，上厕所很尴尬', '短评打分': 5}
{'短评内容': '酒店距离地铁站很近 就是广交会期间价格太贵了，没有窗户的也要500多一晚，不过如家总的来说给人的感觉就是温暖如家，暖色系床单被套会叫人比较放松', '短评打分': 5}
{'短评内容': '很好，非常推荐，房间很大，交通也比较便利，赤岗站c2大概十分钟就可以走到了。前台帅哥很好态度。比较推荐哦', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
