{'短评内容': '根据地酒店，哈哈哈', '短评打分': 4}
{'短评内容': '前台服务很差，问个事感觉跟欠人家钱似的。', '短评打分': 5}
{'短评内容': '价格很合理', '短评打分': 5}
{'短评内容': '可以的，', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '豪华？算不上，千万别被豪华二字骗了', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '比较好找  但是第一次去的时候居然说携程确认了也没有房间……', '短评打分': 4}
{'短评内容': '房间设施有些旧', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '就是很便宜，但是房间不干净，设施也很陈旧，服务态度还不错。', '短评打分': 3}
{'短评内容': '还行，就是说返现怎么没有，不知道携程怎么回事。', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '感觉很一般，电视遥控不好使，看个电视还得去电视跟前儿播。床头没有插座，手机充着电就不能玩了，我觉得挺一般的。隔音效果不好。周围环境也乱，九点多的时候还有人外面大声说话。只能说，一般了。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
