{'短评内容': '热水不热，晚上太吵', '短评打分': 1}
{'短评内容': '不错。要是能带简单早餐就更完美了。', '短评打分': 5}
{'短评内容': '没有早餐，位置很好，房间卫生也很干净，房间也大。', '短评打分': 4}
{'短评内容': '省医院隔壁，方使。', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '双人间房子太小了，环境不错，离医院进，价格高', '短评打分': 5}
{'短评内容': '比较方便，性价比高，值得推荐，比较方便，性价比高，值得推荐，比较方便，性价比高，值得推荐，比较方便，性价比高，值得推荐，', '短评打分': 5}
{'短评内容': '比较方便，性价比高，值得推荐，比较方便，性价比高，值得推荐，比较方便，性价比高，值得推荐，比较方便，性价比高，值得推荐，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在他们门口订的二十平特惠商务房，进去他们说没了，给换个十二平的标准房，并告诉我免费更换的，意思是我赚了！进去后床单上有毛发(真实评价)！！你们太棒了！！！！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '床很大，环境不错晚上很安静，服务也很好，门口就是公交站含多条线路，很方便，不远处就是省医院，打的空车多，方便', '短评打分': 5}
{'短评内容': '还可以，就是商务大床房的房间稍微有点小！', '短评打分': 3}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '酒店地理位置较好，公务出行很方便，尤其是设施和卫生都能够满足要求，就是服务态度有待于进一步提高，酒店提供的入住时间有点不太人性化，我们预定后入住稍微有点早，因身体不舒服，需要用卫生间，但酒店未能提供公共卫生间，让人感觉很不好', '短评打分': 5}
{'短评内容': '中规中矩，出差有事，住的近。快捷都差不多。', '短评打分': 4}
{'短评内容': 'nice', '短评打分': 5}
{'短评内容': '交通比较方便，门口直接乘4路公交车可到张掖路步行街，也可到中山桥黄河边溜达；另外洗澡水很大，比较舒服。', '短评打分': 5}
{'短评内容': '还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~', '短评打分': 5}
{'短评内容': '这家如家不错，卫生干净，服务也好！只是房子小了点', '短评打分': 5}
{'短评内容': '服务不错，就是价位稍高点。房间也小点，要是价格低点，以后会是常客的\n', '短评打分': 5}
{'短评内容': '房间有点小，其他还行', '短评打分': 3}
{'短评内容': '环境不错，交通便利，不错', '短评打分': 3}
{'短评内容': '房间有点小哦，不过这个价格也就这样了。。这次如家涨价了。。\n\n不过，隔壁那个西餐厅豪享来的酸菜鱼可真不咋地好吃啊。。', '短评打分': 5}
{'短评内容': '感觉还可以。挺安静。交通方便。但是房间有点小。稍微贵点。', '短评打分': 3}
{'短评内容': '位置离兰大很近 很方便，如家给人的感觉很温馨', '短评打分': 5}
{'短评内容': '如家不错，就是大床房的卫生间太小了，如果能大一点就好了。', '短评打分': 5}
{'短评内容': '离机场大巴近，市中心位置，去哪都较方便。酒店内部环境还行。对得起这个价格。', '短评打分': 5}
{'短评内容': '这家如家很不错啊～一直很喜欢如家整体的颜色和风格～真的很有家的感觉～如果酒店房间有香味就更好啦！', '短评打分': 3}
{'短评内容': '房间有点小不过挺干净的。', '短评打分': 3}
{'短评内容': '地理环境较好，离市中心广场打的士起步价。房间环境不错。', '短评打分': 3}
{'短评内容': '住宿环境很安静，房间很暖和。', '短评打分': 3}
{'短评内容': '如家这家店不错，印象很好。', '短评打分': 3}
{'短评内容': '还不错，就是总闻见做饭的油烟味，但是没有早餐，其他都好', '短评打分': 3}
{'短评内容': '房间暖气很足，很温馨，小而精致！值得推荐，第一次入住很满意！', '短评打分': 5}
{'短评内容': '＋呵呵，七楼的房间很好', '短评打分': 3}
{'短评内容': '服务不错，尤其是大堂的保安，回答我们的问题非常耐心热心。', '短评打分': 3}
{'短评内容': '店面比较上海的如家要小。也没有餐厅。不过服务员的服务态度都比较好，都很有礼貌。', '短评打分': 1}
{'短评内容': '我已经入住如家', '短评打分': 3}
{'短评内容': '环境可以，干净卫生，服务态度很好，不错。', '短评打分': 5}
{'短评内容': '还可以吧，如家要的就是干净和方便，至于服务，就不要想太多了。', '短评打分': 5}
{'短评内容': '酒店环境一般，人员素质很差。旁边那个中西餐厅的服务员真是让人郁闷。', '短评打分': 1}
{'短评内容': '地理位置好，卫生好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '凑合着住吧，房间有点小，没有早餐！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '停水了，没法洗澡，不过交通方便!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '停水了，没法洗澡，不过交通方便！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '干净，舒适，温馨。服务态度很好！值得推荐！', '短评打分': 5}
{'短评内容': '环境还不错，干净卫生。 ，交通便利，服务态度好，就是没有吃饭的地方                    ', '短评打分': 5}
{'短评内容': '交通比较便利，服务不像四星级酒店的服务，还需要加强', '短评打分': 1}
{'短评内容': '性价比高。很喜欢的酒店。若冬天入住建议住高层房间温度会高一些', '短评打分': 5}
{'短评内容': '如家快捷酒店东岗西路店 环境不错 出行方便 出差选择很好', '短评打分': 5}
{'短评内容': '如家快捷酒店兰州东港西路店还是一如既往的方便', '短评打分': 5}
{'短评内容': '前台服务不是很好，吹风机等借用麻烦，最主要是房间太小，真的很小，而且不知道是有装修还是有大车经过，经常有很大的噪音，洗澡间设计不合理，水会流到外面~~~整体感觉是卫生不错，房间小，噪音大，服务一般 ', '短评打分': 1}
{'短评内容': '如家的品质不错，干净，服务态度也不错。不过挨着电脑城，交通稍微拥堵了点。', '短评打分': 5}
{'短评内容': '地理位置还行，就是房间相比较其他城市的如家显得小了点，而且没有独立餐厅', '短评打分': 5}
{'短评内容': '温度有点低.洗澡很冷的.\n房间也比较小.不过还算干净.', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好\n\n\n\n\n', '短评打分': 5}
{'短评内容': ' 房间太小。', '短评打分': 3}
{'短评内容': '环境可以，房间有点小，但主要离办事的地方近，便利，给个好评。', '短评打分': 5}
{'短评内容': '房间有点小，但是够用，前台服务很不错，只是位置没有说的那么好，还算方便。', '短评打分': 5}
{'短评内容': '不错，和其他分店差不多，位置可以，方便，附近的拉面好吃，可咨询服务员', '短评打分': 5}
{'短评内容': '很好的酒店,性价比高.前台自助商务太方便了,', '短评打分': 5}
{'短评内容': '方便,实惠,服务员态度好.若在省医院办事最佳入住酒店', '短评打分': 5}
{'短评内容': '除了房间小点，别的都挺好的，出门也很方便', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '如家一贯的风格，比较稳定，地理位置也好，不错。', '短评打分': 5}
{'短评内容': '地理位置不错，环境也不错，价格偏高，希望以后能降价。', '短评打分': 3}
{'短评内容': '服务不错，也很干净，蛮舒服的。比较不满意的是没有抽屉和柜子；还有有点贵。', '短评打分': 5}
{'短评内容': '位置不错，离火车站、机场大巴停靠点都不远（打车情况下，步行到火车站也在两公里以上了）。房间设施不错，液晶电视。只是商务大床189元一晚确实性价比一般，毕竟只是快捷酒店，在兰州这个价格确实不低。当然如家的品牌是不错的，在张掖路步行街店也住过，很舒服。下次路过兰州位置合适还选如家，但是，强烈要求优惠！', '短评打分': 5}
{'短评内容': '+服务很好，房间不错，但价格偏高感觉不值。', '短评打分': 5}
{'短评内容': '为了赶早班的机场大巴选择的这家旅馆，打车过去几分钟路程。房间挺干净的，就是比较小。而且我们的房间靠马路，晚上有点吵。', '短评打分': 1}
{'短评内容': '太吵，在医院附近，不好，服务还可以，房间设施一般', '短评打分': 1}
{'短评内容': '感觉很好,像家一样,主要是觉得干净!希望以后能更便宜些那样去的人会更多!!!!', '短评打分': 5}
{'短评内容': '感觉还不错，距离农民巷小吃街挺近的，和兰州大学对面，服务态度不错，热水也很好，以后去还会考虑入住', '短评打分': 5}
