{'短评内容': '每次住七天都有鲜奶送，这家说没货，态度及其不咋地！', '短评打分': 5}
{'短评内容': '还行  隔音略差没烟灰缸', '短评打分': 5}
{'短评内容': '环境非常不错，服务很好', '短评打分': 5}
{'短评内容': '很好，服务不错', '短评打分': 5}
{'短评内容': '服务态度很好，房间不错直到推荐', '短评打分': 5}
{'短评内容': '很好  很不错～～～～', '短评打分': 5}
{'短评内容': '位置很好。。不过靠窗的房间特别嘈。。离机场和广电都很近', '短评打分': 5}
{'短评内容': '出行很方便，酒店位置很好找，酒店wifi好，热水快，房间卫生干净，客房大姐服务好，停车方便，硬件设施也很好，前台热情，房间大，空气好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置方便查找，距离广电和世界之窗很近。酒店前台服务很热情，房间wifi好，热水快，卫生干净入住很舒心，硬件设施也很好，房间大，空气好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置方便查找，距离广电和世界之窗很近。酒店前台服务很热情，房间wifi好，热水快，卫生干净入住很舒心，硬件设施也很好，房间大，空气好，值得推荐。', '短评打分': 5}
{'短评内容': '房间挺大，感觉还不错！', '短评打分': 5}
{'短评内容': '值得推荐，位置很好找，酒店网络全都有覆盖，热水快，硬件设施齐全，房间大卫生也很好，前台服务热情，周边有超市，购物方便，离广电跟世界之窗很近', '短评打分': 5}
{'短评内容': '比较方便，还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般吧，那附近没什么酒店……', '短评打分': 3}
{'短评内容': '交通便利，靠近麦德龙超市，', '短评打分': 5}
