{'短评内容': '早餐有，有停车场', '短评打分': 4}
{'短评内容': '早餐在这个城市算不错的了', '短评打分': 4}
{'短评内容': '很好。。。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 4}
{'短评内容': '无线网不好，几年没有改边。下水道不通，水都溢到房间。', '短评打分': 4}
{'短评内容': '睡了一晚！身上到处都痒。床单估计很久没有洗了。京东不行', '短评打分': 1}
{'短评内容': '宾馆不错，性价比高，关键是春节外面没用早饭吃，宾馆免费早餐就更值了', '短评打分': 5}
{'短评内容': '酒店环境不错，位置好，早餐较好', '短评打分': 3}
{'短评内容': '干净，方便，而且非常舒适的酒店。家人们特别喜欢', '短评打分': 5}
{'短评内容': '老牌酒店，服务周到！', '短评打分': 3}
{'短评内容': '服务态度较好', '短评打分': 5}
{'短评内容': '服务还是国营酒店的那套服务意识，性价比还不错', '短评打分': 4}
{'短评内容': '房间有味道，且较小。硬件比较老旧', '短评打分': 3}
{'短评内容': '老宾馆了，这个价格比较实惠，房间灯有点暗', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店无线上网信号很快。旁边有小花园，可以随意转转。早餐不错有特色，停车也方便。酒店的设施比较老，卫生还行。推荐入住。', '短评打分': 4}
{'短评内容': '这么冷下午不开空调。晚上五点半开到半夜一点。下半夜冷', '短评打分': 3}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '环境幽静，交通方便，是铜陵老牌的宾馆了，总体不错~', '短评打分': 5}
{'短评内容': '酒店很好性价比高。管理规范。早餐丰盛。推荐。', '短评打分': 5}
{'短评内容': '装修稍微老了点！但是总体不错！价格便宜！', '短评打分': 5}
{'短评内容': '老酒店，过去应该在当地有名气.现在价格也不高.下次还住', '短评打分': 5}
{'短评内容': '酒店很好性价比高。管理规范。早餐丰盛。推荐。', '短评打分': 3}
{'短评内容': '酒店不错离汽车站很近，就是服务员没有什么表情，爱理不理的', '短评打分': 5}
{'短评内容': '推荐，，，可以说是物超所值！环境也很好。早餐也不错，下次来还住这', '短评打分': 5}
{'短评内容': '五山松宾馆房间对得起这个价格，只是房间较小，总体还行下次还来。', '短评打分': 3}
{'短评内容': '酒店不差，设施有点陈旧了，服务还好，还算可以', '短评打分': 5}
{'短评内容': '酒店有点老的，比不上一般的快捷酒店。 价格也不是很便宜，四星的牌子，好摘摘掉的呢', '短评打分': 1}
{'短评内容': '，五松山还不错', '短评打分': 3}
{'短评内容': '太老，房间很陈旧，早餐也不好！性价比不高！', '短评打分': 1}
{'短评内容': '太陈旧！早餐环境差，而且乱，没人收拾餐桌，东西也很少，不够四星！', '短评打分': 1}
{'短评内容': '许是有些年代啦，地毯较旧，不如撤去，显得更清爽。其它都挺好的。', '短评打分': 5}
{'短评内容': '属于铜陵有色旗下的，还可以，这里168的，内部价格是138.', '短评打分': 5}
{'短评内容': '酒店外观看起来挺不错的，房间内设施也还可以，性价比尚可', '短评打分': 5}
{'短评内容': '服务好，很安静，早餐也不错。交通也方便、', '短评打分': 5}
{'短评内容': '设备老化被子薄空调没反映淋浴龙头死板', '短评打分': 3}
{'短评内容': '定的168的，后来换了208的，房间比较小，马桶有问题，网线也有问题，下次不要再住了，在铜陵这样的小地方这样的价格相当贵了，就是在南京也比在铜陵住的好', '短评打分': 1}
{'短评内容': '隔音效果差,隔壁房间的电视播放的声音使人无法入睡。', '短评打分': 1}
{'短评内容': '＋房间还不错，不过进来的时候就有电吓了一跳…', '短评打分': 3}
{'短评内容': '设施陈旧，隔音效果差。四星的牌不知是何年的。', '短评打分': 1}
{'短评内容': '太棒了！不错！确实挺好的!就是电视老了，不是网络电视。', '短评打分': 5}
{'短评内容': '位置很好，硬件设施完善，服务也很好，卫生条件不错，值得入住。\n\n', '短评打分': 5}
{'短评内容': '跟半个月前的第一次入住比，价格涨了，房间反而小了，郁闷！', '短评打分': 3}
{'短评内容': '酒店 交通便利 环境优美 设施有些陈旧 不过比较古典 空调有待改进，早餐丰富 顶下', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '性价比可以，环境也不错，就是太老了，其实就算再新一点，价格再高点都没有问题', '短评打分': 5}
{'短评内容': '＋房间总体还不错，就是里面的用品显得陈旧，早就该更换了！', '短评打分': 3}
{'短评内容': '正宗老星级酒店 没有任何新意的和新的东西 意料之中', '短评打分': 5}
{'短评内容': '房间布置的挺朴素的，卫生打扫的很好，床挺大挺舒适，基本设施都有，整体感觉还不错。', '短评打分': 3}
{'短评内容': '位置挺好，交通购物挺方便的，停车场也挺大，停车也挺方便。', '短评打分': 3}
{'短评内容': '房间挺小的，卫生打扫的还不错，床单被罩每天都及时更换，这点挺满意的。', '短评打分': 3}
{'短评内容': '蛮好,蛮好,蛮好,蛮好,蛮好,蛮好,蛮好,蛮好,蛮好,', '短评打分': 5}
{'短评内容': '房间太小，床太小。', '短评打分': 3}
{'短评内容': '环境挺好，设施挺完善，服务也不错，住的还算舒适。', '短评打分': 3}
{'短评内容': '设备太陈旧,感觉不好', '短评打分': 3}
{'短评内容': '酒店外面看上去很好，房间里的设施太旧，像是用了100年了，建议重新装修', '短评打分': 1}
{'短评内容': '硬件设备有些陈旧,使用起来不是很方便.而且室内整体也是比较暗一些,其它各方面还好.', '短评打分': 1}
{'短评内容': '设施真破，难以想像他说他是四星，这不吹牛B行不行。。。。', '短评打分': 3}
{'短评内容': '  入住，一般', '短评打分': 3}
