{'短评内容': '停车吃饭 挺方便，就是酒店设施有点陈旧。', '短评打分': 5}
{'短评内容': '还不错哦，没网上评论的那么差，就是没制热的空调，有点冷。', '短评打分': 4}
{'短评内容': '可以停车，很方便，虽然有些老，但是房间空间很大，基本的配置都有，能满足基本的入住需求，而且价格很实惠。', '短评打分': 5}
{'短评内容': '设施有点老，能停车还不错。设施有点老，能停车还不错。设施有点老，能停车还不错。设施有点老，能停车还不错。', '短评打分': 5}
{'短评内容': '酒店卫生太差了，毛巾上还有头发，而且房间隔音效果也很差。不建议入住，反正我是不会住第二次', '短评打分': 2}
{'短评内容': '酒店前台接待人员的工作态度很好，有问必答，彬彬有礼。餐厅内服务人员态度极好，热情、礼貌且收餐具及时，餐品也不错。', '短评打分': 5}
{'短评内容': '空调不行，还是以前的老式的', '短评打分': 5}
{'短评内容': '住过好多次了。国庆期间房价涨幅较大。出行交通方便。靠马路面房间有点吵，其余还好。', '短评打分': 4}
{'短评内容': '老酒店，再次入住，性价比高，尽管酒店历史悠久，但是，环境安静，干净。设施齐全，使用方便。房间也大。二楼和一楼有餐厅，菜的味道不错，可以一试。包间干净卫生。以后有机会再次入住。', '短评打分': 4}
{'短评内容': '酒店比较陈旧，房间空气不好，进去就有一股味道，关键卫生间淋浴间的下水道堵塞，洗个澡就淹水了，前台找人过来通都没通好，差评', '短评打分': 3}
{'短评内容': '酒店大堂和前台的工作人员很有礼貌、 房间干净整洁、卫生打扫及时、 位置非常不错。酒店的位置很好，酒店的设施总体上还是可以的， 房间比较大、布置得很温馨、感觉很舒服， 非常满意的一次入住体验，希望以后会更好。', '短评打分': 5}
{'短评内容': '总体还是很经济，很不错的选择！停车很方便', '短评打分': 4}
{'短评内容': '西安诸多酒店中的性价比极高的酒店，虽设施有些陈旧，但其他都还不错，下次还会入住', '短评打分': 5}
{'短评内容': '酒店有点老，房间比较大', '短评打分': 4}
{'短评内容': '酒店位置不错，旁边就是居民区，各类生活配套都挺齐全的，房间干净整洁，但是设施就一般了，晚上有时候会比较吵，因为楼下有吃饭的地方。', '短评打分': 4}
{'短评内容': '感觉不错，服务热情周到，只是房间设施陈旧，就餐便利，口味不错，面食不错，早餐一般。门口打车不方便。但值得下次还住。', '短评打分': 4}
{'短评内容': '在老城西南角，所在街道比较僻静，两旁大树遮蔽，很是荫凉。虽然是老一些的宾馆，但房间比较干净整洁，前台也很热情。推荐。', '短评打分': 5}
{'短评内容': '酒店不错 房间也比较干净 地理位置好 比较方便出行 楼下有很多美食。', '短评打分': 5}
{'短评内容': '位置尚可,服务一般,没有服务意识.无线上网速度极慢.没有停车服务,安全无保障.', '短评打分': 1}
{'短评内容': '宽大，离市区近，周围饮食都很方便，值得推荐！', '短评打分': 5}
{'短评内容': '西安政协大酒店位置很好，周边吃饭方便，酒店暖气很好，也很干净。赞一个！', '短评打分': 5}
{'短评内容': '酒店的硬件设施不错，服务员的态度也蛮好，整体来说，这次入住还算愉快', '短评打分': 5}
{'短评内容': '酒店位置不错，在市中心建国门附近，内部有餐厅，不过离机场较远', '短评打分': 3}
{'短评内容': '地理位置很好，房间设施也很好。门外面有很多吃饭的地方，推荐', '短评打分': 5}
{'短评内容': '和想象中差不多，可以。', '短评打分': 3}
{'短评内容': '酒店临陕西省政协，环境、服务都不错，酒店餐厅的正餐也很好。旁边是张学良纪念馆（免费），酒店临老城墙的建国门，可以溜达到西安老城墙。', '短评打分': 5}
{'短评内容': '不多说了，屋子里面有蟑螂，不能刷卡，灯光昏暗，交通不变，洗手间还行，床太差，隔音很差，网络不好，电视频道少，还有一堆！', '短评打分': 1}
{'短评内容': '位置不错 价格还成 就是屋子有点旧了\n总体感觉还是可以 离东大街很近 在公司附近\n位置不错 价格还成 就是屋子有点旧了\n总体感觉还是可以 离东大街很近 在公司附近', '短评打分': 5}
{'短评内容': '太差，看着不行，进去更不行，附件没有什么吃的，离钟楼也远，太差，看着不行，进去更不行，附件没有什么吃的，离钟楼也远', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店位置好，服务态度不错，推荐。', '短评打分': 3}
{'短评内容': '强烈推荐！性价比高，地好，服务好！下次来西安还要住这儿。', '短评打分': 5}
{'短评内容': '地段好，城里。周边吃饭的地方多，房间就一般了，不舒适。', '短评打分': 5}
{'短评内容': '房间干净整洁，不过服务一般。性价比还可以了。 \n6层的无线宽带信号太差了，建议尽快完善。', '短评打分': 5}
{'短评内容': '房间干净整洁，不过服务一般。性价比还可以了。', '短评打分': 5}
{'短评内容': '方便、价格公道。只是房间之间不隔音，鼾声都能听见。', '短评打分': 5}
{'短评内容': '条件还可以', '短评打分': 3}
{'短评内容': '政协酒店外部形象还可以，服务态度好，很干净卫生，餐饮不错点菜味道很好。但188元标准房太小，房间里下水道气味很重。', '短评打分': 3}
{'短评内容': '前台服务人员态度很好，房间挺大，卫生间也挺大，卫生方面也还可以，住的还比较舒适。', '短评打分': 5}
{'短评内容': '服务人员很热情，会主动帮忙提行李，房间打扫的很干净，设施一般，位置很好，出行很方便。', '短评打分': 3}
{'短评内容': '酒店是不是很豪华，但是布置的很温馨，服务上很热情，让人感觉很亲切，住的很舒适。', '短评打分': 5}
{'短评内容': '服务人员很好，有问必答，也很耐心，办事效率也挺快，这点很满意。', '短评打分': 5}
{'短评内容': '酒店安全性很好，住着很放心，服务上也很热情周到。', '短评打分': 5}
{'短评内容': '酒店在钟楼附近，游玩购物很方便，去火车站也很方便。', '短评打分': 5}
