{'短评内容': '四星级酒店，地上毛毯都是头发，边上吃饭的地方都没有，还要跑到万达。前台没有态度，跟大小姐一样；旅行团太多，太吵。', '短评打分': 3}
{'短评内容': '很好停车，早餐还可以', '短评打分': 5}
{'短评内容': '一个四星酒店2星服务水平，前台服务特别差劲，爱理不理的态度。房间毛毯都是头发', '短评打分': 4}
{'短评内容': '特价房床很硬，便宜还是有区别的', '短评打分': 4}
{'短评内容': '不错，非常好！', '短评打分': 5}
{'短评内容': '东西不错啊！东西不错啊！东西不错啊！东西不错啊！东西不错啊！东西不错啊！东西不错啊！', '短评打分': 5}
{'短评内容': '东西不错啊！东西不错啊！东西不错啊！东西不错啊！东西不错啊！东西不错啊！东西不错啊！', '短评打分': 5}
{'短评内容': '灵动的空间可以让您在繁忙旅途中尊享一处悠闲静息之所。', '短评打分': 5}
{'短评内容': '实惠，离高速出口很近。', '短评打分': 4}
{'短评内容': '好房间   位置不错 离高速口近', '短评打分': 5}
{'短评内容': '房间好  但周围人气不太旺', '短评打分': 5}
{'短评内容': '干净，卫生。', '短评打分': 5}
{'短评内容': '房间各方面还可以，装修也挺好，就是墙纸有些脱落感觉不是很舒服', '短评打分': 5}
{'短评内容': '环境不错，交通便利！这价格值啊', '短评打分': 5}
{'短评内容': '还不错，值得推荐。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '听朋友评价还蛮好的，房间环境不错，还有水果送，很满意！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个价位来说各方面很超值了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '价格实惠，房间大，卫生干净', '短评打分': 5}
{'短评内容': '酒店房间大，设施好，服务好，就是偏了点，安静，电视有点雪花', '短评打分': 5}
{'短评内容': '全国性价比最高的四星级酒店，去土楼路过。离高速特近，强烈推荐过路盆友入住。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '每天都有送水果  就是酒店的方便面  怎么会是番茄味  太难吃', '短评打分': 4}
