{'短评内容': '总体不错！', '短评打分': 5}
{'短评内容': '早餐一般，简单一些了', '短评打分': 5}
{'短评内容': '带着孩子老人，第二次入住了，订了4个房间，很满意！早餐有饭、面条等，满意的', '短评打分': 5}
{'短评内容': '酒店的灯太暗，建议换成白炽灯', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '房间挺大，三四星级，价格偏贵', '短评打分': 4}
{'短评内容': '。.............', '短评打分': 5}
{'短评内容': '以前住过还不错', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '酒店位置不错，很中心。可以看出以前应该是很有档次的酒店，现在稍显陈旧，但空间和用具还是不错的......', '短评打分': 5}
{'短评内容': '一切都好', '短评打分': 5}
{'短评内容': '前台人员太少，服务有点跟不上', '短评打分': 4}
{'短评内容': '卫生间间隔的澡间太小，洗澡时容易碰到玻璃，室内美女洗澡用的拖鞋。优点:房里空间大，卫生很好。', '短评打分': 4}
{'短评内容': '物美价廉的。', '短评打分': 5}
{'短评内容': '第二次入住该酒店了，网上预订的性价比很高，酒店体面实惠。外面停车很方便，过个马路吃饭的大小饭店也比较多。', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '性价比非常高，可能黄山旅游淡季的原因，真心推荐', '短评打分': 3}
{'短评内容': '房间太老了 也没有所说的47平方那么大 最多30个吧 可能都没到', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间不错干净服务一流物超所值', '短评打分': 5}
{'短评内容': '上山前住了2天，下山又住了1天，总的感觉还是很好的酒店。', '短评打分': 5}
{'短评内容': '给想去黄山的朋友介绍个好的住宿酒店，如果打算在市里住可以考虑下这家酒店。准四星的酒店，价钱也很便宜，超值的住宿环境。出火车站左转打个车只要1公里多起价费7元，周围环境非常安静，晚上不想睡的太早可以去新安江边上转转，景色不错，也可以打车去老街逛逛夜市。少了市中心的吵闹住的舒适安心。\n    ', '短评打分': 5}
{'短评内容': '东航酒店外观大气，房间一般，房间有汗味。', '短评打分': 3}
{'短评内容': '酒店升级行政套房，房间非常大，就是有点汗味，酒店餐食一般，服务一般。不过在黄山市区算好的了，性价比不错。', '短评打分': 3}
{'短评内容': '酒店很舒适，安静。距离火车站和汽车站很近。方便出行。就是空调有点问题。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错,交通了较方主便,入住期间发生了别的房间房卡弄坏要赔却加到了我的房间这样的低级错误,并且楼层服务员大声讲话的事,事后向酒店管理层进行了投诉,酒店处理得相当及时和得当,并订制度以绝再发生.这此而言该酒店是相当不错,发生问题没关系,重在改正.而该酒店做到了这一点,不容易.这样该店服务必会再上台阶.建议到黄山可先择此店.', '短评打分': 5}
