{'短评内容': '不错，刚装完的。', '短评打分': 5}
{'短评内容': '本人很支持京东的，但是这次真的很失望，具体是房间刚装修完很大的味道，电视很大很新但是信号差到无法形容，当时上下几层9点至晚上10点都有人搞装修，当时很累没有再提出换房，做了一晚吸尘机器人，哎差差差', '短评打分': 5}
{'短评内容': '酒店在娱乐城附近很多，换乘便捷方便！', '短评打分': 5}
{'短评内容': '房间很干净，价格不贵，服务也很好，总体五颗星好评', '短评打分': 5}
{'短评内容': '可以加床适合带娃，离金沙很近，有各种免费巴士可以搭，周边配套也很便利。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '没吃早餐', '短评打分': 5}
{'短评内容': '酒店装修后房间舒适，还适合带孩子去下面的度假村玩，酒店位置近金沙，很方便，赞', '短评打分': 5}
{'短评内容': '新装修后房间舒适，还可以去下面的度假村健身，很棒', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以，只是越订越贵', '短评打分': 5}
{'短评内容': '还可以，但越订越贵', '短评打分': 5}
{'短评内容': '房间还可以，环境也不错，交通还算便利，就是价钱浮动太大，一天一个价。', '短评打分': 5}
{'短评内容': '房间还可以，环境也不错，交通还算便利，就是价钱浮动太大，一天一个价。', '短评打分': 5}
{'短评内容': '设施，毛巾有点旧，前台服务好，我到时正好有房，几分钟就办好入住，门口有的士站，出入方便', '短评打分': 5}
{'短评内容': '再贵再加价不去了', '短评打分': 5}
{'短评内容': '一次贵过一次呀', '短评打分': 5}
{'短评内容': '越住越贵！一般', '短评打分': 5}
{'短评内容': '不错，性价比高，主要是价格?', '短评打分': 5}
{'短评内容': '价钱好！水平好！京东服务好', '短评打分': 5}
{'短评内容': '好好好！挺好的', '短评打分': 5}
{'短评内容': '好好好！挺好的', '短评打分': 5}
{'短评内容': '好好的可以的', '短评打分': 5}
{'短评内容': '不错的选择！但是酒店在装修！', '短评打分': 5}
{'短评内容': '这酒店吸引人是离金沙近，酒店泳池健身房很好，前台服务不错，订房部人员太差，这次又把DING弄成DENG浪费不少时间。', '短评打分': 5}
{'短评内容': '第二次来 觉得还不错 有下次', '短评打分': 5}
{'短评内容': '第二次来 服务不错 周边环境好', '短评打分': 5}
{'短评内容': '游泳池很棒，餐厅也不错，性价此高', '短评打分': 5}
{'短评内容': '老五星，设备旧。但维护和服务挺好。位置也好', '短评打分': 5}
{'短评内容': '服务非常好，酒店工作人员很nice，下次还会选择', '短评打分': 5}
{'短评内容': '酒店应该是有些年头了，电视还是传统的大立方体方块，但虽然有点老旧，但还算齐备。房间在澳门同档次酒店算大的了。服务人员也很友好。游泳池还不错，虽不是方形带泳道的，但够大。', '短评打分': 5}
{'短评内容': '环境好，服务好，下次还会继续入住！环境好，服务好，下次还会继续入住！环境好，服务好，下次还会继续入住！环境好，服务好，下次还会继续入住！', '短评打分': 4}
{'短评内容': '带孩子SAT考试入住，很安静，离澳门城市大学考场步行五分钟，晚餐自助餐很棒，性价比高。房客有优惠，标间也可以加床，很好。', '短评打分': 4}
{'短评内容': '性价比高，保养非常好，职员多为外地人，但有礼。', '短评打分': 4}
{'短评内容': '已经不是过去的酒店了。可惜。', '短评打分': 3}
{'短评内容': '다음에 그랜드 라파 가거든 프론트 직원이 좀 불친절하다고 전해라, 영어도 못하는게 좀 친절하면 덧나냐, 다 좋다만, 와이파이좀 모든방에 해놓으라고 전해라 ', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': ',环境设施都不错，感觉挺温馨，价格算便宜，如果免费食品标清楚就更好，wifi需付费才能用，大堂免费45分钟。', '短评打分': 4}
{'短评内容': '朋友推荐而来,环境设施什么的,都不错的,', '短评打分': 5}
{'短评内容': '这是一间比较老的酒店，房间的装修很旧，入住想除了交房费还要每间房交一千元按金，迷你吧里面的东西全部还要额外收费，还有上网也要收费。这酒店在金莎娱乐场旁边，如想去葡京，新马路那同边步行比较远，酒店付近购物的地方不多。', '短评打分': 1}
{'短评内容': '酒店非常不错，不算很新，但感觉挺温馨的，送了新年的干果礼盒，欢迎水果，利是钱（可惜只有1豪），巧克力礼盒，就是buttle bus不是太准时，其他都非常不错', '短评打分': 5}
{'短评内容': '很老的酒店了，房间不大，设施陈旧。不过很难让人讨厌它，它有着一股旧味道，文化沉淀的味道。。', '短评打分': 5}
{'短评内容': '游泳池很好，服务很不错。', '短评打分': 3}
{'短评内容': '很不错，服务很好。', '短评打分': 3}
{'短评内容': '酒店不错,再去还会住', '短评打分': 3}
{'短评内容': '酒店服务不错,中餐也很好,小孩超喜欢泳池.唯一遗憾的是房内装修太旧了.', '短评打分': 5}
{'短评内容': '价格在澳门来说算便宜的，档次也还可以，服务也不错，交通便利。', '短评打分': 5}
{'短评内容': '酒店不错，设施有些老，但是确实也是澳门老牌酒店！', '短评打分': 5}
{'短评内容': '一般，服务可以，设施陈旧了。', '短评打分': 3}
{'短评内容': '前台非常没有礼貌，入住让我等了半个小时没有任何解释，而且有明显的歧视国人倾向。我不会向朋友推荐这家酒店也不会再入住该酒店，相比新文华东方的服务水平就好很多。', '短评打分': 1}
{'短评内容': '服务非常好，酒店的服务人员训练有素。最有素质的酒店员工，下次过去还是会去这家酒店。', '短评打分': 5}
{'短评内容': '服务比较到位，卫生条件也很好.房间住起来挺舒适的.整体水平还不错.', '短评打分': 5}
{'短评内容': '酒店的配置硬件都有五星级的标准，就是相对来讲有些偏旧了，（现在新设施的酒店比较多。）整体来讲还是非常好的。', '短评打分': 5}
{'短评内容': '酒店很棒，更棒的是赌场。很漂亮很好的选择。', '短评打分': 5}
{'短评内容': '附近有很多地方特产，因为要给朋友买礼物嘛，刚好就去那了，种类很繁多', '短评打分': 5}
{'短评内容': '酒店在市中心周围是殖民时期的特色建筑，很独特的感觉，赞', '短评打分': 5}
{'短评内容': '酒店设施豪华，温馨典雅，卫生干净，是个性价比不错的酒店', '短评打分': 5}
{'短评内容': '很不错的酒店，位置很方便，屋子里客服很干净，服务周到，性价比不错，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店的环境比较差.床比较小90*2米两张感觉翻身都困难.而且卫生和设施也就一般水平，因为当时是5.1旅游旺季，所以澳门的酒店比较紧张.下次提前一些订可能会好点.', '短评打分': 1}
{'短评内容': '酒店的环境比较差.床比较小90*2米两张感觉翻身都困难.而且卫生和设施也就一般水平，因为当时是5.1旅游旺季，所以澳门的酒店比较紧张.下次提前一些订可能会好点.', '短评打分': 1}
{'短评内容': '20071231除夕夜入住，因为前一晚住的是渔人码头的莱斯ROCK酒店，所以有比较。整体性价比逊色莱斯很多。不过毕竟是国际连锁的五星级饭店，所以服务上的确是很到位。因是除夕又是在澳门作饭店赌场之旅，所以呆在饭店的时间只是睡觉而已，整体来说比不上香港与曼谷的同系列品牌。大堂很昏暗，名牌精品店又显老旧格局小，无购物慾。', '短评打分': 3}
