{'短评内容': '房间很小 毛巾都不提供 酒店设施老旧', '短评打分': 3}
{'短评内容': '位置极佳，服务热情，只是房间设施有点老了，该重新装修了。来住多次了，周边吃饭购物非常方便，交通便利。', '短评打分': 5}
{'短评内容': '不错很好', '短评打分': 5}
{'短评内容': '服务还行，房间挺大洗澡也挺方便', '短评打分': 5}
{'短评内容': '这家酒店电施设施很差，安装墙面的设备东倒西歪的，卫生间也不干净，房间地面很脏，不断发出很臭的异味，周围环境还可以。', '短评打分': 2}
{'短评内容': '第二次入住，周边环境不错，内部就嘿嘿，淋浴头都无处挂着，洗澡不便，宾馆位置绝佳，出行便利，下次还会住，不知为何一个房间携程上居然7个价格，个别的还无法开发票，需要发票的朋友要看清楚', '短评打分': 5}
{'短评内容': '水小的可怜，幸好天气不太冷.', '短评打分': 4}
{'短评内容': '酒店位置没得说，极佳，周边环境不是很理想，不过生活方便，出行交通也很好，基本四面八方都有车，只是最后一天807害苦了，等了快一个小时', '短评打分': 4}
{'短评内容': '酒店环境一般，房间门都关不上，还行吧', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '出差经常住的酒店，交通便利，就是不带电脑，望改进', '短评打分': 4}
{'短评内容': '房间很老设施不太好，周边吃的挺多的', '短评打分': 4}
{'短评内容': '气味重，无线跟空调要看房间，整体环境还可以，方便还会入住。', '短评打分': 3}
{'短评内容': '太差，住了一晚第二天 还涨价，', '短评打分': 3}
{'短评内容': '太老旧，而已住了一晩还涨价', '短评打分': 3}
