{'短评内容': '早餐不错，地理位置好，离火车站和地铁都不远，旁边一条街有很多吃饭的地方，设施齐全，服务热情，总体比较满意', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '入住非常方便', '短评打分': 5}
{'短评内容': '不能加床', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '非常热情的前台接待，一直以来出行都是如家', '短评打分': 5}
{'短评内容': '已评价', '短评打分': 5}
{'短评内容': '环境很好，离火车站较近，很方便。卫生也不错。', '短评打分': 5}
{'短评内容': '基本满意，物美价廉', '短评打分': 4}
{'短评内容': '房间很满意，位置又好，每次出去都住如家，已经是如家的会员了，住这里满意放心，吃饭购物都方便。以后还住这里。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好，性价比高，临路的房间略草', '短评打分': 5}
{'短评内容': '各方面都不错，就是wifi信号太差了，直接用不成。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '价格实惠，环境干净卫生。不错的。', '短评打分': 5}
