{'短评内容': '环境很好！！！！！！！！！', '短评打分': 5}
{'短评内容': '早餐一般，去的时候都没什么了。', '短评打分': 4}
{'短评内容': '房间非常冷，床很窄，感觉像住如家快捷宾馆，没有酒店的感觉。早餐超级差，非常不满意。下次再也不会住这里。', '短评打分': 4}
{'短评内容': '感觉还好，就是服务一般！', '短评打分': 5}
{'短评内容': '早餐一般化', '短评打分': 5}
{'短评内容': '环境可以，早餐一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间比较干净，就是床有点窄', '短评打分': 4}
{'短评内容': '走廊似迷宫，装修时间太久，性价比极低，设施陈旧。服务态度不错，周围环境还可以，交通便利，饮食、打车都还不错！', '短评打分': 3}
{'短评内容': '装修有点老了，设施差了点', '短评打分': 4}
{'短评内容': '交通方便，', '短评打分': 5}
{'短评内容': '因为靠近会展中心 步行距离近，所以选择这个酒店。总体还可以 周围用餐方便    不好不坏吧 主要看中位置', '短评打分': 4}
{'短评内容': '态度冷淡，房卡失磁', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错  安静 不便宜', '短评打分': 5}
{'短评内容': '环境很好，卫生也不错，周边有很多餐饮可选择，不错。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '装修很好，房间宽敞，干净整洁。去会展中心方便，早餐还可以，建议早餐增加水果，价位再优惠些。', '短评打分': 3}
{'短评内容': '酒店地理位置好,离会展中心很近,卫生条件还好.就是房价小贵,房间不大.', '短评打分': 5}
{'短评内容': '每次去哈尔滨都会住这里，稍微有点小贵，但是离哈工大近便啊，还有游泳池，不过要20元3小时，TMD的都交了688的房费，还收这20，是不是有点恶心？！就是单人间只有10间，总是订不到，早餐一般', '短评打分': 5}
{'短评内容': '住的商务套房当婚房,酒店环境不错,房间很大.早上的自助餐可以,其他时间的餐厅就非常糟糕了,吃了一次午饭,要了5碗面,分拨上了两次,吃了1个小时.', '短评打分': 5}
{'短评内容': '这酒店卫生间太小等根本不值这个钱一天。', '短评打分': 3}
