{'descr': '前台略冷淡 房间还是蛮干净的 ', 'star': 4}
{'descr': '好好好', 'star': 5}
{'descr': '不错哦！！', 'star': 5}
{'descr': '服务挺好,帮忙把行李送到房间，一路还有简单介绍。 前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店', 'star': 5}
{'descr': '超级棒的四合院，前台小姐姐小哥哥们人特别好，合住的小姐姐也超级nice，热水WIFI很方便，旁边就是电影资料馆，路口公交地铁也方便，在北京这段时间最棒的回忆，再来北京还是会住在这里。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '房间很干净，周边交通方便，离地铁站挺近，整体不错', 'star': 5}
{'descr': '环境不错，有北京老四合院的感觉，服务也可以，就是没有提供餐饮不大方便。', 'star': 5}
{'descr': '非常干净的青旅，设施齐全，环境安静，住的好舒服，平时自己出行会经常选择青旅。是我目前为止住过最好的青旅了。', 'star': 5}
{'descr': '非常棒', 'star': 5}
{'descr': '没带拖鞋去，不过店家很好借了一双给我', 'star': 5}
{'descr': '环境比较安静，希望以后再备一些洗漱用品', 'star': 5}
{'descr': '房间有些冷，服务很好。', 'star': 4}
{'descr': '环境很好地铁跟公交大概离酒店十来分钟的距离我的钱包在酒店不见了，有人捡到然后放在前台前台一直帮保管。', 'star': 3}
{'descr': '北京典型四合院，很漂亮。院子里有很多植物和秋千，这是优点。缺点是房间有些潮，总有一股味，卫生间设施不完备而且没有热水，酒店的小酒吧也很不错。对房间要求不高，但想体会四合院风情的值得住。', 'star': 4}
{'descr': '酒店外观看还可以 现代仿的旧式四合院 房间内条件太一般 毛巾 牙具等等都不提供 不过在北京二环内 这价格算可以吧', 'star': 3}
{'descr': '不错～挺舒服的一个院子～爸妈也很喜欢', 'star': 3}
{'descr': '房间干净，小院环境不错。虽然正在装修，还是很安静，不错的旅馆。', 'star': 5}
{'descr': '还行，距离地铁比较近，环境可以，房间设施很一般，服务态度一般', 'star': 1}
{'descr': '我住的是大床房，环境倒是不错，好像是打地铺，而且房间内的杯子很脏！', 'star': 1}
{'descr': '酒店很舒服四合院儿，就是调价了有点儿小贵', 'star': 3}
{'descr': ' 住大床间居然还没有网络，前台还口口声声网络一直瘫痪。没网络还敢称号称国际青年旅舍，脸皮真比北京长城城墙还厚', 'star': 3}
{'descr': '出差或旅游的不宜去住, 基本自助旅店,无线宽带联不上 店内青年颓废学生居多, 看了点评才去的,结果上了一大当!', 'star': 1}
{'descr': '前台小伙子很阳光，让人觉得回到了学生时代。我住的是2206房（标双）在二楼走廊的尽头，往下看整个二进四合院尽收眼底。环境很优雅。房间内比较简朴，但干净。提醒一下，拖鞋可在前台借，房款现金结算。\n下次到北京，还会住和园。', 'star': 5}
{'descr': '环境很北京,喜欢', 'star': 3}
{'descr': '没有想象的好，尤其是房间私密性差些，因为是房门口是玻璃墙，窗户的。\n还有，并没有一次性拖鞋，而且得问前台去要。另外，感觉里面有长期居住的学生，4人间，6人间的。\n唯一好的是比较安全，旅馆的门长期是关闭的，按门铃才给开，大门里面可以打台球。', 'star': 1}
{'descr': '院子很有感觉，选的是大床房，住的也很舒服。屋里暖气很足，下次要试试床位那种。', 'star': 5}
{'descr': '冲着四合院去的，有点意思。不过设施一般般。', 'star': 5}
{'descr': '院子很大，有花有草有秋千，女儿很喜欢；服务人员，住店客人都很热情，可以交到很多朋友；离地铁走路约10分钟，附近还有公交车，出行方便；房间里面基本设施都全，洗手间也比较干净，淋浴水挺大的；唯一不喜欢的是被套的颜色和品质，是铅灰色的，没有给人干净清爽的感觉；还有，布太薄了，盖在身上不是很舒服', 'star': 5}
{'descr': '旅舍是仿四合院建筑的，共两层，是回字型结构，中间是很大的庭院，走廊、鱼池、花圃、木桌、秋千和石榴树构成一个雅致的庭院。庭院实在太漂亮了，我拍了很多照片。一楼大部分是四人间、六人间。旅舍提供较多的免费公共设施，如休闲间，小酒吧等。休闲间里有电视、沙发、电脑、很舒服的桌椅，你可以看电视、上网、玩桌游或看看书。小酒吧里除了吧台、桌椅外还有桌球台。我住的是双人标间在二楼，客房设施完备，床单很有家的感觉，没', 'star': 5}
{'descr': '比较有特色而已，其他都感觉不到方便！！！', 'star': 1}
{'descr': '如果说青年旅社的话我还是很推荐这里的\n240的房价住起来比在酒店性价比高很多，我定的是大床房，房间设施很好，很温馨。干净舒适，环境真不是盖的，很有味，是四合院形式的，但是设施很新，真的很漂亮，在夏夜坐在木椅上上网听听歌很舒服。唯一有点美中不足的是前台的美女服务态度真的有点懒散，这里不能刷卡，我问她这里附近哪里有取款机竟然没有回应。。好吧 姑且是因为她们在吃午饭。。后来办理入住给了她们身份证7-8分', 'star': 5}
{'descr': '旅舍是仿四合院建筑的，共两层，是回字型结构，中间是很大的庭院，走廊、鱼池、花圃、木桌、秋千和石榴树构成一个雅致的庭院。庭院实在太漂亮了，我拍了很多照片。一楼大部分是四人间、六人间。旅舍提供较多的免费公共设施，如休闲间，小酒吧等。休闲间里有电视、沙发、电脑、很舒服的桌椅，你可以看电视、上网、玩桌游或看看书。小酒吧里除了吧台、桌椅外还有桌球台。我住的是双人标间在二楼，客房设施完备，床单很有家的感觉，没', 'star': 5}
{'descr': '，特别安静的旅店。很别致的四合院，喜欢啊！', 'star': 3}
{'descr': '太开心了，房间精美，订的大床房居然是榻榻米，女儿高兴死了，精考的四合院还有个千秋，哈哈 。女儿都不愿意离开和园。洗手间干净清爽，第一次住得这么开心，回来就向同事推荐了，以后去北京还是住它。\n还有，晚上在胡同口有好多的小摊贩,什么都有得吃，呵呵。。交通也方便，公交去颐和园恭王府都行。。', 'star': 5}
{'descr': '感觉不错，交通也比较方便。下回还会住那里。', 'star': 5}
{'descr': '环镜非常好！闹区中的宁静！很有家的感觉！超喜欢的！强烈推荐！', 'star': 3}
{'descr': '很不错的青年旅舍，比国外的有几家还要好，这次还跟一群老外去了金山岭长城，下次来北师大还住这里。', 'star': 3}
{'descr': '小院子环境很好，在外面跑一天，晚上回来在院子里喝酸奶看电影聊天：） 距地铁站大概10几分钟路程，还可以接受', 'star': 5}
{'descr': '刚从北京回来，就像其他人评论的一样，干净、清净、服务好。只要从积水潭A口出来给服务台打电话，就会告诉你两个标志性的路标就很好找。', 'star': 5}
{'descr': '四合一个大院，位置不错，但不询问不太好找吧~住客天南地北五湖四海的都有吧，啥皮肤啥眼睛的都有呀！就是没早饭不太方便，店家都是酷酷的辣妹帅锅~个性化十足！墙上贴了很多条~都是提示这个提示那个。。。不错呀', 'star': 5}
{'descr': '不错的地理位置，房间精致个性化的大杂院四合院，就是可惜貌似没有早饭，不太方便，周围环境有些杂乱，地址相对靠里，不询问不太好找。服务热情周到，房间干净整洁，还会再去的', 'star': 5}
{'descr': '不错的地理位置，房间精致，一个大四合院，“天南地北”的都有，呵呵，就是可惜貌似没有早饭，不太方便，周围环境有些杂乱，位置相对靠里，不询问不太好找。服务热情周到，房间干净整洁，还会再去的', 'star': 5}
{'descr': '很特别的一个旅馆，干净、整洁、设施齐全，红色的廊檐给人一种古朴却又有活力的感觉，服务也很耐心、细致，周边购物、餐饮也都很方便，只是我们第一次去的时候找了很长时间。', 'star': 5}
{'descr': '不错的地理位置，一个大院子，大杂院，像是一家子，天南地北的都有！不能刷卡不太方便，停车不是很方便，房间还可以，旅游住宿8错啦', 'star': 5}
{'descr': '确实不太好找，不过里面的环境很不错，很个性化，是我喜欢的。', 'star': 5}
{'descr': '酒店不能刷卡，没有宾馆用品如拖鞋，空调不制热', 'star': 1}
