{'短评内容': '客房老旧了', '短评打分': 4}
{'短评内容': '方便、离市区较近，非常适合节假日出游预订，性价比还过得去', '短评打分': 1}
{'短评内容': '位置位于市区，交通便利，门前有停车场，室内装修状况尚可。就是节假日价格提高比较多，性价比差一点。', '短评打分': 5}
{'短评内容': '不像你客服说的那样  性价比较高   我觉得非常有必要改进', '短评打分': 1}
{'短评内容': '性价比似乎有点高,位置也不是很优越...', '短评打分': 1}
{'短评内容': '名实不符', '短评打分': 3}
{'短评内容': '睡的那个房间有点发霉，很浓的漂白水味，窗外还是个医院......', '短评打分': 1}
{'短评内容': '房里很重的漂白水味，床铺细看很多脏点，椅子一样。开窗对面就是医院。', '短评打分': 3}
{'短评内容': '凳子发霉～郁闷…', '短评打分': 5}
{'短评内容': '没什么特别的地方,就是很普通一家宾馆,那里一整条街都是住宿的地方,有很多也比这家好的,而且位置不怎么样,特别差的就是热水完全不热,只是暖水!', '短评打分': 1}
{'短评内容': '条件真的很一般，比较旧，靠马路边的房间很吵，浴室的热水调到最高也只是温的，还好天气不凉还勉强能湊合，电脑也是较旧的。', '短评打分': 5}
{'短评内容': '还算干净，性价不错.应该是单位招待所级别，位置不错，距总站几分钟。', '短评打分': 5}
{'短评内容': '+豪华套房很不好，地毯被烟头烧满了窟窿。要求换房，服务员报价混乱。用豪华夫妻房住了标准夫妻房。', '短评打分': 5}
{'短评内容': '酒店一般，位置还好。空调坏了，和总台联系后换了一间电脑房。价格是168', '短评打分': 3}
{'短评内容': '+环境中等', '短评打分': 5}
{'短评内容': '性价比蛮好的，下次还会住的', '短评打分': 5}
{'短评内容': '离车站比较近，出行方便。', '短评打分': 5}
{'短评内容': '小旅馆', '短评打分': 1}
{'短评内容': '位置还可以，距离汽车站不远，去新旧市区都很近，服务没得说，我穿着短袖短裤在寒风中等出租车，人家前台的姐姐看到后主动打电话帮我叫车。很是感动。。。。设施旧了点，但卫生做得很好，厕所也很大，收拾得很干净，睡觉很舒服，2米的大床，睡得很爽。。。几乎一点噪音都没有。。。一觉睡到11点。。。。。总之，128的价位真的很划算，呵呵', '短评打分': 5}
{'短评内容': '第一次到河源对这家宾馆感觉还好，就是好像没有什么住客', '短评打分': 5}
{'短评内容': '总体来说比较差，跟乡下的旅馆差不多，但是没办法，河源只有这一个低于200的了', '短评打分': 1}
{'短评内容': '房间还好，床也不小，就是枕套冼的不够干净', '短评打分': 1}
{'短评内容': '一般！', '短评打分': 3}
{'短评内容': '价位确实低,但是房间内的设施简陋和陈旧,卫生也不干净,而且感觉宾馆的安全设施不完善,下次不会再选择', '短评打分': 3}
{'短评内容': '环境比较安静 感觉可以', '短评打分': 5}
{'短评内容': '  出差这么多年，感觉最不干净和最没有价值的就是这家了；首先，先交房费才能住（押金另收）；设施很旧并看起来不卫生，比以前乡下招待所还逊色；房间很冷没有暖气或多的被单；靠路边很吵；插电源和网线要爬到地上找半天，而且插座是松出来的很不安全...唉，我肯定不会去住的了', '短评打分': 1}
{'短评内容': '设施一般，不过还是对得起这个价位，适合自费。', '短评打分': 5}
{'短评内容': '老人在另一个房，床太冷睡不好。我没有感到冷。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '床太差！其他的还行', '短评打分': 5}
