{'短评内容': '没住，不过客服还不错，又帮忙给预定了另外一家。', '短评打分': 5}
{'短评内容': '还不错！值得一去。', '短评打分': 5}
{'短评内容': '在景区里 非常方便', '短评打分': 5}
{'短评内容': '在景区里 非常方便', '短评打分': 5}
{'短评内容': '非常不错 在景区里 很方便', '短评打分': 5}
{'短评内容': '位置很好找，过了牌坊就是', '短评打分': 5}
{'短评内容': '环境是很好，关键是在风景区里面，晚上到的，到酒店还要先买景区门票！~所以只适合第二天肯定要去景区玩的客人。', '短评打分': 5}
{'短评内容': '还行吧，至是一楼的住不习惯', '短评打分': 5}
{'短评内容': '服务差，登记入住都要花很久时间。房间小，霉味重，窗户关不上。房间内电热水壶、吹风机都是坏的。早餐要一桌人坐满才肯上。村里其他农家乐都比这里干净、便宜。这是我住过最差的酒店，   ', '短评打分': 3}
{'短评内容': '服务差，房间小，霉味重，窗户关不上。房间内电热水壶、吹风机都是坏的。早餐要一桌人坐满才肯上。村里其他农家乐都比这里干净、便宜。这是我住过最差的酒店，', '短评打分': 3}
{'短评内容': '还是ok的！', '短评打分': 5}
{'短评内容': '脏乱差', '短评打分': 1}
{'短评内容': '环境挺好的', '短评打分': 4}
{'短评内容': 'Unbelievable service by the manager, Joseph, and his staff at the Xidi Travel Lodge. I did not realize the hotel was inside the ancient village - which was awesome - but the taxi driver called him whe', '短评打分': 5}
{'短评内容': '酒店本身硬件不错，是西递里最好的一家，但是维护管理的不好，比较荒凉，房间有股霉味。', '短评打分': 4}
{'短评内容': '1 进入景区检票口就能看到，牌坊旁边；2 对于景区里面住宿而言，价格适中；3 房间不大，但是设施齐全，基本能满足需要；4 里面环境不错，很古色古香拿着；5 早饭就是一般那种，稀饭，馒头，鸡蛋，咸菜，等等，比较合理，毕竟免费（尤其要说，我去的时候已经接近9点了，餐厅都收摊了，餐厅阿姨又专门帮我弄了一份，很好！）；6 其他也适中。总之推荐！', '短评打分': 5}
{'短评内容': '如果去西递住宿，这家应该是最合适的。位置好，很好找。早餐的稀饭是头一天的冷饭加水煮热的。', '短评打分': 4}
{'短评内容': '非常不错的具有文化底蕴的酒店，房间设施比较新，酒店地盘大，环境好，餐厅吃饭实惠划算味道还不错。', '短评打分': 3}
{'短评内容': '住的不错，双床要比大床好；吃的实在很糟，建议不必要在此用餐', '短评打分': 5}
{'短评内容': '在西递村入口处,很好找,适合家庭出行入住的酒店,小型客栈', '短评打分': 5}
{'短评内容': '环境不错，在西递景区内，可以看到西递夜晚的美景', '短评打分': 3}
{'短评内容': '环境很好，在景区内，典型的徽派建筑，饭菜的质量也还行，可以住', '短评打分': 5}
{'短评内容': '桃花源里人家，是这古朴的乡村中最好的酒店，带着老爸和孩子自驾游，很适合，房间干净、环境超好，就是超小了点，还好就住了一个晚上，典型的乡村早餐，正餐也还好，价格不贵。8月19日住的，进门有很多蚊子，带了蚊不叮喷剂，结果就我和妹妹被蚊子亲了。我房间的电视不能看，其他房间还好，总的来说很满意，下次去还会住行馆。', '短评打分': 5}
{'短评内容': '在景区内，酒店服务不错，床褥很干净，周围景色很美。不足的是，有的房间靠近街面，晚上有敲锣声，清晨有导游带队解说，常会扰人清梦。。', '短评打分': 5}
{'短评内容': '环境很好，古朴幽静，希望园艺方面还要加强一下，会有更好的效果。', '短评打分': 5}
{'短评内容': '怎么我在网上被扣了钱到了酒店还得再交房费呢？', '短评打分': 3}
{'短评内容': '环境不错,伙食可以,适合家庭组团自驾.....', '短评打分': 5}
{'短评内容': '下次不住这里了，贵又不好，什么四星标准，还不如人家两星的。房间十个平方不说，没有桌子，卫生间连门都没有，洗澡后雾气都进到房间里。差！！', '短评打分': 1}
{'短评内容': '非常好的酒店，完美地将古朴和舒适结合在一起。如果想感受一下住在乡间的感觉，又不想放弃都市的舒适，可以选择这家酒店。会强烈推荐给朋友。', '短评打分': 5}
{'短评内容': '最佳行馆，尤其是营造出来的文化氛围，且菜色不贵。老板有才啊', '短评打分': 5}
{'短评内容': '酒店装修的很别致，蛮古朴的，环境很好，空气清新，早餐种类很多，口味也很好，服务蛮热情周到的，住宿环境很好', '短评打分': 5}
{'短评内容': '房间装修的很好，蛮有特色的，服务员很亲切，早餐很好，就餐环境很棒，住着满意', '短评打分': 5}
{'短评内容': '环境很好，有些田园的意境，房间打扫的很干净，餐饮很好，房间布置的很有特色，总体感觉住着很舒服', '短评打分': 5}
{'短评内容': '酒店的位置很好，在牌楼后面，楼阁错落有致，院子很别致，房间装修的颇有感觉，服务很好服务员都很周到热情。住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店很不错，庭院打扫的很干净，服务周到热情，老板很好客，周边景致很好，住着蛮舒服的', '短评打分': 5}
{'短评内容': '饮食很可口，安静适合度假。从宾馆到黄山很方便，但是需要有车。如果有公共交通的话会更好。', '短评打分': 5}
{'短评内容': '酒店在西递景区内，从停车场走到酒店大约5分钟，路是石板路，拖着箱子很不方便。\r\n不要过晚到达酒店，九点半之后，路灯全灭，没有照明。必须小心脚下，我就因为路黑，道路旁也没有护栏，直接掉下1米多深的水沟，全身打湿，相机进水。所幸我还算矫健，掉下去的时候自我保护做得不错，人没有大事，只是扭伤了左膝。\r\n最便宜的标准间，房间很小，大家慎重选择。\r\n早餐种类难称丰富，填饱肚子吧。', '短评打分': 3}
{'短评内容': '古香古色,设施也不错,就是房间太小,大箱子打开都没法走人了!', '短评打分': 5}
{'短评内容': '酒店挺好卫生非常好装修的也非常有特色，位置也还不错，价格也很不错也提供早餐，服务也非常特色。唯一一个的缺点就是房间就是非常小。', '短评打分': 5}
{'短评内容': '服务人员很有礼貌， 服务也很周到，让人感觉很亲切。', '短评打分': 5}
{'短评内容': '酒店给我印象很深，非常别致，很有文化气息，服务也很周到，如果下次再来就选这家。', '短评打分': 5}
{'短评内容': '环境很古朴很淡雅，打扫也很干净，在这里住的很随意。', '短评打分': 5}
{'短评内容': '酒店装饰的很有特色，环境也很好，房间里很干净很舒适，住的很开心。', '短评打分': 5}
{'短评内容': '位置很好，在牌楼后边，周边风景也很美，住的很舒心。', '短评打分': 5}
